,Modified_gpt-3.5-turbo_of_CV_Modelgpt-3.5-turbo
59,"Max

Digital Art and UI/UX Designer

Professional Summary:
Experienced Digital Designer with a strong background in UI/UX design and a passion for creating visually appealing and functional designs for websites and promotional materials. Skilled in Adobe Photoshop, Illustrator, Figma, Adobe XD, and other design tools. Currently pursuing a degree in computer graphics and design at the University of the Arts.

Work Experience:
- Freelance Digital Designer (2018-present)
   - Created web interfaces and promotional materials for clients, including a gaming website and a cat adopting center for the Zoolux network of veterinarians.
   - Utilized Figma, Adobe XD, Adobe Photoshop, and other design software to optimize designs for SEO and mobile devices.

Skills:
- Digital Design: Adobe Photoshop/Illustrator - 4 years
- UI/UX Design: Figma, Adobe XD, Sketch, Azure RP - 2 years
- Video Editing: Adobe Premiere Pro/After Effects/Animate - Skilled
- Photo Editing: Adobe Photoshop/Lightroom/Camera RAW - 4 years

Education:
University of the Arts - Current student pursuing a degree in computer graphics and design. 

Additional Information:
- Strong communication skills and ability to work well in a team.
- Willing to go above and beyond to meet deadlines and make concessions when needed."
60,"Proficient user of Figma, Adobe Illustrator, Adobe Photoshop, Miro;
Use of styles, components, variants in design;
Knowledge of typography, work with raster and vector graphics;
Understanding of the principles of usability;
Experience in creating web sites, adaptive design;
Knowledge of Google Materials Design and Apple Human Interface Guidelines;
Creating interactive prototypes.
Hello! My name is Yana and I am a UX/UI designer. I love Figma, I work well with hotkeys, autolayouts, variants, and components.
I like modern minimalism designs that do their job well. I am ready to work and develop in different styles and directions.

1. Designed a landing page for a sugaring salon. Experience in analyzing competitors, creating a user profile. Working with color and typography.

2. Redesigned a real site. During the project, I made a working prototype, wireframes, created a kit, created product cards in autolayout, and worked with components and variants. Interested in new and innovative projects. Would like to work with a passionate team of professionals. Love to be a part of a Design Team. Clear management, flexible working hours. Full-time or part-time work; Remote work; Product companies; Social projects; E-commerce industry."
61,"Yulia

Junior UI/UX Designer

Professional Summary:
Experienced UI designer with 4 years of freelance graphic design experience. Completed Mobile Apps Design course at Projector in May 2023 and UX/UI design courses at Beetroot Academy in January 2022. Proficient in Figma. Fluent in English and Polish.

Work Experience:
- Freelance Graphic Designer (2019-Present)
- Collaborated with small brands to create logos, brand identities, and visually engaging profile designs for Instagram promotion
- Produced visual content including photography and video for clients in various industries such as food manufacturers, clothing and accessories brands, and local services
- UI Designer on project bases, designing landing pages, micro-pages, resume layouts, and internal presentations for companies

Skills:
- Problem-solving
- Adaptability
- Team collaboration
- Organizational skills
- Self-motivation
- Client communication
- UI design
- Figma proficiency

Education:
Mobile Apps Design course, Projector, May 2023
UX/UI design courses, Beetroot Academy, January 2022

Languages:
Fluent in English and Polish

Objective:
To continue growing as a UI/UX designer by working on diverse projects and helping clients achieve their goals through impactful and visually stunning design solutions. Seeking a position in a digital creative agency that values creativity and innovation. Passionate about collaborating with like-minded colleagues to push creative boundaries."
62,"• Solved complex design challenges: Designed order builder function for a responsive website according to all stakeholder's requirements.

• Confident mastery of Figma (FigJam, autolayouts, components and their variants, styles, prototyping)

• Compliance with Material Design and Human Interface Guidelines

As a UI/UX designer, passionate about creating logical, intuitive and modern user experiences and interfaces. Focus on utilizing best UX practices and emphasizing with users' needs. Hands-on experience with completion of an in-depth UI/UX certification project, designing e-commerce website with consideration of all stakeholder’s requirements and collaborating with six other designers on the research phase. Skilled in competitive research, design decision communication, survey development, quantitative and qualitative research, user persona creation, CJM development, information architecture design, wireframing, prototyping, visual design incorporation, mobile optimization, usability testing, UI kit composition using atomic design methodology, and accessibility standards adherence. Experienced in competitive analysis, SWOT analysis, user survey, quantitative research, qualitative research, user persona creation, customer journey map development, information architecture design, wireframing, prototyping, usability testing, UI kit creation, desktop user interface design, and mobile user interface design for iOS, Android, and responsive/adaptive websites. Seeking to join an ambitious team of strong specialists to work on complex projects."
63,"- Junior UI/UX Designer with 6 months of experience
- Proficient in designing websites for rental agricultural and construction equipment as well as redesigning IT company websites
- Skilled in communicating with development teams and quality assurance personnel
- Experienced in interface design (colour, typography, layouts, icons, etc.)
- Knowledgeable in responsive web design for desktop, mobile, and tablet devices
- Ability to conduct user experience testing, prototyping, and creating mockups
- Completed 6 design courses with certificates and an English course with certification"
64,"AhojStudent.com web redesign (IT School GoIT)
- Improved content, structure, and visuals to enhance visitor experience on existing website.

CleanUp web service creation
- Developed a user-friendly website for home assistance services, offering a wide range of service categories and professional options.

SwiftShop - Smart Supermarket Payment App
- Designed a revolutionary payment app for supermarkets to streamline shopping experience and eliminate long checkout lines.

Highly motivated and versatile UX/UI designer with a background in marketing and communications. Specialized in creating exceptional user experiences for web and mobile applications, ensuring designs meet user needs and business objectives.

3/2022 – present Communication Strategy Expert, ABINBEV, Prague
9/2021 – present Visual communication lecturer, OMD Czech, Prague
3/2021 – present SMM expert
9/2021 – present Marketing Manager, DOMKYSRDCEM s.r.o, Prague
11/2018 – 3/2022 Media planner, OMD Czech, Prague

Career growth, remote work possibilities, training and development opportunities, flexibility, and friendly atmosphere."
65,"Experience:
- Junior UI/UX Designer at GoIT, currently studying at the international EdTech company
- Website redesign for a Tattoo studio, including creating prototypes, UI kit, and adaptation for desktop, mobile, and tablet
- Developed a medical web service for organizing meetings between doctors and patients, including scheduling appointments and lab tests, and 24/7 communication through a chat
- Full cycle design of a landing page for a flower shop, including competitor analysis, color palette and typography selection, and adaptation for desktop, mobile, and tablet

Skills:
- Creating prototypes
- Researching target audience
- Small design creation
- Diligent worker with a desire to learn and develop

Looking forward to contributing my skills and experience to a team where I can continue to grow and develop in the field of UI/UX design."
66,"Was a team leader in the project ""PawPatrol”. I have 2 own projects.

Junior UX/UI Designer with experience in prototyping, landing pages, redesigning, website design, and mobile application development. Proficient in Figma, Adobe Photoshop, and Adobe Illustrator.

1. Web service ""PawPatrol"".
Collaborated with a team of 2 on developing a web service for lost pets. Responsibilities included research, personas, wireframes, UI design, user flows, prototyping, style guide, and adaptation. 

2. Redesigned website for Italian sauce store ""Cucina de Caterina"".
Redesigned the website to improve user experience when purchasing products. Tasks included research, wireframes, UI design, prototyping, UI kit, and adaptation.

3. Created landing page for ""eChair"".
Developed a landing page for gaming chairs for purchasing. Tasks encompassed research, wireframes, UI design, prototyping, and UI kit. 

Seeking remote opportunities to work on engaging projects within a friendly team environment."
67,"Work Experience:

- Over 13 years as a team leader
- UI/UX Designer with experience in graphic design, photography, interior design, and finance
- Developed and designed a mobile application ""LensLink"" for booking photographers
- Created the concept and design for the web service ""Sleep for Sweat"" for booking housing in exchange for services
- Graphic Designer and Photographer for over 8 years, specializing in corporate identity creation, printing products, book layout, vector illustration, photography for advertising, and photo retouching
- Experience as a new born photographer, family photographer, and art photographer

Seeking opportunities to contribute to a team of professionals and further develop both professionally and financially."
68,"I have a Master's degree in musical art (2016-2022) and completed a web design internship at Sigma Software.

During my internship at Sigma Software, I designed an online portal for social initiatives and donations using my knowledge of UI/UX design. I identified issues, proposed solutions, and collaborated with other designers to deliver high-quality wireframes, mockups, and interactive prototypes. I also created presentations for proof of concept and implementation for a smooth project transition to development.

I have experience creating mobile applications and websites, with examples available on Behance and Instagram. I am proficient in HTML and CSS and currently studying iOS and Material design guidelines. I enjoy teamwork and problem-solving and stay updated on design trends and technology to enhance my skills.

I value receiving a competitive salary and am committed to working hard to earn it."
69,"UI/UX Designer Resume:

MedMeet web service:
- Collaborated on a project with a team of 2 to improve communication between doctors and patients
- Developed a platform for doctors to conduct video calls with patients, access medical histories, and prescribe treatments

My Scan mobile app:
- Designed a supermarket payment application for scanning products and making automatic payments
- Implemented features for generating receipts and viewing purchase history

Barbershop landing page:
- Created a landing page for a barbershop to attract new customers and promote appointments

Website redesign for Glass office partitions:
- Redesigned a website for glass office partitions to improve user experience and information accessibility

Seeking an opportunity to utilize my skills and expertise in a challenging and creative environment."
70,"Junior UI/UX designer with experience in developing websites for various clients. Completed a 3-month UI/UX design course at Shendricov Education, where I created a landing page for a beauty salon and gained practical experience working with customers. Projects include designing a landing page for a sugaring studio to increase customer engagement and a personal website with a blog for a psychologist to enhance personal branding and attract clients. Proficient in developing prototypes, typography, color schemes, final web designs, adaptive designs, and UI kits. Eager to continue learning and grow as a designer while contributing to a dynamic team."
71,"Hi, I'm a junior UI/UX designer with a focus on creating intuitive and engaging digital experiences that solve real-world problems. I leverage my interest in psychology to understand user behavior and create designs that resonate with people, along with my passion for macro photography that taught me the importance of attention to detail. Skilled in empathy and problem-solving, I am dedicated and creative in my approach to design projects.

Project Experiences:
- Nutrie app: Developed a mobile application for maintaining a healthy lifestyle through meal tracking, calorie consumption monitoring, and personalized recommendations.
- VoyageNest web service: Created a web platform offering free accommodations for travelers in exchange for work, featuring search functionality, direct communication with hosts, and booking capabilities.
- Aurainteriors landing page: Designed a minimalist and aesthetically pleasing landing page for an interior design studio.

I am a quick learner and always eager to expand my skill set, seeking a collaborative work environment that fosters growth and learning opportunities. In search of a space where I can freely express my ideas and opinions, I am looking for an innovative and dynamic work environment that encourages creativity and experimentation."
72,"Skills: UI/UX design, competitor analysis, wireframing, website design, colour theory, photo editing
Experience:
- Team project to create a web service for animals
- Created a website for the sale of gamer chairs
- Redesigned an outdated restaurant website
Education:
- Completed GOIT course in UI/UX design
- Worked on projects with mentors to develop skills in design
- Conducted competitor analysis to inform design decisions
- Created wireframes and designed websites with high quality photos and colour palettes"
73,"Junior UI/UX Designer

Experienced in working in a team to create a web service aimed at helping people find their lost pets. Conducted thorough research and analysis of similar sites to inform design decisions. Proficient in Figma, with basic skills in Adobe Photoshop and Adobe Illustrator. Skilled in full cycle design, from analyzing tasks and creating wireframes to developing interfaces and prototyping. Currently working on two personal projects, including a redesign for a sport bar and a landing page for an architecture urban fest. Continuously improving soft and hard skills through IT school education. Seeking opportunities to work in a company with a team of professionals to further enhance skills and contribute to meaningful projects. Available to work in office or remotely."
74,"During my studies, I worked on a freelance project creating an e-commerce site for a store selling fireplaces, furniture, and tubus for bottled water.

I am a junior web designer with experience in creating engaging websites that offer a memorable user experience and efficient navigation. Here are some projects I have completed:

1. Online Doctor Appointment Web Service - Happy Health Clinic | Online Consultation. Developed a web service interface for online calls between doctors and patients. Project involved three stages: general end-user interface, doctor interface, and payment interface.

2. Car Service Application - Created an application that lists all car service centers in Ukraine. Developed an easy-to-use app with features like a car service call and registration at the autoservis. Project was completed in a single stage with a focus on the end-user interface. 

I am eager for opportunities to continue learning and growing in the field of web design and development, and to collaborate with a talented team."
75,"Alina
Junior UI/UX Designer

- One year of professional experience in UI/UX design, contributing to the design and development of user-centered interfaces for web and mobile applications
- Proficiency in conducting user research, usability testing, and incorporating user feedback to improve designs
- Collaboration skills demonstrated through effective communication with cross-functional teams
- Track record of delivering projects within tight deadlines with attention to detail
- In-depth knowledge of design principles, typography, color theory, and information architecture

Skills:
UI/UX Design
Wireframing
Rapid Prototyping
Design System Design
User Research
User Journey Mapping
Graphic Design

Tools:
Figma
Adobe Illustrator
Adobe Photoshop
MS Office"
76,"Hi, I'm an aspiring UI/UX designer with experience in creating landing pages, websites, and mobile applications. I have completed two projects: a website redesign for ""A kids place Childcare"" and a team project as the team leader for the web service ""ZooShuk"". I am proficient in using Figma, Photoshop, and Illustrator for design work. I am open to internship or job opportunities and am eager to work on projects across various industries to broaden my skill set and gain additional experience."
77,"Hi, I'm a young and energetic UX/UI designer with experience in conducting research, analyzing competitors using Similarweb, and applying design thinking principles. I have completed three pet projects, including designing a landing page for a barbershop, redesigning a tattoo studio website, and collaborating on a web service for finding lost pets. I have strong skills in Adobe Photoshop, Adobe Illustrator, and Figma, and I am always seeking to improve and adapt to new technologies. I am looking for opportunities to work in a friendly team with creative thinkers who are passionate about creating successful products."
78,"GoIT (IT courses)
- UI/UX Designer
- Mobile app design

Designed an entire desktop application.

Creative UX/UI Designer with experience in implementing the best design solutions to create an intuitive user experience for achieving certain products’ business goals.

Portfolio includes projects ranging from simple pages to complex web applications that emphasize client branding and user-friendly navigation.

Projects:
1. Restaurant reservation app:
- Conducted competitors analysis, created user flow, user personas, wireframes, and other design elements.
- Used Figma and ProtoPie.

2. Furniture landing page:
- Developed UI Kit, colors, typography, and landing page design.
- Utilized Figma.

Tech Skills: UX/UI design, Figma, ProtoPie.

Passionate about creating functional and attractive websites to improve user experience. Seek a role with a company that prioritizes productivity and convenience, demonstrating a strong ability to learn quickly, take on complex tasks, and deliver results. View portfolio on Behance profile."
79,"Anya
UI/UX Designer specializing in web design with experience in graphic design.

Skills:
- Creation of effective structure and content (composition, work with grids, typography, color theory, laws in design, micro-interaction)
- Main stages of work on a web project
- UX research (competitor analysis, definition and segmentation of the target audience, drawing up a screen map)
- Anatomy of UI elements
- Proficient in Figma, Adobe Photoshop, Adobe Illustrator, Adobe After Effects

Experience:
- NGN.agency: Marketing design for brands Fora, Pickwick, Jacobs, Carte Noire, Synevo. Photo retouching in Adobe Photoshop.
- TapJets holdings INC.: Design of content and video content for social networks. Team work on brand promotion including logo creation, corporate style, website redesign, and design for social networks.

Seeking a role in a company where I can continue to grow and develop alongside a community of like-minded individuals, creating innovative products for brands."
80,"Liubov

UI/UX Designer

Skills:
- Proficient in Figma and Adobe Photoshop
- Experienced in creating research, user persona, clickable prototypes, styling, and typography
- Focus on creating ergonomic, beautiful, and comfortable designs
- Open to learning and improving skills 

Experience:

Alaska Pete's Website Redesign
- Conducted research and competitor analysis to create a modern and user-friendly design to attract potential customers
- Implemented successful solutions such as simple and modern style, structured information, and unified style photos

CoStay Web-Service
- Developed web service for searching temporary accommodation for students and young people
- Conducted competitor analysis, research, Information Architecture development, User Flow, and CJM 

Additional Information:
- Passionate about staying updated with the latest design trends, tools, and technologies
- Pay attention to design elements including typography, color schemes, imagery, and spacing

Objective:
- Interested in opportunities to enhance and develop products through collaboration
- Committed to a friendly atmosphere, career growth, clear communication, inclusive culture, collaborative environment, and corporate training and development within the company."
81,"Hi, my name is Max, I'm from Kharkiv. Looking for a permanent job, I want to be part of a big and cool team. I want to grow and develop in the direction of design. I am looking for a job as a Junior UX/UI designer. I am studying at the IT school ""Design Kitchen School"".

Completed tasks:
1) Created a landing page for a volunteer organization, selecting fonts, colors, and high-quality photos. The goal was to inform about the organization's activities, target audience, and ways to help, with a donation block for financial support. Mobile version also implemented. View the work on my Behance page.
2) Redesigned an online clothing store after competitor analysis. Proposed recommendations, described user personas, created site map, and redesigned the website using prototyping in Figma. More details on my Behance page.

Skills:
- UI/UX design
- Mobile apps design
- Web design
- Framework creation
- User flow and personas
- Prototyping
- Landing page creation
- E-commerce
- Responsive design
- Design system
- Typography
- Color theory
- Composition

Tools:
- Figma
- Adobe Photoshop
- FigJam
- Trello."
82,"Project 1: Optimization of an e-commerce mobile application
Main role: Design and improve UI of mobile application for e-commerce company. Collaborated with team of developers, UX designers, and project managers to enhance purchasing process. Used Sketch and InVision for designing and prototyping.

Project 2: Redesign of service-oriented web portal
Complete redesign of web portal providing various services. Conducted user research, data analysis, and developed interface meeting users' needs. Used Figma for layouts and prototypes, and conducted usability testing.

Project 3: Landing page

Project 4: 3 Mobile apps

Future development focus: Specialize in interaction design, particularly animations and microinteractions to enhance user experience. No interest in projects requiring complex animations."
83,"HOMECULT
- Specialized in professional interior design development
- Developed and improved company's online presence and image
- Showcased portfolio of works to attract new customers
- Identified and solved business problems through effective design solutions

Motocycle Website Concept
- Designed a commercial website for sports motorcycles sales
- Differentiated design from competitors to enhance brand identity
- Created user-friendly interface for easy navigation and browsing

DRIVER 24
- Developed mobile application for car rental services
- Designed user-friendly interface for easy car selection and rental process
- Prioritized convenience and simplicity for user interaction"
84,"- Three own projects: Dog style, Flower Lover, Redesign website Indian food
- Beginner web designer skilled in Prototyping, Figma, Adobe Photoshop, Adobe Illustrator, User Interface Design, UX Research, Web Design, and UIKit
- Passionate about creating impactful solutions to help people
- Experience with expanding sales geography and improving customer experience through website design in the Flower Lover project
- Demonstrated ability to increase customer loyalty through promotions, discounts, and subscription services
- Proven track record of improving user experience, increasing conversion rates, enhancing brand identity, implementing SEO improvements, and mobile device adaptation in the Redesign website Indian food project
- Seeking opportunities to work with real customers and experienced web designers to continue developing skills and creating innovative solutions."
85,"Professional Summary:

Experienced UI/UX Designer with a background in Certified Interior Design offering 4+ years of experience. Skilled in designing functional, sustainable spaces and creating aesthetically pleasing designs. Proficient in Figma, Adobe Photoshop, Adobe Illustrator, and Web Flow. Specializes in UX research, prototyping, landing page design, mobile interface design, vector graphics, mobile application development, and web service design. Passionate about design and always seeking opportunities for growth and development in a product company."
86,"I am a creative and ambitious individual with a knack for creating aesthetically pleasing and functional website designs. My ability to learn quickly and constantly improve allows me to find effective solutions for various web design tasks.

I have a keen sense of proportion and color, which helps me create harmonious and impactful designs. I enjoy leveraging my imagination and creativity to develop unique web designs.

As a detail-oriented perfectionist, I ensure the high quality of my work. I excel at listening to clients' needs and translating them into tangible website ideas. While I may not have direct web design experience, I am confident in my ability to rapidly acquire new tools and technologies to excel as a web designer.

-Designed web service ""TakeCARE"" for conducting online medical consultations
-Created online store ""The POWER"" for electronic gadgets and equipment
-Developed a landing page for a furniture store showcasing products and offering consultation services
-Designed a mobile app ""Flowerlove"" for ordering flowers and gifts for special occasions"
87,"- Team leader in the project ""Webservice UX/UI Design-Travel Easily"", responsible for creating a complete UX and UI unique functional design of websites and mobile applications, redesigning websites, and collaborating within a team.
- Developed UX and UI for both guests and hosts for the Travel Easily webservice, aimed at organizing stays in other countries affordably.
- Redesigned a multi-page Landing Page for a hospital, focusing on creating a user-friendly experience with the option to book appointments online.
- Created a Landing Page for a flower shop according to the provided brief, showcasing the beauty, services, and range of the shop with a simple user interface.
- Passionate about creative projects and staying current with design trends, with a strong desire to grow and continuously improve.
- Seeking a full-time position in a company where I can apply my skills as a fast learner, responsible individual, problem-solver, and detail-oriented designer."
88,"- Redesigned the ""Custom Concepts"" website for a tattoo studio, focusing on showcasing the individuality of the brand and highlighting the master artists
- Developed user personas, wireframes, and prototypes for the website redesign project
- Created UI-Kit and improved the visual design, navigation, and functionality of the website
- Collaborated on the development of the web service ""Happy Health"" for online professional help for user-patients and user-doctors
- Designed adaptive layouts for tablet and mobile for ""Happy Health"" using Figma and Adobe Photoshop
- Co-created the mobile application ""Quick Way"" for quick access to car services from top providers
- Designed branding, illustrations, user flows, wireframes, and prototypes for the ""Quick Way"" mobile app using Figma, Adobe Photoshop, and Adobe Illustrator."
89,"During my studies, I created a landing page for a Ukrainian chef offering packaged lunches for long-term storage, with a focus on mobile and tablet adaptation.

I am a creative and result-oriented designer with experience in creating unique and attractive visual concepts for websites. I have worked on projects such as KULISH landing page for Ukrainian dishes, WEB Service HiTutor team project, and Music School Website Redesign.

I am eager to continue growing and expanding my knowledge in design while working in a team of professionals. I am committed to achieving specific goals and ensuring successful user interaction with websites through my design solutions."
90,"- Team Leader with experience organizing and supervising team members
- Conducts training on design skills and targeted advertising
- Organizes events and gatherings for over 100 people
- Responsible for client acquisition and communication
- Creative UI/UX designer with specialization in website, service, and mobile application development
- Commercial experience in web design and social media marketing
- Proficient in website builder, Adobe Photoshop, Adobe Illustrator, Figma, and Canva
- Skilled in creating prototypes, customer journey maps, jobs-to-be-done, and user flows
- Strong understanding of composition, typography, and design thinking
- Completed Figma courses to enhance skill level
- Pet projects include an Event Landing Page for Architects, Redesign of an Indian Cuisine Website, and Helper Service for Finding Cleaning Companies
- Seeks to join a dynamic team that thrives on growth and innovation"
91,"During my time as a UI/UX designer, I have gained experience in target and competitor analysis, wireframing, and prototyping. I am proficient in using Figma, Adobe Photoshop, and Adobe Illustrator. I have created two landing pages, a web service, and redesigned a photo studio website with adaptive designs for tablet and mobile. I have a strong eye for aesthetics and functionality, and possess the ability to translate complex concepts into elegant, user-friendly designs. I have worked on team and individual projects that focus on creating productive and user-friendly designs. I am seeking opportunities for career growth and development in a collaborative environment with the possibility of partial remote work and corporate training within the company."
92,"Experience:
- Collaborated with a team to create a web service called ""PetHelp"" aimed at reuniting lost animals with their owners during times of crisis.
- Developed a restaurant reservation mobile app called ""BookingTablet"" to simplify the booking process for customers.
- Implemented user-centered design principles to ensure the functionality and aesthetics of both projects met user needs and received positive feedback.

Skills:
- Proficient in UI/UX design for websites and mobile applications.
- Experienced in using design tools such as Figma, Miro, Photoshop, and Illustrator.
- Strong creative abilities and a passion for innovative design solutions.
- Up-to-date with the latest web design trends and technologies to continuously improve skills."
93,"- Team Leader in the project ""Languages web service”
- Defended two projects
- Several shots on Dribbble
- Currently a student at GO IT School, working on projects to increase qualifications
- Redesign of the tourist site: Developed a concise and easy-to-use site to popularize tourism in Ukraine for both Ukrainians and foreigners
- Creation of a web service: Collaborated on creating an easy-to-use personalized language learning platform with communication features for users to interact with teachers/trainers
- Skilled in analysis, Jobs to be done, CJM, and User flow
- Seeking a position as a Junior UX/UI designer to continue learning and staying up to date with latest design trends and tools."
94,"- 4 successful presentations designed 
- Resolved issues with Multiplex cinema desktop website 
- Designed landing page for delivery service 
- Created mobile application for sound recording 
- Developed authorization screens for mobile application HearU 
- Collaborated on designing 5 unique and successful loyalty campaigns 
- Conducted 5 product presentations that contributed to securing client contracts 
- Published “Arena” book with original illustrations and cover design 
- Key art design for POS-materials and packaging 
- Contributed to UI design for mobile application and website 
- Achieved 3% increase in store turnover 
- Experienced in 3D modeling and rendering 
- 4+ years of overall design experience, including 9 months in UX/UI design 
- Strong work ethic with willingness to take on routine tasks 
- Effective team player with ability to work independently 
- Committed to leaving a positive impact and improving upon existing projects 
- Seeking new opportunities in UX/UI design to create user-friendly projects that enhance user experience"
95,"EXPERIENCE

UX/UI Designer
- Successfully completed two projects: website redesign for ""Cucina die Catherina"" and landing page for Shugaring Salon
- Conducted research and competitive analysis to inform design decisions
- Created clear, user-friendly designs for desktop, tablet, and mobile devices
- Analyzed target audience and developed intuitive interfaces
- Worked on User Interface design to improve overall user experience

LANGUAGES

German - Fluent
English - Intermediate
Ukrainian - Native
Russian - Native

OBJECTIVE

Seeking a remote work, freelance, or full-time position in a growing company to contribute to the development of user-friendly products. Fast learner, responsible, organized, and punctual with a goal of personal career growth and skill development."
96,"- Experienced junior professional in UI/UX design with a strong background in creating high-quality mockups for websites and mobile applications.
- Proficient in UX design principles such as creating personas, wireframing, prototyping, and interaction testing.
- Skilled in color theory, composition, and typography.
- Collaborative approach to working with developers to achieve optimal technical solutions.
- Proficient in Figma, Adobe Photoshop, and Adobe Illustrator tools.
- Strong problem-solving skills and ability to work effectively in a team environment.
- Successfully completed projects including a table reservation mobile application and a medical services platform, demonstrating ability to deliver user-friendly and innovative solutions.
- Experienced in developing landing pages, website redesign, and web service creation.
- Passionate about continuous learning and development in the UI/UX design field, seeking opportunities for professional growth in a supportive team environment."
97,"I developed a web-based platform for budget-friendly lodging options after conducting a market analysis, Customer Journey Mapping (CJM), and analyzing User Flow. By addressing consumer pain points, I curated a diverse selection of economical accommodations catering to global travelers.

I designed a mobile application aimed at streamlining and expediting the restaurant reservation process. The app facilitates quick and effortless online table bookings, enhancing user experience and reducing wait times.

Skills:
Figma
Adobe Photoshop
Adobe Illustrator
Canva
Webflow (basic)

Projects:
1) Booking website with cheap accommodation
- Conducted market analysis, CJM, and analyzed User Flow
- Created web-based platform offering affordable accommodation for travelers globally

2) Mobile app for booking tables in restaurants
- Designed mobile application for restaurant reservations to simplify online booking process

Goals:
Seeking to enhance UI/UX design skills and contribute to creative projects with professionals, while focusing on growth opportunities."
98,"Junior UI/UX Designer

2 own projects: a landing page for a barbershop and a website redesign for a restaurant, 2 projects in teamwork include a web service for finding lost pets and a mobile app for the delivery of gifts.

Passionate UI/UX designer with a focus on improving visual interfaces to enhance user experience. Skilled in creating effective and aesthetically pleasing designs. Eager to continue learning and developing in the field of design.

Project Experience:
- Created a landing page for a barbershop to attract new customers through attractive design and persuasive writing.
- Participated in the redesign of a restaurant website to enhance appearance and user experience, incorporating principles of effective navigation and visually appealing design.
- Collaborated on a web service for finding lost animals, conducting research, and creating an intuitive interface to help owners locate their pets efficiently.
- Contributed to a team project developing a mobile app for gift delivery, providing reminders for special occasions and the ability to choose and schedule gifts for loved ones worldwide.

Skills:
- Interface design
- User experience optimization
- Creative problem-solving
- Team collaboration

Professional Development:
- Creative self-expression
- Collective cooperation and teamwork
- Career growth and promotion opportunities

These projects highlight my creativity, teamwork skills, and ability to create user-friendly designs. Looking forward to new opportunities for growth and development in the design field."
99,"I independently designed a web service for finding free accommodation for tourists and a cross-platform application for booking tables in restaurants. Additionally, I created two landing pages and redesigned one website.

I am a junior UI/UX designer with a passion for creating quality, unique, and user-friendly products. I value teamwork and strive to continue developing my skills, staying abreast of industry trends, and leveraging the latest technological advancements.

I have experience creating a landing page for a barbershop and redesigning a website for a dental clinic, honing my skills in composition, typography, color theory, and other design principles.

My most significant experience comes from creating a web service for finding free housing, where I conducted UX research and gained expertise in Jobs to be Done, Information Architecture, User Flow, Customer Journey Map, and data management.

I also designed a cross-platform mobile application for booking tables in restaurants, deepening my understanding of mobile app development, iOS and Android differences, and interface design standards.

I thrive in collaborative environments and aspire to grow professionally within a dynamic company with ambitious goals."
100,"Developed the project Landing page of a flower shop and redesigned real estate houses for sale. Experience in leading teamwork and acting as a team leader for website development. Skilled junior UI/UX designer with a passion for creating quality, unique, and user-friendly products. Proficient in completing the full design cycle for Landing pages, analyzing target audiences and competitors, creating prototypes, and layout design. Specializing in increasing sales through target action prompts on Landing pages. Expertise in website redesigns, conducting research and analysis of competitors to create modern and convenient designs. Experienced in creating user personas and customer journey maps based on social networks and customer reviews. Knowledge in developing mobile applications, creating interactive prototypes, interface animation, working with modular grids, user flow design, graphical interface design, typography, and coloristics. Seeking a position with a competitive salary, opportunities for growth, on-the-job training, and paid holidays."
101,"Pet Projects:
- Conducted competitor analysis, researched information, and created interface wireframes, visual styles, and implemented final products
- Used programs such as Figma, Adobe Photoshop, Adobe Illustrator, and Protopie
- Projects are convenient, useful, and socially important

Skills:
- Experienced with Figma, Adobe Photoshop, Adobe Illustrator, Protopie, Corel Draw, and Miro
- Basic experience in UX research

Professional Experience:
- Re-designed a medical clinic website through full cycle design process, focusing on modern, user-friendly design and organizing information for ease of use
- Designed a web application for couchsurfing, connecting travelers and home owners worldwide for safe and cost-effective accommodations
- Created a mobile app for flower and gift delivery, allowing users to schedule deliveries for special occasions

Objective:
- Seeking a full-time position in a company that values a friendly atmosphere, mutual respect, career growth, and the opportunity for partially remote work
- Fast learner, detail-oriented, and ready for challenging tasks
- Goal is to contribute skills and knowledge to a team of like-minded professionals to create successful results."
102,"I am a Junior UX/UI designer with a background in creating landing pages and e-commerce websites. I have experience designing a website for an IT course platform, where I was responsible for the following tasks:
- Conducting a project briefing to identify goals, unique features, target audience, and competitors
- Analyzing competitors, identifying strengths and weaknesses, understanding target audience problems, and proposing solutions
- Creating site structure and detailing the functions of each block
- Developing a mood board and selecting references
- Designing a high-fidelity prototype
- Creating 2-3 UI concepts for the main page
- Designing all pages in line with the chosen style
- Developing responsive versions of the design
- Creating animation prototypes
- Building a UI kit
- Compiling a developer's package with all necessary materials

I am seeking to work with a team of professionals to continue improving my skills, gain more experience, and tackle challenging projects to enhance existing projects or create new ones."
103,"UX/UI Designer with a focus on web and mobile app design. Completed UX/UI Design and Prototyping courses at Lemon School with honors. Possess 5 years of experience in graphic design. Skilled in competitor analysis, warframe, design, adaptive design, quantitative research, functionality comparison, target audience analysis, user persona creation, empathy mapping, customer journey mapping, architecture design, user flow mapping, sketching, wireflow creation, design concept development, prototyping, and interface animation. Dedicated to advancing in the UX/UI design field."
