,Modified_openai_gpt-4o-mini_of_CV_Modelopenai_gpt-4o-mini
28,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile or Portfolio Link]  

---

**Professional Summary**  
Dedicated Project and Product Manager with four years of experience managing 74 simultaneous projects, including websites and mobile applications. Proficient in overseeing all stages of development and skilled in fostering collaboration among team members and stakeholders to achieve project goals.

---

**Experience**  

**Freelance — UI/UX Designer**  
*Date Range*  
- Designed landing pages to meet client specifications and enhance user engagement.  
- Developed e-commerce websites, focusing on user experience and functionality.  
- Created prototypes to visualize design concepts effectively.  
- Built websites using Tilda to streamline development processes.  
- Designed logos and corporate identity to establish brand recognition.  
- Produced visiting cards and advertising banners to promote client services.

**Netpeak Group — UI/UX Designer**  
*Date Range*  
- Developed designs for blogs and websites across various topics, improving overall aesthetics and usability.  
- Designed landing pages on Tilda to boost conversion rates.  
- Created distinct logos that align with client branding goals.

**Netpeak Group — Project/Product Manager**  
*Date Range*  
- Managed a team focused on the development of mobile applications and websites, ensuring project adherence to timelines and specifications.  
- Conducted manual testing to guarantee product quality and functionality.  
- Oversaw the workflow, including technical tasks, prototyping, design, development, testing, and production phases.  
- Established effective communication channels among project stakeholders to foster collaboration and transparency.  
- Organized retrospectives, backlog grooming, and planning poker sessions for accurate project time estimates.  
- Created prototypes to facilitate stakeholder feedback and guide development.  
- Analyzed analytics data using Google Analytics and AppsFlyer for informed decision-making.  
- Conducted competitor analysis with tools such as App Annie, Alexa, and Sensor Tower to identify market trends and opportunities.

---

**Education and Courses**  
- Completed four design courses at Projector School.

---

**Skills**  
- Project Management  
- Product Development  
- UI/UX Design  
- Prototyping  
- Manual Testing  
- Data Analysis  
- Communication  

---

**Career Interests**  
- Seeking involvement in interesting projects that promote professional growth.  
- Looking for well-organized management processes within a supportive workplace.  
- Aiming to enhance design skills in a company committed to developing its employees and contributing to society through impactful products and a strong mission.  "
29,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile] (optional)  
[Instagram: Kara_mond]  

---

**Professional Summary**  
Creative and results-driven designer with experience in graphic and motion design, social media management, event management, and internal communications. Strong ability to develop engaging content and strategies that enhance brand presence and promote successful events.

---

**Experience**  

**Graphic/Motion Designer**  
Freelance | February 2022 - Present  
- Design and animate motion graphics for social media using Adobe After Effects and other software tools.  
- Stay up-to-date on the latest design and animation trends and techniques.  
- Continuously improve skills and knowledge through online courses and workshops.  

**Event Manager**  
DKG | November 2021 - January 2022  
- Implemented new ways of event promotion.  
- Developed event feedback surveys and post-event reports.  
- Organised email campaigns and created scripts for them.  
- Coordinated internal resources to ensure successful project completion.  

**Social Media Manager**  
Freelance | October 2020 - 2022  
- Designed and implemented social media strategy across 6 Instagram/Facebook company brands.  
- Scheduled, created, and written content, videos, and images that increased brand awareness with 12+ posts and 35+ stories across platforms each week for F&B, Beauty, and Automotive industries.  
- Executed social media presence across Instagram and Facebook.  
- Reported social media KPIs for each channel, including engagement and followers.  
- Learned Photoshop and After Effects to create custom banners and other images for use in campaigns.  

**Conference Project Manager**  
BCF | May 2019 - August 2021  
- Managed the full cycle of event management, developing event programs, schedules, and concepts.  
- Managed in-house and remote team of five.  
- Led up to 6 projects simultaneously.  
- Organised 25+ conferences for Automotive, Medical Device, Pharmaceutical, and Consumer Goods industries.  
- Conducted feedback analysis for the strategic development of future events.  

**PR Manager (Internal Communications)**  
KazTransOil | December 2015 - August 2017  
- Created articles and press releases.  
- Managed communication with mass media.  
- Managed charity events on behalf of the company.  
- Created weekly and daily news for internal stakeholders.  

---

**Education**  
Learning UX-UI Web Design | Since June 2022  

---

**Skills**  
- Graphic Design  
- Motion Graphics  
- Social Media Strategy  
- Event Management  
- Internal Communications  
- Content Creation  
- Adobe Creative Suite (Photoshop, After Effects)  
- Project Management  
- Strategic Planning  
- Communication and Collaboration  

---  

**References**  
Available upon request."
30,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile or Portfolio Link]

**Objective**  
To obtain a full-time position at a company that aims to enhance daily life simplicity and efficiency.

---

**Skills**  
- Wireframing and Prototyping  
- Responsive Design  
- User Flow Mapping  
- Quick Learner  
- Team Collaboration  
- Feedback Integration  

---

**Experience**  

**Agro-Industrial Group ‘Pan Kurchak’**  
*Advertising Manager*  
Aug. 2021 - Present  
- Manage social media marketing (SMM).  
- Oversee website management.  
- Write product requirement documents for graphic and web designers.  

**Advertising Agency ‘Ruden Agency’**  
*Social Media Manager*  
Oct. 2020 - Sep. 2021  
- Create content plans.  
- Write and schedule social media posts.  
- Design illustrations for social media.  

---

**Project Experience**  

**‘PAW Tracker’ Website Design**  
Developed a user-friendly website to assist in locating lost pets using filters through empathy-driven design to create a sensitive and supportive interface.

**‘TableTap’ Mobile App Design**  
Designed a user-friendly platform for easy restaurant table selection and booking, achieved through user research and intuitive design, enhancing the dining experience.

---

**Summary**  
I create intuitive designs for mobile app interfaces, landing pages, and web services, grounded in basic market research to align with user preferences. My experience in advertising and collaboration with clients enables me to incorporate powerful visual storytelling in my designs. I thrive in team environments and am dedicated to optimizing user journeys through high fidelity wireframes and prototypes for efficient iterations."
31,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  

**Professional Experience**  

**Department Director**  
[Previous Company Name]  
[City, State]  
[Month, Year] – [Month, Year]  
- Promoted to department director less than a year after starting.  
- Oversaw departmental operations and contributed to team development.  

**Project Experience**  

**Furry Finder**  
- Collaborated on the development of a web service designed to assist in finding lost pets, allowing users to post ads and connect with others.  
- The project was completed as part of a team effort during training.  

**Redesign of the Skandi Restaurant Website**  
- Led the redesign of the Skandi restaurant website to enhance readability and user experience.  
- Improved layout by adjusting font selections and restructuring menu items while introducing a feedback section in the ""Reviews"" block.  
- Worked on this project during academic studies.  

**Getshop App**  
- Developed a mobile application focused on gift selection with integrated delivery options.  
- Aimed to create a user-friendly experience with in-app payment features.  
- The application was designed and developed as part of a course project.  

**Education**  
[Your Degree]  
[Your University]  
[City, State]  
[Year of Graduation]  

**Skills**  
- Team Collaboration  
- Web Development  
- User Experience Design  
- Mobile Application Design  
- Project Management  "
32,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile or Portfolio Link]  

---

**Objective**  
Dynamic and creative designer with experience in web and mobile application design, seeking to leverage skills in design development and market analysis to contribute effectively to a team environment.

---

**Education**  
**PROJECTOR Institute**  
- Web Design Course  
- Mobile Application Design Course  

---

**Experience**  

**GBS IT, StartUp**  
*Designer*  
October 2022 - Present  
- Created and invented design solutions for desktop and browser versions of the application based on the principles of a CRM system.
- Conducted market and competitor research to inform design decisions.
- Collaborated continuously with the customer (owner) and the developer to ensure alignment on project goals.
- Developed complete design solutions from initial mockups to final implementations.
- Designed over 40 design solutions for tables, integrated in the application (2D and 3D formats).
- Animated transitions and active actions within the application for improved user engagement.

---

**Freelance, Upwork**  
*Designer*  
May 2022 - Present  
- Developed a landing page design for PC and smartphone for a startup company that produces orthopedic pillows.
- Conducted market research and analysis to inform the design of a mobile application called Sommelier, featuring a database of alcoholic beverages and a store for products and events.
- Analyzed the Paired mobile application (competitor), proposing ideas and solutions to enhance user experience, including two conceptual hypotheses for revising the payment screen.
- Redesigned the web page to improve functionality and aesthetics.

---

**Leadership Experience**  
- Led a team of 12 employees, focusing on analytics, market research, and sales data to boost performance in sales statistics and initiatives for improvement.

---

**Skills**  
- Proficient in design software and tools  
- Strong communication and collaboration abilities  
- Expertise in user interface (UI) and user experience (UX) design  
- Ability to conduct thorough market research and analysis  
- Experience in project management and teamwork  

---

**Interests**  
- Continuous learning and professional development  
- Exploring new design trends and technologies  
- Contributing to team success and innovation  "
33,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Objective**  
To leverage my skills in web design and UX/UI principles to create effective and user-centered digital experiences.

---

**Skills**  
- Developing an effective interface: Mastery of principles of design, ensuring optimal user interaction with websites.
- Deep understanding of UX/UI: Creation of intuitive and aesthetically pleasing web designs based on thorough analysis of user needs.
- Proficient in design tools: Skilled in Adobe XD, Figma, and Sketch for creating high-fidelity prototypes and mockups.
- Responsive design: Ability to develop responsive web designs optimized for various devices and screen sizes using media queries and flexible layout techniques.
- Colour harmony and typography: Expertise in selecting colour palettes and fonts that enhance readability and aesthetics of websites.
- Prototyping and testing: Experience in prototyping and user testing, with a strong focus on analysing results to improve user experience.
- Ability to collaborate: Effective teamwork skills, actively listening and contributing constructively to team discussions.

---

**Projects**  

**Gifts&Fleurs**  
Developed a flower and gift delivery app that allows users to schedule deliveries for upcoming birthdays. Conducted competitor analysis and identified user interests to define target audience needs. Created a unique layout featuring onboarding, home page, catalogue, favourites, cart, and user profile, utilizing a soothing pastel colour palette and legible font for various phone dimensions.

**Mr.Cleaner**  
Collaborated in a team of three to design a user-friendly interface for a cleaning company. Participated in competitor analysis and target audience discussion, contributing to the selection of product features for the initial iteration. Created a user flow diagram and designed the main page, achieving a modern and user-friendly design adaptable to multiple devices.

**A Kids Place Childcare**  
Redesigned the website of a kindergarten, focusing on wireframing key pages and developing the project UI. Enhanced the website with clickable CTAs and created a UI Kit. The design embodies vibrant and playful colours, fostering a welcoming experience for visitors while maintaining easy navigation suitable for all users.

---  

**Education**  
[Your Degree]  
[Your Institution]  
[Graduation Year]  "
34,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Email]  
[Your Phone Number]  
[LinkedIn Profile]  

**Objective**  
Enthusiastic and dedicated beginner UI/UX designer seeking opportunities to contribute to innovative projects and collaborate with teams to create user-friendly and visually appealing designs.

**Projects**  

1. **Matcha Tea | Website**  
   - Developed a simple yet engaging website through various stages, including competitor analysis, wireframing, design, and UI kit creation.

2. **HealthyLife | Web Service (Team Project)**  
   - Collaborated on the design of a web service that connects users with the right doctors, focusing on competitor analysis, wireframing, design, and prototyping.

3. **FloverLover | Landing Page**  
   - Designed a landing page for a flower delivery service aimed at customer acquisition, including competitor analysis, moodboard creation, and overall design. The page features delivery terms, a catalog, pricing, and customer reviews.

4. **Tattoo Studio | Landing Page**  
   - Created a practice landing page with a modern aesthetic and a cohesive color scheme to reflect the vibrant atmosphere of a tattoo studio.

**Skills**  
- UI/UX Design  
- Competitor Analysis  
- Wireframing  
- Prototyping  
- Team Collaboration  
- Moodboard Creation  
- Visual Design  

**Interests**  
I look forward to engaging work experiences that allow me to provide convenient and attractive website designs while conducting competitor and target audience analysis.  

**References**  
Available upon request."
35,"**[Your Name]**  
[Your Phone Number]  
[Your Email Address]  
[Your LinkedIn Profile]  
[Your Address]  

---

**Graphic Designer**

**Etere**  
*Graphic Designer*  
*11.2022 - 05.2023*  
- Developed printed products (booklets, business cards, flyers, etc.) for promotions or exhibitions.  
- Created infographics, presentations, icons, logos, and web banners for the company website.  
- Designed advertisements for online and printed magazines.  
- Created exhibition stands.  
- Achievements: Completely updated the banner for the company's website; made stand design for NAB show 2023 and other exhibitions; created infographics for all company products.

---

**Profline**  
*Graphic Designer*  
*05.2021 - 02.2022*  
- Created corporate style and redesigned the existing logo.  
- Designed banners for social media and landing pages in Figma.  
- Conducted UX research, including target audience analysis, needs determination, surveys, UserFlow, UserMap, and various infographics.  
- Designed business cards, flyers, and other printed materials.  
- Performed product photography and photo editing.  
- Created and edited videos and animations for banners and websites.  
- Achievements: Increased the number of clicks on banners by 25%; achieved a 20% increase in landing page conversion; added approximately 1,000 new product photos; contributed to a higher share of repeat orders through the addition of a loyalty program.

---

**Skills**  
- Graphic Design  
- Branding and Corporate Identity  
- UX Research and Analysis  
- Banner and Web Design  
- Infographic Development  
- Photography and Photo Editing  
- Video Creation and Editing  
- Animation  

---

**Professional Goals**  
I am dedicated to developing my skills in the UI/UX design field. I aim to work in a collaborative environment where I can learn from experienced professionals, contribute creatively, and grow within my career. I am looking for opportunities for mentorship and support while taking on responsibilities in project teams."
36,"Graphic Designer • Freelance  
Mar 2017 - Oct 2019  
- Designed logos for various brands, including a logo for a children's swimming club.  
- Developed sticker packs for both printing and digital usage in messengers (Telegram).  

AR Mask Creator • Freelance  
Aug 2019 - May 2020  
- Created AR masks for companies and bloggers for Instagram, including both animated masks and those with 3D objects.  

UI/UX Designer • Freelance  
Aug 2021 - Present  
- Focused on aligning business interests with user-friendly interface design for the target audience.  
- Redesigned existing products and created new product designs from scratch.  
- Established the foundation and components of the Design System, including patterns, colors, typography, and iconography.  
- Conducted market and target audience research alongside website usability analysis.  
- Developed strategies for usability improvement and increasing conversion rates.  
- Analyzed existing interfaces within the market context.  
- Engaged in layout prototyping, UX writing, visual interface design, animation, and micro-interaction design.  "
37,"[Your Name]  
[Your Address]  
[Your City, State, Zip]  
[Your Phone Number]  
[Your Email]  

**Objective**  
Skilled UI/UX and graphic designer with 1 year of experience as a UI/UX Designer and over 4 years as a Graphic Designer, seeking to leverage my expertise in user-centered design to create impactful products.

**Experience**  

**UI/UX Designer**  
[Company Name] | [City, State] | [Dates of Employment]  
- Developed user interfaces from scratch using Figma.  
- Created User Personas, Customer Journey Maps (CJM), and User Flows based on in-depth interviews and research.  
- Designed wireframes and prototypes to enhance user experience.  
- Applied knowledge of Material Design and iOS Human Interface Guidelines in design projects.  
- Developed adaptive versions of websites to optimize user engagement across devices.  
- Created 2D animations using Adobe After Effects to enrich user interactions.

**Graphic Designer**  
[Company Name] | [City, State] | [Dates of Employment]  
- Crafted visual content and branding materials for various clients.  
- Collaborated with teams to conceive innovative design solutions that meet client needs.  
- Managed multiple projects simultaneously while maintaining quality and deadlines.

**Projects**  
- Mobile App for video consultations with doctors 24/7.  
- Landing page design for an online driving school.  
- Adaptive website development for home guest boxes.

**Education**  
[Degree] in Advertising  
[University Name] | [City, State] | [Year of Graduation]

**Skills**  
- UI/UX Design  
- Graphic Design  
- Figma  
- Adobe After Effects  
- User Research  
- Wireframing and Prototyping  
- Material Design  
- iOS Human Interface Guidelines  
- Adaptability in Web Design  

**References**  
Available upon request."
38,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

---

**Objective**  
UI/UX designer with a passion for creating user-friendly digital experiences. Eager to contribute to innovative projects as part of a collaborative team.

---

**Skills**  
- Proficient in designing landing pages, websites, and mobile applications  
- Full cycle design expertise, from analysis to implementation  
- Strong organizational and leadership skills  
- Creativity and responsibility in project execution  

---

**Project Experience**  

**Redesign for Mainsail Realty Company**  
- Led the redesign of the real estate company's website to enhance functionality and visual appeal, boosting user engagement and lead generation.  
- Conducted competitor analysis and developed wireframes.  
- Delivered a modern, responsive website that reflects the company's brand values, with intuitive navigation and logically organized content.  

**Landing Page for Flower Delivery ""Flower Lover""**  
- Developed a landing page to promote bouquet delivery services.  
- Conducted competitor analysis, created a moodboard, designed wireframes, and implemented the design.  

**Web Service for Cleaning Services**  
- Team Lead in the development of a web service to streamline hiring for cleaning companies.  
- Conducted competitor research, facilitated team brainstorming sessions, and created user personas.  
- Developed user flow diagrams, customer journey maps, wireframes, and a comprehensive design for the final product.  

---

**Career Goals**  
Seeking a Junior UI/UX Designer position in a company with strong corporate ethics and healthy working relationships, with the option for remote work."
39,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[Your LinkedIn Profile]  

---

**PROFESSIONAL SUMMARY**  
Enthusiastic and skilled UX/UI designer with experience in creating visually appealing and user-friendly websites. Proficient in Figma, Adobe Illustrator, Prototype, and Adobe Photoshop, with a strong understanding of design aesthetics and attention to detail. Open to constructive criticism and committed to continuous learning.

---

**PROFESSIONAL EXPERIENCE**  

**UX/UI Designer**  
[Your Company Name] - [Location]  
[Month, Year] - Present  

- Developed 6 projects, with 2 completed as part of a team.
- Redesigned the website for a tattoo salon to improve customer traffic by enhancing design hierarchy and overall user experience through competitor analysis and research.
- Created a web service aimed at assisting pet owners in finding lost animals, featuring filters for various species and a matching function to connect lost and found pets based on proximity and criteria.
- Designed an application for booking restaurant tables, incorporating user-friendly features such as layout checking, table selection, guest number input, and additional service options for enhanced user engagement.

---

**EDUCATION**  
[Your Degree] in Chemistry  
[Your University]  
[Month, Year] - [Month, Year]  

---

**SKILLS**  
- UX/UI Design  
- Figma  
- Adobe Illustrator  
- Prototype  
- Adobe Photoshop  
- Mobile & Web Design  
- Responsive Design  
- Logo Design  

---

**ADDITIONAL INFORMATION**  
- Open to full-time or remote opportunities.  
- Proven ability to set and achieve goals while optimizing solutions.  
- Excellent team player with a positive attitude.  "
40,"Oksana  
Junior UI/UX Designer  

Contact Information  
[Your Phone Number]  
[Your Email Address]  
[Your LinkedIn Profile] (if applicable)  

Profile  
As a Junior UI/UX Designer, I specialize in UI/UX design for web and mobile applications. My focus is on creating visually appealing and user-friendly designs, ensuring intuitive user experiences and efficient navigation systems. I possess practical knowledge gained from a 6-month course at Go-IT, where I developed skills in UI/UX design for various platforms.  

Skills  
- UI/UX Design  
- Web and Mobile Design  
- User Research and Analysis  
- Navigation Structure Development  
- Logo and Banner Design  
- Animation Design  
- Project Collaboration  

Experience  

Kindergarten Website Redesign  
- Redesigned an outdated kindergarten website to create a modern, user-friendly interface that appeals to young parents.  
- Conducted thorough research and competitive analysis to identify successful design solutions for the project.  

HOME for GUEST App  
- Designed a user-friendly web service that facilitates a unique accommodation experience similar to couch-surfing.  
- Focused on creating an easy-to-use website with a suitable design for users seeking work and leisure opportunities in new environments.  

Education  
- Completed 6-month course in UI/UX Design at Go-IT  

Objective  
I am seeking a position in a company that offers opportunities for professional growth and development."
41,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[Your LinkedIn Profile]  

---

**Objective**  
Passionate graphic and UI/UX designer eager to contribute to creative projects and enhance my skills in a collaborative environment. 

---

**Skills**  
- Proficient in Figma, Adobe Illustrator, and Adobe Photoshop  
- Logo design, website design, and UI/UX principles  
- Experience with redesign, research, user personas, moodboards, and Smart Animate in Figma  

---

**Experience**  

**Team Leader, CleanUp**  
- Led a group project developing a web resource for cleaning services, enabling users to find a suitable cleaner based on their needs.  
- Oversaw the full cycle of design from analysis to adaptation, creating the user interface and ensuring a cohesive design throughout.  
- Utilized Figma, Adobe Illustrator, and Adobe Photoshop for design tasks and full linking.  

**Custom Concepts**  
- Redesigned an existing tattoo studio website to improve user experience while providing critical information and appointment capabilities.  
- Enhanced the site by changing colors, fonts, incorporating a distinctive CTA button, and improving the FAQ section's functionality.  
- Employed Figma, Adobe Illustrator, and Adobe Photoshop for all design elements.  

**AnabioZ**  
- Developed a comprehensive guideline for a men's gift shop, from logo creation to application on various devices and signage.  
- Focused on consistent branding across different formats, utilizing Adobe Illustrator and Adobe Photoshop in the process.  

---

**Professional Development**  
- Committed to continuous learning and growth within a dynamic team environment, ensuring timely completion of tasks and a results-oriented approach.  "
42,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  

**Objective**  
Junior UI/UX Designer with six months of experience in prototyping and web design. Eager to join a team to create high-quality products that elevate user experiences and drive business success.

**Professional Experience**  

**Junior UI/UX Designer**  
GoIT  
[Month, Year] – Present  
- Designed user interfaces with a focus on appealing and intuitive designs.
- Developed prototypes and wireframes to visualize concepts and enhance user experience.
- Conducted UX research to understand user needs and improve design processes.
- Collaborated with team members to create a user-friendly rental apartment web service, connecting travelers and apartment owners.

**Skills**  

*Hard Skills:*  
- Proficient in Figma, Adobe Photoshop, Adobe Illustrator, ProtoPie, and Canva  
- Experienced in creating wireframes and prototypes  
- Strong understanding of UX principles, design systems, and UI kits  
- Knowledgeable in information architecture  

*Soft Skills:*  
- Curiosity  
- Empathy  
- Creativity  
- Attentive to detail  
- Critical thinking  
- Strong communication skills  

**Education**  
[Your Degree, if applicable]  
[Your Institution]  
[Year of Graduation]  

**Interests**  
Motivated to tackle new challenges in web design and mobile app development to further enhance skills and contribute to high-quality projects. Seeking to leverage design expertise in a progressive company to create exceptional products.  

[Optional: LinkedIn Profile or Portfolio URL]  "
43,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile or Portfolio Link]  

---

**Objective**  
Junior UI/UX Designer with a passion for creating intuitive and aesthetically pleasing user experiences. Eager to learn and grow within the design field while contributing to innovative projects.

---

**Education**  
Courses in UI/UX Design  
- Acquired knowledge in interface design, color theory, typography, and key principles for developing effective user experiences.

---

**Project Experience**  

**Redesign for an Indian Restaurant**  
- Full cycle design of a website to improve mobile responsiveness and usability.  
- Redesigned the website interface to enhance customer acquisition through better user engagement.

**Turnabout - Travel Booking Web-Service**  
- Full cycle design of a platform for renting housing.  
- Engaged in competitor analysis, created user personas, developed wireframes, and executed the final design as part of a team.

**Rest Book - Mobile Application**  
- Full cycle design of a mobile application for selecting and booking restaurant tables.  
- Conducted competitor analysis, created user personas, wireframes, and developed the final application design within a team setting.

---

**Skills**  
- Proficient in UI/UX design principles  
- Strong understanding of user-centered design  
- Experience in wireframing and prototyping  
- Knowledge of competitor analysis and user persona creation  
- Collaborative team player  

---

**Personal Statement**  
A creative individual dedicated to designing engaging websites and mobile applications. Currently focused on UI/UX design with practical experience from various projects, including a landing page for a barbershop in Kyiv, a redesign for an Indian restaurant, and a housing reservation web service. Open to new knowledge and technologies to advance in the field."
44,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

---

**Objective**  
Junior UI/UX designer seeking a long-term opportunity to apply design skills and contribute to impactful projects. 

**Education**  
- Completed course 'From Zero to Mastery: Web & Mobile Designer in 2022: UI/UX, Figma +more'.  

**Experience**  
- Over 3 years of experience in IT as a recruiter, providing a strong understanding of SDLC and IT-business processes.  
- Mentored by a senior UI/UX designer, receiving guidance on design critique and growth strategies.

**Projects**  
- Designed a mobile application for the Djinni platform.  
- Developed a bill-split mobile application.  
- Currently working on a new pet project.

**Skills**  
- UI/UX design  
- Figma  
- Design theory  
- Basic CSS/HTML  

**Additional Information**  
- Open to long-term cooperation and opportunities to enhance skills and contribute to team success.  
- Not considering projects with Russian or Belarusian clients.  "
45,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile or Portfolio URL]  

**Professional Summary**  
Enthusiastic UI/UX designer with over 1 year of experience, transitioning from a background in furniture and interior design with 20 years of experience. Proven ability to effectively communicate with clients and deliver engaging design solutions. Currently freelancing for Ukrainian brands, leveraging skills developed through ""Alpaca - Tech & Digital School."" Eager to collaborate within a professional team to further develop design expertise while contributing to shared goals.

**Experience**  

**UI/UX Designer (Freelancer)**  
[Your Freelance Duration]  
- Developed a user-friendly website design for an online shop of a Ukrainian women's clothing brand, from concept through launch.  
- Managed joint development, including domain and hosting acquisition, and payment system integration.  
- Enhanced client sales through improved site accessibility and ease of use.

**Furniture and Interior Designer**  
[Your Previous Company Name] | [Your Previous Duration]  
- Executed various design projects, successfully meeting client specifications and aesthetics over two decades.  
- Fostered strong client relationships through effective communication and understanding of design needs.

**Education**  
""Alpaca - Tech & Digital School""  
[Year Graduated]  

**Skills**  
- Figma  
- Photoshop  
- Illustrator  
- Webflow (completed course)  
- HTML and CSS knowledge  
- Target audience research  
- Sitemap and user map creation  
- UI Kit development, components, auto-layout  
- Wireframing and prototyping  
- Understanding of design hierarchy, color theory, and typography  

**Projects**  
- [List specific projects if applicable, including any notable elements or skills used, or simply state “Working on various projects for Ukrainian brands.”]  

**Languages**  
- [Languages you speak, if relevant]  

**References Available Upon Request**  "
46,"Hello! I am a self-motivated designer seeking a full-time UI/UX designer position. Completed web designer courses at KAMA and participated in design marathons from IT schools.

I have freelance experience, including a project for a landing page for the Employment Abroad agency, where I conducted project briefings, developed terms of reference, created prototypes, and designed the interface.

My experience includes creating:
- Landing pages
- Adaptive design for mobile and web interfaces
- Basic animation using Figma
- Prototyping
- UI kits

Additionally, I have 4 years of experience as a graphic designer. In the last 2 years, I worked at a company where my main responsibilities included:
- Graphic support of content in social networks
- Development of creatives for targeting
- Design and prepress preparation of printing materials in accordance with the brand book
- Development of concepts and layouts for catalogs
- Photo retouching
- Website redesign, including graphic content (adaptive banners, icons) and content selection

Software Skills:
- Figma
- Adobe Photoshop
- Adobe Illustrator
- Tilda"
47,"[Your Name]  
[Your Address]  
[City, State, ZIP]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile or Portfolio URL]  

**Professional Summary**  
Enthusiastic UI/UX designer with extensive experience in advertising, printing products, and managing comprehensive advertising projects. Proven track record as a team leader in large projects, with a commitment to continuously improving skills in design and user experience.

**Project Experience**  

**Webservice**  
*Role: Team Leader*  
- Led the full design cycle for a medical web service facilitating appointment scheduling for patients and doctors.  
- Developed intuitive user interfaces for patients, doctors, and online consultations, ensuring accessibility across tablets and mobile devices.  

**Redesign**  
*Role: Team Leader*  
- Executed a complete redesign of a sports bar website, modernizing the visual design and enhancing usability.  
- Implemented features for easy table booking and ensured full adaptation for mobile devices, improving user experience significantly.  

**Skills**  
- UI/UX Design  
- Project Management  
- Website Redesign  
- User Interface Development  
- Mobile and Tablet Adaptation  
- Team Leadership  

**Interests**  
Looking forward to new connections, exciting projects, and collaboration with a friendly and dynamic team."
48,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  

---

**Objective**  
Aspiring Junior UI/UX Designer seeking a position in a friendly team with a mentor to enhance my skills and gain valuable experience.

**Professional Experience**  

*Freelance Designer*  
[Date] – Present  
- Designed a presentation for Mikhail Fedorov, the Minister of Digital Transformation of Ukraine, to promote digital transformation to the mayors of Ukraine's large cities.

**Skills**  
- Proficient in Figma (auto-layout, components, variants, styles, plugins, animation, prototyping)  
- Proficient in WebFlow (CMS, responsive design, animations, publishing, integrations)  
- Experience in creating UI kits and working with design systems  
- Strong visual design skills, validated by previous manager and mentor  
- Experience conducting stakeholder and user interviews  
- Experience in user testing  
- Basic knowledge of HTML, CSS, and Bootstrap  
- Strong attention to detail and ability to generate creative ideas  

**Domain Experience**  
- UI design for:  
  - Clothes shop (web and mobile app)  
  - Dentistry  
  - Public transport app  
  - Electronic document management system  
- UX and UI design for:  
  - Pizza delivery  
  - Recruitment & job board sites  

**Education**  
[Your Degree]  
[Your University]  
[Year of Graduation]  

**References**  
Available upon request."
