,Modified_mistralai/Mixtral-8x7B-Instruct-v0.1_of_CV_Modelmistralai/Mixtral-8x7B-Instruct-v0.1
54," Here is your improved resume:

---

**Goal:**
To make web and mobile applications simpler and more user-friendly. I am interested in modern trends and technologies in web design and am always open to new ideas and ready to gain experience in creating efficient interfaces.

**Experience:**

* Designed and developed landing pages, web services, and a mobile application for a crypto exchange
* Worked as a graphic designer and manager in an advertising and printing agency

**Projects:**

* **ALTIMA** - A mobile app for a crypto exchange featuring a minimalist interface, fast verification through ""ДІЯ"" and facial recognition.
* **WashHouse** - A web service that simplifies the process of ordering cleaning services, offering secure online payment and eliminating the need for a personal meeting.

**Skills:**

* Utilizes various UX research methods to create intuitive and effective designs
* Proficient in Figma, Adobe PS/AI, and Protopie
* Inspired by articles from Nelson Norman Group
* Focused on understanding user needs and behavior to ensure convenience and ease of use for the product
* Collaborates with developers and teams to effectively convey ideas and ensure successful project implementation
* Continuously improves skills and knowledge

---"
55," Here is your improved resume:

---

Junior UI/UX Designer
Six months of experience
Highly motivated and skilled designer with a passion for creating captivating user experiences.

Experience

During my academic journey, I have achieved significant milestones in the field of design.

* Designed a beauty salon website, conducting thorough research and analysis of competitors to create a visually appealing and cohesive design. Implemented the salon's branding elements, color schemes, and typography to create an engaging and professional website.
* Developed a web service for a cleaning company, utilizing the Design Thinking methodology to gain valuable insights into the target market's preferences and expectations. Ensured the design's adaptability for various devices, implementing an adaptive design that provided an optimal user experience across tablets and mobile devices.

Skills

* Proficient in creating prototypes and utilizing typography
* Expertise in UI and UX design
* Strong collaborator and effective communicator
* Committed to staying current with design trends and delivering excellence in every project

Education
During my academic pursuits, I have refined my skills in design thinking, user experience, and visual aesthetics.

Tools

* Figma
* Canva
* Adobe Photoshop

I am excited to further enhance my abilities and contribute my expertise to future design projects, continually striving for excellence and innovation in the field. I love connecting with new people and am committed to continuous growth. I am looking for a remote job in a company that strives to make everyday life and business easier, more productive, and convenient. I enjoy learning new things and developing my skills further."
56," Anna
Junior UI/UX Designer

• User-centered designer with 6 months of experience
• Proficient in UX research, design systems, and web accessibility standards
• Skilled in project management, team coordination, and remote work
• Goal-oriented with a strong desire to create high-quality products for users and businesses

PROJECTS

1. Sophie Scholl Realschule Website Redesign (Independent)
• Analyzed user needs, conducted UX research, and designed wireframes
• Developed a modern, user-friendly, and aesthetic website with simple and convenient navigation
• Ensured accessibility and adaptability for different devices

2. Web Service for Cleaning (Team Leader)
• Collaborated with a friendly and creative team to develop a web service for finding cleaning, gardening, and other services
• Conducted competitor analysis, created user flow and user personas, and designed frameworks and product design
• Prototyped and adapted the service for different devices, contributing to the company's product and project portfolio

SKILLS

• UI/UX design (Figma, Sketch, InVision)
• UX research (user interviews, surveys, usability testing)
• Accessibility and web standards (WCAG, ADA)
• Project management and team coordination
• Remote work and self-motivation
• Communication and presentation skills."
57," Bohdan
UX/UI Designer

Specialized in web and mobile application design, with a focus on usability and attractive design. Completed various projects and tasks to enhance design and usability skills.

Projects:

1. Architecture Website
* Met with client to discuss goals and preferences.
* Conducted research in the field of architecture.
* Designed site structure and defined sections: portfolio, services, projects, contacts, etc.
* Created a site with an architectural aesthetic, using high-quality photos and easy navigation.
2. Online iPhone Store
* Studied Apple brand and iOS interface design.
* Gathered key information about iPhone models, features, and pricing.
* Designed site layouts with a minimalist approach, focusing on images and ease of use.
* Integrated iPhone model information, features, and purchase options.

Skills:

* Proficient in UX/UI design for web and mobile applications.
* Able to understand user needs and create user-friendly and intuitive designs.
* Skilled in working with teams, communicating with developers and stakeholders.
* Adaptable to new technologies and trends in UX/UI design.
* Dedicated to continuous learning and improvement in the field of UX/UI design.

Seeking a workplace that values growth, creativity, and innovation. Excited to bring UX/UI design skills to a team of inspired, high-achieving professionals."
58," Lilya
Junior UI/UX Designer

I am a Junior UI/UX Designer with a passion for creating visually appealing and user-friendly digital experiences. I am experienced in developing the design for landing pages and web services, and I am continuously improving my skills by taking UI/UX design courses at GoIT since March 2023. My previous work experience as a sales manager has equipped me with valuable skills such as communication, patience, and stress resistance, which I apply to my design projects.

PROJECTS:

1. FloverLover - Landing page for a flower shop

* Conducted target audience and competitor analysis
* Created a moodboard
* Developed a landing page prototype
* Designed the UI Kit

2. Kindergarten Website Redesign

* Updated the interface
* Improved typography and colors
* Conducted competitor and target audience analysis
* Adapted the design for mobile and tablet versions

3. Cheap Travel Web Service

* Analyzed personas and conducted user research
* Created a prototype
* Conducted competitor analysis
* Currently working on refining the prototype and UI

I take pride in my work and am always thrilled with the results. I am currently seeking a company where I can grow and develop in UI/UX design."
59," Max
Digital Art and UI/UX Designer

Experience:

• Over 2 years of professional experience in Digital Art and UI/UX Design
• Over 4 years of experience in Adobe Photoshop, Illustrator, and Lightroom
• Over 4 years of experience in Photo Editing using Adobe Photoshop, Lightroom, and Camera RAW
• Over 2 years of experience in UI/UX Design using Figma, Adobe XD, Sketch, and Azure RP
• Skilled in Video Editing with Adobe Premiere Pro, After Effects, and Animate (not yet professionally worked)

Education:

• Current UI/UX Design student at the University of the Arts since 2"
60," Yana
UX/UI Designer

Proficient in:

* Figma, Adobe Illustrator, Adobe Photoshop, Miro
* Styles, components, variants in design
* Typography, raster and vector graphics
* Usability principles
* Web site creation, adaptive design
* Google Materials Design, Apple Human Interface Guidelines
* Creating interactive prototypes

Experience:

1. Designed a landing page for a sugaring salon, including competitor analysis, user profiling, color and typography work.
2. Redesigned a live website, including prototype creation, wireframing, kit creation, product card design with autolayout, and variant/component work.

Interested in innovative projects and passionate teams. Seeking full-time or part-time remote work with clear management and flexible hours in product companies, social projects, or e-commerce. Minimalism lover."
61," Junior UI/UX Designer

Experience:

- Designed landing pages, micro-pages, and resume layouts as a UI designer on project bases, gaining experience in UI design and skills in working with Figma.
- Collaborated with small brands as a freelancer, empowering them to promote their products on Instagram through the creation of logos, brand identities, and visually engaging profile designs.
- Produced visual content, including photography and video, for various clients including food manufacturers, clothing and accessories brands, and local services.
- 4 years of experience as a freelance graphic designer.

Skills:

- Proficient in Figma, with experience in UI design.
- Fluent in English and Polish, allowing for confident communication with clients worldwide.
- Skilled in problem-solving and adaptability, with experience in staying organized and self-motivated as a freelancer.
- Strong ability to collaborate effectively with others towards a common goal and be a team player.
- Experienced in communicating with clients to ensure their needs are met.

Education:

- Completed Mobile Apps Design course at Projector in May 2023.
- Completed UX/UI design courses at Beetroot Academy in January 2022.

Career Goal:

- Seeking to grow as a UI/UX designer and gain experience working on a variety of projects.
- Aspires to help clients achieve their goals through impactful and visually stunning design solutions.
- Ideal work environment is a digital creative agency that fosters a culture of creativity and innovation.
- Passionate about collaborating with like-minded colleagues who are passionate about design and pushing creative boundaries."
62," Updated Resume:

• Solved complex design challenges by designing order builder function for a responsive website according to all stakeholder's requirements.

• Mastered Figma (FigJam, autolayouts, components and their variants, styles, prototyping) with confidence.

• Complied with Material Design and Human Interface Guidelines.

• Completed in-depth UI/UX certification project, gaining hands-on experience in designing an e-commerce website with consideration of all stakeholder’s requirements. Collaborated with six other designers on the research phase.

• Performed competitive research to analyze market niche.

• Communicated design decisions to the team and expert mentor during brainstorming sessions.

• Developed a survey for a large group of targeted users and acquired insight through quantitative and qualitative research.

• Created user persona and customer journey map (CJM).

• Developed information architecture and utilized business requirements and UX best practices to create logical and intuitive user journey.

• Developed wireframes and prototypes, incorporating visual design and optimizing website for mobile devices.

• Conducted usability testing to validate design decisions.

• Composed UI kit using atomic design methodology and ensured UI is meeting all accessibility standards.

• Offered services in competitive analysis, SWOT analysis, user survey, quantitative research, qualitative research, user persona, information architecture, wireframing, prototyping, usability testing, UI kit, desktop user interface design, mobile user interface design (iOS, Android, responsive/adaptive website).

Seeking ambitious team of strong specialists to implement complex projects together."
63," Junior UI/UX Designer

-Completed 6 design courses (certificates available upon request) and an English course (certificate available)
-Passionate about creating intuitive and visually appealing designs
-Collaborative team player with strong communication skills
-Believer in the power of design to solve problems and enhance the user experience

Experience:
-Junior UI/UX Designer for 6 months

Expertise:
1. Design of website for rental agricultural and construction equipment
-Coordinated with team of developers and QAs
-Designed interfaces (color, typography, layouts, icons, etc.)
-Implemented responsive web design (desktop, mobile, tablet)
-Conducted User Experience Testing
-Created prototypes and mockups
2. Redesign of IT company website
-Collaborated with team of developers and QAs
-Designed interfaces (color, typography, layouts, icons, etc.)
-Implemented responsive web design (desktop, mobile, tablet)
-Created prototypes
-Designed mockups

Goal:
-To learn from professionals, gain experience, and become a senior UI/UX designer in the near future."
64," AhojStudent.com Web Redesign (IT School GoIT)
- Led web redesign project to improve structure, content, and visuals of a poorly-designed website

CleanUp Web Service Creation
- Developed a user-friendly website for discovering and requesting various home assistance services
- Provided users with a wide range of service categories and the ability to choose professionals based on specific requirements

SwiftShop - Smart Supermarket Payment App
- Designed a revolutionary payment app to enhance the shopping experience and eliminate long checkout lines
- Created a user-friendly interface with cutting-edge technology to streamline supermarket payments

Experienced UX/UI Designer
- Highly motivated and versatile design expert with a successful background in marketing and communications
- Specializes in UX/UI design for web and mobile applications, delivering projects that meet user needs and align with business objectives

Current Positions
- Communication Strategy Expert, ABINBEV (Prague)
- Visual Communication Lecturer, OMD Czech (Prague)
- SMM Expert
- Marketing Manager, DOMKYSRDCEM s.r.o (Prague)

Previous Experience
- Media Planner, OMD Czech (Prague)

Company Benefits Sought
- Career growth opportunities
- Remote work possibilities
- Training and development within the company
- Flexibility and friendly work environment"
65," Junior UI/UX Designer

Currently studying at GoIT, an international EdTech company

* Skilled in creating prototypes, researching target audience, and developing small designs
* Proficient in web and mobile application design
* Diligent worker with a desire to learn and develop

Projects:

1. Tattoo Studio Website Redesign (Full Cycle)
	* Analyzed competitors and target audience
	* Created prototypes and UI kit
	* Implemented responsive design for desktop, mobile, and tablet
	* Updated outdated and dirty design, improved text readability, and replaced low-quality photos
2. Medical Web Service (Team Project)
	* Developed a medical web service for organizing meetings between doctors and patients
	* Enabled patients and doctors to view medical history, schedule appointments, and communicate 24/7 through chat
	* Recorded main points from phone conversations and filled out doctor's report
3. Flower Shop Landing Page (Full Cycle)
	* Conducted competitor analysis
	* Selected color palette and typography
	* Implemented responsive design for desktop, mobile, and tablet

Seeking a team where I can grow and develop in this field. I will be glad to meet you!

Note: I have not added any false information and have only improved the formatting, phrasing, and presentation of your existing content."
66," Junior UX/UI Designer

* Responsible, creative designer with expertise in prototyping, landing page creation, redesign, and website/mobile app development using Figma, Adobe Photoshop, and Adobe Illustrator.
* Seeking the opportunity to work remotely in a friendly team on interesting projects.

Projects:

1. PawPatrol Web Service
* Team Leader, responsible for UI design and case development in a group project with 2 people.
* Developed skills in teamwork and team leadership through creating a web service for users to post ads for lost pets.
* Responsibilities included research, personas, wireframes, JTBD, UI design, user flows, prototyping, style guide, UI kit, and adaptation.

2. Cucina de Caterina Website Redesign
* Project aimed at creating a redesign for an Italian Sauce Shop, improving user experience and product accessibility.
* Responsibilities included research, wireframes, UI design, prototyping, UI kit, adaptation, and competitive analysis.

3. eChair Landing Page
* Assigned with creating a landing page for gaming chairs, improving user navigation and product presentation.
* Responsibilities included research, wireframes, UI design, prototyping, and UI kit."
67,"UI/UX Designer with over 13 years of team leadership experience

Two personal Pet-projects:

* Mobile application ""LensLink""
* Web service ""Sleep for Sweat""

Expertise in:

* Graphic design
* Photography
* Interior design
* Finance

Projects as a UI/UX Designer:

* Mobile application for finding photographers, featuring app idea development, concept and name creation, logo design, UX research, high fidelity wireframes, UI design, and prototype animation.
* Web service for travelers to find and book housing in exchange for services, including concept and name development, logo creation, UX research, high fidelity wireframes, and UI design.

Experience as a Graphic Designer and Photographer (over 8 years):

* Corporate identity development (logo, letterhead, business card)
* Printing products creation (calendars, boards, flyers)
* Book layout
* Vector illustration
* Advertising photography and photo retouching
* Newborn, family, and art photography

Seeking to be a valuable contributor to a team of professionals, with opportunities for growth and advancement."
68," Hi, I am a Web Designer with a Master's degree in Musical Art (2016-2022). I completed a web design internship at Sigma Software, where I designed an online portal for social initiatives and donations. I was responsible for identifying issues, proposing practical solutions, collaborating with other designers, and delivering high-fidelity wireframes, mockups, and interactive prototypes.

Examples of my mobile applications and websites can be viewed on Behance and Instagram. I have knowledge of HTML and CSS, and am currently finishing the study of iOS and Material design guidelines.

I have experience in UI/UX design, consumer research, ideation, brainstorming, sketching, prototyping, and concept visualization. I created presentations for proof of concept and implementation, ensuring a smooth transition for projects to the development stage.

Passionate about continuous learning and staying up-to-date with the latest design trends and technology, I am committed to working hard and contributing to a team environment. I understand the importance of receiving a competitive salary without any delays or issues."
69," Hi. I'm a creative UI/UX Designer with a passion for creating beautiful and user-friendly user interfaces. I have a deep understanding of users' needs and desires, which helps me to create products that really communicate with the audience and make life better.

Portfolio on Behance: 3100 views

MedMeet web service (group project)
- Developed a web service for organizing meetings between doctors and patients
- Improved communication between doctors and patients
- Enabled doctors to make video calls with patients
- Allowed doctors to check and edit patients' medical histories
- Enabled doctors to prescribe treatment regimens

My Scan mobile app
- Created a mobile application for payment in supermarkets
- Allowed users to scan products while shopping in a supermarket
- Enabled automatic payments using built-in electronic payment options
- Provided the ability to generate a receipt after payment
- Allowed users to view the history of purchases

Barbershop landing page
- Created a landing page for a barbershop
- Attracted new customers with a beautiful design
- Encouraged customers to make an appointment

Website redesign for Glass office partitions
- Redesigned the existing website for glass office partitions
- Provided necessary information about partitions
- Enabled users to sign up for a consultation

I'm looking for an interesting job where I can apply all my knowledge and skills."
70," Hi! I’m a Junior UI/UX Designer with a degree from the Shendricov Education course. I have a strong foundation in UI/UX design, having completed a 3-month course that included creating a landing page for a beauty salon and a personal website with a blog.

Projects:

1. Landing Page for Sugaring Studio
* Client: Sky Epil, a depilation studio in Poltava with over 3 years of experience
* Task: Develop a one-page website for hair removal services
* Goal: Increase the number of customers
* Results: Created a prototype, established typography and color scheme, developed final web design and adaptive design, and produced a UI kit.
2. Personal Website with Blog
* Client: A psychologist seeking to share knowledge, experience, and advice with visitors
* Task: Design a multi-page site
* Goal: Establish a personal brand and increase the number of clients
* Results: Developed a prototype, established typography and color scheme, produced final web design and adaptive design, and created a UI kit.

I am highly motivated and eager to develop and improve my skills as part of a team or under the guidance of a mentor. I am interested in all stages of UI/UX design."
71," Junior UI/UX Designer

Creating intuitive and engaging digital experiences is my focus, solving real-world problems through designs that resonate with people. With a strong background in psychology, I incorporate user behavior insights to create exceptional designs. My passion for macro photography has taught me the importance of even the tiniest detail. I am skilled in empathy and problem-solving.

Project Experiences:

1. Nutrie App
- Mobile application for maintaining a healthy lifestyle through healthy eating.
- Features include meal tracking, calorie consumption, and personalized recommendations based on health goals.
2. VoyageNest Web Service
- Web service offering free accommodations for travelers in exchange for work.
- Users can search by location, work type, accommodation type, and amenities and communicate with hosts directly.
3. Aurainteriors Landing Page
- A minimalist, aesthetically pleasing landing page for an interior design studio.

As a quick learner, I am eager to expand my skill set. I thrive in collaborative work environments that promote growth and learning opportunities. I offer a voice that expresses ideas and opinions comfortably, seeking innovative and dynamic settings that encourage creativity and experimentation."
72," Junior UI/UX Designer

* Self-motivated and eager to learn designer with experience in web development and redesign
* Skilled in competitor analysis, wireframing, and color palette creation
* Proficient in UI/UX design tools and technologies

Experience

* Junior UI/UX Designer, Self-employed
	+ Designed a landing for gamer chairs sale utilizing high-quality photos and matching colors
	+ Conducted competitor analysis and identified solutions to increase user engagement and conversion
	+ Redesigned an outdated restaurant website by evaluating and improving the layout and functionality
* GOIT Course Participant
	+ Gained foundation in UI/UX design principles through coursework and mentorship
	+ Worked on a team project to create a web service for animals

Skills

* Proficient in HTML, CSS, and JavaScript
* Skilled in tools such as Adobe XD, Photoshop, and Illustrator
* Strong ability to work in a team and take initiative in projects
* Excellent communication and problem-solving skills

Expectations

* Friendly and supportive work environment
* Timely payment of wages and positive disposition from superiors
* Interest in employee professional growth

Values

* Temporary job commitment and willingness to take on responsibilities
* Sociability and a desire to improve skills and learn new technologies
* Commitment to constant growth and development"
73," Junior UI/UX Designer Specializing in Web and Mobile Design

• Proficient in Figma, with basic skills in Adobe Photoshop and Adobe Illustrator
• Experienced in full cycle design: analyzing tasks, creating wireframes, designing interfaces, and prototyping
• Currently working on a web service to help people find their lost pets

Projects:

Redesign for Sport Bar
• Revamped outdated website with confusing navigation
• Conducted competitor research and analysis
• Improved usability by incorporating calm light and dark colors, logical information structure, and accessible menu page
• Designed with the target audience in mind: men aged 18-60 who enjoy watching sports and socializing with friends
• Created in Figma

Landing Page for Architecture Urban Fest
• Designed landing page for a festival that discusses modern architecture, engages the professional community, and shares topical issues
• Created a user-friendly registration process
• Designed for professionals and enthusiasts in the field of urban architecture
• Created in Figma

Seeking to join a team of professionals to improve skills, work on real-world projects, solve problems, and conduct research to achieve company and personal goals. Comfortable working both in-office and remotely. Continuing education at IT school to enhance soft and hard skills."
74," Web Designer with freelance experience

As a junior web designer, I have created engaging and aesthetically pleasing websites, ensuring a memorable user experience and efficient navigation. My portfolio includes:

1. Happy Health Clinic - Online Consultation: A web service for making appointments with doctors online. I developed the user interface in three stages: general end-user interface, general doctor interface, and common payment interface.
2. Car Service: An application collecting information about all car service centers in Ukraine. I developed an easy-to-use application with car service call and normal registration features.

Additionally, I have experience in:

* Designing and developing a freelance e-commerce site featuring products such as fireplaces, furniture, and tubes for bottled water. (Name undisclosed due to confidentiality agreement)

I am seeking opportunities to further develop my skills, gain experience, and join a great team."
75," Alina
Junior UI/UX Designer

I am a Junior UI/UX Designer with a solid background in both UI/UX design and brand marketing. I have honed my skills in wireframing, prototyping, and creating visually appealing interfaces that enhance the overall user experience. I am proficient in using industry-standard design tools such as Figma, Adobe Creative Suite, and have a solid understanding of UX principles and best practices.

My extensive background in brand marketing has given me a unique perspective on user engagement and the importance of aligning design decisions with brand identity. With seven years of experience in international companies, I have developed a keen eye for understanding target audiences and crafting design solutions that resonate with diverse cultures and markets.

Highlights of my qualifications include:

* One year of professional experience in UI/UX design, contributing to the design and development of user-centered interfaces for web and mobile applications.
* Proficiency in conducting user research, usability testing, and incorporating user feedback to iteratively improve designs.
* Strong collaboration skills, demonstrated through effective communication with cross-functional teams including developers, product managers, and stakeholders.
* A proven track record of delivering projects within tight deadlines while maintaining a high level of quality and attention to detail.
* In-depth knowledge of design principles, typography, color theory, and information architecture.

Skills:

* UI/UX Design
* Wireframing
* Rapid Prototyping
* Design system design
* User Research
* User journey mapping
* Graphic Design

Tools:

* Figma
* Adobe Illustrator
* Adobe Photoshop
* MS Office"
76," UI/UX Designer Resume

Software Proficiency:
- Figma (primary tool)
- Photoshop
- Illustrator

Work Experience:

Team Leader & UI/UX Designer, ZooShuk
• Led a team in the development of a web service for locating missing animals, with a focus on creating an intuitive, user-friendly interface.
• Conducted research and analysis of competitors to inform a simplified, modern design adapted for tablets and mobile.
• Facilitated a positive, respectful team environment with opportunities for remote work and corporate training.

UI/UX Designer, A kids place Childcare
• Redesigned the website for a children's preschool, prioritizing modern design and user experience to attract potential customers.
• Implemented research on competitors to create a clean, straightforward design, optimized for tablets and mobile devices.

Skills:
• Analyzing competitors and target audience
• Creating wireframes, mind maps, user flows
• Developing UI kits and interface prototypes
• Eager to work on projects across various industries

Seeking job or internship opportunities."
77," Here is your new resume:

---

**[Your Name] - UX/UI Designer**

I am a young and energetic UX/UI designer with a passion for creating functional and commercially successful products. I love staying up-to-date with new technologies and improving my skills. I have experience working with Adobe Photoshop, Adobe Illustrator, and Figma.

**Experience**

*Completed three pet projects, gaining important experience and improving hard and soft skills.*

**Pet-project: Landing Page for a Barbershop**

* Full cycle of creating a landing page design for a barber shop for men in Kyiv.
* Conducted research, competitor analysis, prototyping, UI design, and final product presentation.
* Developed a minimalist design with a dark background and easy navigation.

**Pet-project: Redesign and Adapt a Tattoo Studio Website**

* Conducted research and analysis of competitors, prepared ideas for future redesign, created prototypes, developed UI design.
* Improved attraction of new customers while maintaining recognition among existing ones.

**Pet-project: Design of a Web Service for Finding Lost Pets (team project)**

* Conducted research and analysis of competitors, formulated the JTBD table, user flow, and CJM.
* Improved communication skills and learned to work effectively in a team.
* Created a light and bright design to help users feel calm and hopeful.

**Skills**

* Adaptable and open to new experiences.
* Strong research and competitor analysis skills, utilizing tools such as Similarweb.
* Proficient in watchfulness and design thinking.
* Excellent time management and communication skills.

**Portfolio**

* Available upon request.

**Note**

* I am not interested in employment in Russian companies or companies cooperating with them.
* I am an open and sincere person, looking for a friendly team with experienced professionals or beginners, and a passion for creative thinking and enthusiasm for their work.

---"
78," GoIT (IT courses)

* UI/UX Designer
* Mobile app design

Designed an entire desktop application, using Figma and ProtoPie.

Hi, I'm a creative UX/UI Designer with a passion for developing intuitive user experiences that meet a product’s business goals. In my portfolio, you can find various projects, from simple pages to complex web applications, all designed to fit the client's brand and provide user-friendly navigation.

Projects:

1. Restaurant reservation app
	* Designed a convenient app for searching, booking tables, and ordering
	* Performed: competitors analysis, user flow, user personas, wireframes
	* Tools: Figma, ProtoPie
2. Furniture Landing Page Shop
	* Practiced new design style
	* Created UI kit, color palette, typography, and a landing page
	* Tools: Figma

Skills:

* Tech: Figma, ProtoPie, UI Kit creation, color/typography selection
* Soft: Strong design passion, fast learning, responsibility, task complexity management

I am eager to create engaging and functional products as a designer for your project. I aim to join a company focused on simplifying everyday life and business. You can view my complete portfolio on Behance.

Confidential and honest, I do not embellish my qualifications. I am a responsible and quick learner, prepared for complex tasks."
79," Anya
Web Designer

Education:
- UI/UX Design study, focusing on Landing Page concept creation for an ice cream company, agency and photo studio website redesigns, and E-commerce concept development for a bedding store.

Skills:
- Expertise in structuring and content creation (composition, grids, typography, color theory, design laws, micro-interactions)
- Proficient in UX research (competitor analysis, target audience definition and segmentation, screen map drafting)
- In-depth understanding of UI element anatomy

Software Proficiency:
- Figma
- Adobe Photoshop
- Adobe Illustrator
- Adobe After Effects

Experience:
- NGN.agency: Marketing design for Fora, Pickwick, Jacobs, Carte Noire, Synevo brands, photo retouching using Adobe Photoshop.
- TapJets holdings INC.: Social media content and video design, collaborative brand promotion (including logo, corporate style, website redesign, and social media design).

Seeking an opportunity to evolve, grow, collaborate with like-minded individuals, and contribute to outstanding brand products. Always learning and applying the latest design trends in work, adding my unique perspective and enhancing creative solutions."
80," Liubov
UI/UX Designer

Experience:
- Proficient in Figma and Adobe Photoshop
- Research and user persona creation
- Clickable prototypes and style guides development
- Typography and color scheme expertise

Projects:
Alaska Pete's Website Redesign
- Conducted competitor analysis and research
- Implemented modern and user-friendly design
- Improved information structure and used unified style photos

CoStay Web-Service
- Analyzed competitors and conducted research
- Developed Information Architecture and User Flow
- Created Customer Journey Map

Values:
- Ergonomic and attractive design
- Continuous learning and skill improvement
- Attention to design elements (typography, color schemes, imagery, spacing)
- Open communication and collaboration
- Inclusive culture and corporate training opportunities."
81," Max from Kharkiv,
Seeking a permanent position as a Junior UX/UI Designer, eager to join a dynamic team and grow professionally in the design field. Currently studying at Design Kitchen School with a focus on UI/UX design.

Completed projects:

1. Volunteer organization landing page creation:
- Selected fonts, colors, high-quality photos
- Presented the organization's mission, services, impact, and donation options
- Implemented mobile version
(View results on Behance)
2. Online clothing store redesign:
- Analyzed competitor advantages and disadvantages
- Proposed improvements and described two user personas
- Created site maps and user paths
- Redesigned the site, demonstrated and described through Figma prototyping
(View redesign on Behance)

Skills:
- UI/UX design
- Mobile apps design
- Web design
- Wireframing and prototyping
- User flow and personas
- Landing page creation
- E-commerce
- Responsive design
- Design systems
- Typography
- Color theory
- Composition

Tools:
- Figma (primary tool)
- Adobe Photoshop
- FigJam
- Trello"
82,"---

Hi there!

I would like to share a selection of my projects and tasks, as well as my plans for future development and technology focus.

Project 1: Optimization of an e-commerce mobile application

* Designed and improved the user interface of a mobile app for an e-commerce company
* Collaborated with developers, UX designers, and project managers to enhance the purchasing process
* Used Sketch for designing layouts and InVision for prototyping

Project 2: Redesign of a service-oriented web portal

* Conducted user research, analyzed data, and developed an interface that met user needs
* Utilized Figma for creating layouts and prototypes and conducted usability testing

Project 3: Landing page

* Designed a visually appealing and user-friendly landing page
* Ensured responsive design for optimal viewing on various devices

Project 4: Three mobile apps

* Collaborated with teams to design and deliver three mobile apps
* Ensured user-centered design principles were applied throughout development

For future projects, I aim to specialize in interaction design, focusing on animations and microinteractions to enhance the user experience. I am interested in projects that allow me to explore these areas further, while avoiding those with overly complex animation requirements.

I have completed a total of 7-9 projects, demonstrating my ability to deliver results in various contexts."
83," HOMECULT
· Professional interior design development company
· Designed project to improve company's online image and attract new customers
· Implemented portfolio demonstration to satisfy user need of finding a worthy performer quickly
· Focused on efficient design solution implementation and easy design solution selection

Motorcycle Website Concept
· Commercial website for sports motorcycle sales
· Developed unique, easily navigable site design to differentiate from competitors
· Created user-friendly interface to attract new customers and demonstrate motorcycle catalog

DRIVER 24
· Mobile car rental application design
· Designed for easy and simple user interaction
· Focused on creating a convenient and understandable mobile application for customers to choose and rent cars"
84," Here is your new resume:

**Web Designer**

*Proficient in:*

* Prototyping
* Figma (Software)
* Adobe Photoshop
* Adobe Illustrator
* User Interface Design
* Design
* UX Research
* Web Design
* UIKit

**Projects:**

**Project Flower Lover**

* Expanded sales geography by creating a site for flower delivery to other cities and countries
* Improved customer experience by providing information on delivery times, payment methods, and order customization
* Increased customer loyalty through promotions, discounts, and newsletter subscriptions

**Project Redesign website Indian food**

* Improved user experience with a more convenient and intuitive site design
* Increased conversion rates by simplifying navigation, checkout, and payment processes
* Strengthened brand identity with a unique design reflecting the brand's style and character
* Improved search engine optimization (SEO) and search result rankings
* Adapted site design for mobile devices with responsive design

**Experience:**

* Gained experience working with real customers and experienced web designers
* Learned and applied techniques for improving brand perception and increasing website traffic

**Skills and Goals:**

* Highly motivated with a strong desire to work and create great things that help people
* Committed to continuous learning and development in web design and user experience research."
85,"UI/UX Designer

* Created the design for Motivate Clock's landing page, utilizing Figma, Adobe Illustrator, and PhotoShop for a laconic page with attractive animation and design that showcases the application's basic features and tasks.
* Developed web services for language learning through Babbleer, a platform for teachers, volunteers, and language learners, with online meeting capabilities and mobile and tablet optimization.
* Redesigned a dance school's website with a light design, bright illustrations, and unobtrusive forms, using Figma, Adobe Illustrator, and PhotoShop, and ensuring mobile and tablet optimization.

Certified Interior Designer

* Offering 4+ years of experience in designing innovative, conceptual, sustainable, and functional spaces with a strong aesthetic design.
* Equipped with communication, teamwork, adaptivity, and problem-solving skills.

Design Skills

* UX research, prototyping, designing landing pages, mobile interfaces, vector graphics, mobile application, and web service design.
* Strong knowledge of Figma, Adobe PhotoShop, Adobe Illustrator, Web Flow, color theory, shape, composition, and connecting design elements.

Seeking a job in a product company to be part of a team, grow, and develop."
86," Creative and ambitious individual with a strong aesthetic sense and a desire to learn. Detail-oriented and a perfectionist, ensuring high-quality website designs.

* Experience with medical web-service ""TakeCARE"": designed a user-friendly interface for online doctor-patient calls, including medical history review, appointment scheduling, and video consultations.
* Designed ""The POWER"" online store: a trading platform for gadgets and equipment, offering a wide selection of products and time-saving benefits.
* Created a furniture store landing page, highlighting the store's top advantages and goods.
* Developed ""Flowerlove"" mobile app: a floral and gift delivery app featuring automated order scheduling and curated selections for hassle-free gifting.

Eager to apply creativity and grow skills as a web designer. Confident in ability to quickly learn new tools and technologies for success in web design."
87," Here is the improved resume:

Team Leader, Web Designer

Specializing in full cycle design of unique and functional UX and UI for websites and mobile applications, with a focus on research, analysis, wireframing, UI/UX, prototyping, and visual style creation.

* Led the group project ""Webservice UX/UI Design-Travel Easily"", resulting in a complete UX and UI design for both guests and hosts.
* Redesigned the multi-page Landing Page for Hospital, modernizing and improving user experience, and adding the capability to make online appointments.
* Created a Landing Page for a flower shop according to the brief, with two design options showcasing the beauty, services, and range of the shop.

Follow current design trends and strive to continuously grow and improve. Seeking a full-time position in a company. Known for being a fast learner, responsible, detail-oriented, and a problem-solver."
