,Modified_gpt-3.5-turbo_of_Modified_gpt-3.5-turbo_of_CV_Modelgpt-3.5-turbo_Modelgpt-3.5-turbo
47,"- Team Leader in the project ""Webservice""
- Creation of a medical web service
- Several cases of website redesign
- Creation of product platform design
- Redesign of sports bar website
- Design cycle of the sports bar website, including updating the visual part and making the site user-friendly with table booking capabilities
- Full design cycle of a medical web service for finding and making appointments with doctors, including developing user and doctor interfaces as well as online consultation features, adapted for tablets and mobile phones

Skills:
- Advertising and printing product expertise
- Full-scale advertising project management
- UI/UX design expertise
- Strong leadership skills
- Experience in project management and team leadership
- Ability to create user-friendly and visually appealing designs
- Proficiency in adapting designs for different devices"
48,"Work Experience:

- Designed a presentation for Mikhail Fedorov, Minister of Digital Transformation of Ukraine, to promote digital transformation to mayors of Ukraine's large cities.

Skills:

- Proficient in Figma (auto-layout, components, variants, styles, plugins, animation, prototyping).
- Experienced in WebFlow (CMS, responsive, animations, publishing, integrations).
- Skilled in creating UI kits and working with design systems.
- Strong visual skills recognized by previous manager and Projector mentor.
- Knowledgeable in stakeholder and user interviews, as well as user testing.
- Familiar with HTML/CSS and Bootstrap.
- Detail-oriented with a knack for generating and proposing ideas.

Domains Worked In:

- UI design for clothes shop (web and mobile app), dentistry, public transport app, electronic document management system.
- UX and UI design for pizza delivery, recruitment & job board sites.

Seeking a Junior UI/UX Designer position in a supportive team environment with a mentor to assist in professional growth and skill development."
49,"Skills:
- Proficient in Figma and Adobe Photoshop 
- Experienced in designing landings, websites, and mobile-apps 
- Strong technical skills 
- Excellent Team-player and Problem-solver 
- Energetic, great communicator, and organized 
- Quick and responsible learner 

Projects Experience: 
- PetDetective – Webservice 
- Cucina di Catharina – Website redesign 
- Mobile app PresentPerfect 
- Dashboard for IT school 
- Landing page Timeless Home 

Passionate about creating helpful and intuitive user interfaces to enhance user experience. Open to internship or job offers."
50,"- Proficient in design tools and software including Figma, Adobe XD, and Adobe Photoshop.
- Knowledgeable in color theory, typography, composition, and other design elements.
- Conducted independent research and compared client competitors, analyzed raw data focusing on user needs, created user personas, and solved design problems.
- Developed concepts and references for customers.
- Designed and implemented functionality for adaptive websites.
- Prepared graphic materials for various websites.
- Studied theoretical and practical aspects of UI/UX design, focusing on creating intuitive and aesthetically pleasing user experiences."
51,"James
Product Designer

Goal-driven and self-motivated Product Designer with experience in UI/UX design, Webflow development, WordPress development, and Shopify development. Passionate about creating intuitive interactions and experiences driven by empathy and innovative thinking.

Experience:
- Design Lead at Zuri Team, Inc. for Team 70 on ICON CITY project
- Developed responsive platform for generating favicons
- Demonstrated leadership skills and collaboration to deliver successful product

Seeking new opportunities to apply skills and contribute to exceptional digital experiences. Passionate about problem-solving and detail-oriented design. Interested in exploring potential collaborations to shape the future through intuitive design and remarkable user experiences. 

Contact:
Email: [email protected]
Phone: XXX-XXX-XXXX"
52,"UI/UX Designer with experience in developing landing pages, web services, mobile applications, and website redesign. Proficient in conducting analysis of client needs and competitors, creating goals, and adapting to target audience to achieve results. Skilled in creating low to high-fidelity prototypes, developing visual style and animation, and preparing for website implementation. Experienced in working on individual and team projects. Seeking a full-time position in a company with a supportive team, focused on development and results. Interested in career growth opportunities and partial remote work. Diligent, responsible, and quick learner."
53,"Education: 
- Completed UI/UX design program at Go IT

Experience: 
- Designed ""Sugaring"" landing page for a sugaring salon
- Revamped Indian cuisine ""Indian Cafe"" website
- Collaborated on a web service project ""Animal Stories"" for finding lost animals

Skills: 
- Competitive Analysis
- User Personas + JTBD
- Customer Journey Map
- Brain Storming
- User Flow
- Wireframes
- Visual Design
- Adaptation

Objective: 
- Seeking a junior web designer position in a team of professionals to enhance skills, contribute to company growth, and work on various UI/UX design projects such as landings, websites, mobile applications, etc."
54,"Experience in developing landing pages, web services, and a mobile application for a crypto exchange. Worked as a graphic designer and manager in an advertising and printing agency. Specialize in simplifying and enhancing web and mobile applications, staying updated on modern trends and technologies in web design. Skilled at working on multiple projects in a team environment and open to new ideas. Projects include the mobile app ""ALTIMA"" for a crypto exchange and the web service ""WashHouse"" for ordering cleaning services online. Utilize UX research methods and tools such as Figma, Adobe PS/AI, and Protopie to create graphics, illustrations, and interactive prototypes. Inspired by Nelson Norman Group insights and prioritize understanding user needs and behavior. Collaborate effectively with developers and teams to bring ideas to life and seek professional growth opportunities."
55,"Alina
Junior UI/UX Designer
6 months of experience
Proficient in Prototypes, Typography, UI design, and UX design
Tools: Figma, Canva, Adobe Photoshop

Highly motivated and skilled designer with a passion for creating captivating user experiences. Expertise in web design, market analysis, and delivering aesthetically pleasing solutions. Strong collaborator and effective communicator. Committed to staying current with design trends and dedicated to delivering excellence in every project.

Looking for a remote job in a company that strives to make everyday life and business easier, more productive, and convenient. Enjoys learning and developing new skills and connecting with new people."
56,"Anna

Junior UI/UX Designer

- Team leader in the project ""Web service for cleaning""
- Developed two projects: Landing page and website redesign
- Experienced in working with design systems
- Skilled in UX research
- Proficient in designing modern, user-friendly websites
- Able to create aesthetic and intuitive designs
- Strong ability to analyze competitors and create user personas
- Experienced in creating user flow, frameworks, and product design
- Skilled in prototyping and adaptation for various devices
- Excels in teamwork and collaboration
- Open to new challenges and opportunities for growth and development in web design."
57,"Bohdan

UX/UI Designer for web and mobile applications

- Completed two own projects
- Team leader in a team project
- Specialized in UX/UI design for web and mobile applications
- Completed various projects focused on usability and attractive design
- Extensive experience meeting client requirements and goals for site design
- Proficient in conducting research and collecting relevant content for site development
- Skilled in creating site structures and defining main sections
- Experienced in designing sites with specific aesthetics in mind
- Strong knowledge of Apple brand and iOS interface design for online store site development
- Able to develop site layouts with minimalist design and focus on user experience
- Capable of integrating product information and purchase options into site design
- Highly motivated to continue learning and growing in the field
- Dedicated to creating innovative and user-friendly designs
- Effective team player with strong communication skills
- Open to feedback and adaptable to new technologies and trends in UX/UI design."
58,"Lilya

Junior UI/UX Designer

- Currently enrolled in UI/UX design courses at GoIT since March 2023
- Experienced in developing landing pages and web services
- Skilled in target audience analysis, competitor analysis, moodboard creation, and UI kit development
- Proficient in interface updating, typography, and color schemes
- Ability to conduct competitor and target audience analysis, and create prototypes
- Strong interpersonal skills, patience, stress resistance, and creativity
- Previous work experience as a sales manager

Project Experience:

1. Landing page for flower shop FloverLover:
- Conducted target audience analysis and competitor analysis
- Created a moodboard
- Worked on landing page prototype
- Developed UI Kit of the site

2. Website redesign for kindergarten:
- Updated interface
- Worked on typography and colors
- Conducted competitor and target audience analysis
- Adapted site for mobile and tablet versions

3. Ongoing project: Travel web service:
- Analyzed site personas
- Created prototype
- Conducted competitor analysis

Seeking opportunities to grow and develop in UI/UX design."
59,"Max

Digital Art and UI/UX Designer

Professional Summary:
Experienced Digital Designer with a strong background in UI/UX design and a passion for creating visually appealing and functional designs for websites and promotional materials. Skilled in Adobe Photoshop, Illustrator, Figma, Adobe XD, and other design tools. Currently pursuing a degree in computer graphics and design at the University of the Arts.

Work Experience:
- Freelance Digital Designer (2018-present)
   - Created web interfaces and promotional materials for clients, including a gaming website and a cat adopting center for the Zoolux network of veterinarians.
   - Utilized Figma, Adobe XD, Adobe Photoshop, and other design software to optimize designs for SEO and mobile devices.

Skills:
- Digital Design: Adobe Photoshop/Illustrator - 4 years
- UI/UX Design: Figma, Adobe XD, Sketch, Azure RP - 2 years
- Video Editing: Adobe Premiere Pro/After Effects/Animate - Skilled
- Photo Editing: Adobe Photoshop/Lightroom/Camera RAW - 4 years

Education:
University of the Arts - Current student pursuing a degree in computer graphics and design."
60,"Proficient user of Figma, Adobe Illustrator, Adobe Photoshop, Miro;
Use of styles, components, variants in design;
Knowledge of typography, work with raster and vector graphics;
Understanding of the principles of usability;
Experience in creating web sites, adaptive design;
Knowledge of Google Materials Design and Apple Human Interface Guidelines;
Creating interactive prototypes.

Hello! My name is Yana and I am a UX/UI designer. I love Figma, I work well with hotkeys, autolayouts, variants, and components. I like modern minimalism designs that do their job well. I am ready to work and develop in different styles and directions.

1. Designed a landing page for a sugaring salon. Experience in analyzing competitors, creating a user profile. Working with color and typography.

2. Redesigned a real site. During the project, I made a working prototype, wireframes, created a kit, created product cards in autolayout, and worked with components and variants. Interested in new and innovative projects. Would like to work with a passionate team of professionals. Love to be a part of a Design Team. Clear management, flexible working hours. Full-time or part-time work; Remote work; Product companies; Social projects; E-commerce industry."
61,"Yulia

Junior UI/UX Designer

Professional Summary:
Experienced UI designer with 4 years of freelance graphic design experience. Completed Mobile Apps Design course at Projector in May 2023 and UX/UI design courses at Beetroot Academy in January 2022. Proficient in Figma. Fluent in English and Polish.

Work Experience:
- Freelance Graphic Designer (2019-Present)
- Collaborated with small brands to create logos, brand identities, and visually engaging profile designs for Instagram promotion
- Produced visual content including photography and video for clients in various industries such as food manufacturers, clothing and accessories brands, and local services
- UI Designer on project bases, designing landing pages, micro-pages, resume layouts, and internal presentations for companies

Skills:
- Problem-solving
- Adaptability
- Team collaboration
- Organizational skills
- Self-motivation
- Client communication
- UI design
- Figma proficiency

Education:
Mobile Apps Design course, Projector, May 2023
UX/UI design courses, Beetroot Academy, January 2022

Languages:
Fluent in English and Polish

Objective:
To continue growing as a UI/UX designer by working on diverse projects and helping clients achieve their goals through impactful and visually stunning design solutions. Seeking a position in a digital creative agency that values creativity and innovation. Passionate about collaborating with like-minded colleagues to push creative boundaries."
62,"• Skilled in designing order builder function for responsive websites according to stakeholder's requirements
• Proficient in Figma (FigJam, autolayouts, components, styles, prototyping)
• Adherence to Material Design and Human Interface Guidelines
• Hands-on experience in UI/UX design with completion of e-commerce website project
• Collaborated with six designers on research phase
• Experienced in competitive research, design decision communication, survey development, research methodologies, user persona creation, CJM development, information architecture design, wireframing, prototyping, visual design, mobile optimization, usability testing, UI kit composition using atomic design methodology, and accessibility standards
• Skilled in competitive analysis, SWOT analysis, user survey, user persona creation, customer journey map development, information architecture design, wireframing, prototyping, usability testing, UI kit creation, desktop UI design, mobile UI design for iOS, Android, and responsive websites
• Seeking to work on complex projects with an ambitious team of specialists."
63,"- Junior UI/UX Designer with 6 months of experience
- Proficient in designing websites for rental agricultural and construction equipment as well as redesigning IT company websites
- Skilled in communicating with development teams and quality assurance personnel
- Experienced in interface design (colour, typography, layouts, icons, etc.)
- Knowledgeable in responsive web design for desktop, mobile, and tablet devices
- Ability to conduct user experience testing, prototyping, and creating mockups
- Completed 6 design courses with certificates and an English course with certification"
64,"AhojStudent.com web redesign (IT School GoIT)
- Enhanced content, structure, and visuals to improve user experience on the existing website.

CleanUp web service creation
- Developed a user-friendly website for home assistance services with a variety of service categories and professional options.

SwiftShop - Smart Supermarket Payment App
- Created a cutting-edge payment app for supermarkets to streamline the shopping experience and eliminate long checkout lines.

Highly motivated and versatile UX/UI designer with a background in marketing and communications. Specialized in crafting exceptional user experiences for web and mobile applications, ensuring designs meet user needs and business objectives.

3/2022 – present Communication Strategy Expert, ABINBEV, Prague
9/2021 – present Visual communication lecturer, OMD Czech, Prague
3/2021 – present SMM expert
9/2021 – present Marketing Manager, DOMKYSRDCEM s.r.o, Prague
11/2018 – 3/2022 Media planner, OMD Czech, Prague"
65,"Experience:
- Junior UI/UX Designer at GoIT, currently studying at the international EdTech company
- Website redesign for a Tattoo studio, including creating prototypes, UI kit, and adaptation for desktop, mobile, and tablet
- Developed a medical web service for organizing meetings between doctors and patients, including scheduling appointments and lab tests, and 24/7 communication through a chat
- Full cycle design of a landing page for a flower shop, including competitor analysis, color palette and typography selection, and adaptation for desktop, mobile, and tablet

Skills:
- Creating prototypes
- Researching target audience
- Small design creation
- Diligent worker with a desire to learn and develop

Looking forward to contributing my skills and experience to a team where I can continue to grow and develop in the field of UI/UX design."
66,"Senior UX/UI Designer with expertise in prototyping, landing pages, redesigning, website design, and mobile application development. Skilled in Figma, Adobe Photoshop, and Adobe Illustrator.

1. Led a team in the project ""PawPatrol"", a web service for lost pets. Responsibilities included research, personas, wireframes, UI design, user flows, prototyping, style guide, and adaptation.

2. Redesigned the website for the Italian sauce store ""Cucina de Caterina"" to enhance user experience. Tasks included research, wireframes, UI design, prototyping, UI kit, and adaptation.

3. Developed a landing page for ""eChair"", a gaming chair product. Tasks involved research, wireframes, UI design, prototyping, and UI kit.

Open to remote opportunities to collaborate on exciting projects in a team-oriented environment."
67,"- Over 13 years as a team leader
- UI/UX Designer with experience in graphic design, photography, interior design, and finance
- Developed and designed a mobile application ""LensLink"" for booking photographers
- Created the concept and design for the web service ""Sleep for Sweat"" for booking housing in exchange for services
- Graphic Designer and Photographer for over 8 years, specializing in corporate identity creation, printing products, book layout, vector illustration, photography for advertising, and photo retouching
- Experience as a new born photographer, family photographer, and art photographer

Seeking opportunities to contribute to a team of professionals and further develop both professionally and financially."
68,"Master's degree in musical art (2016-2022)
Web design internship at Sigma Software
-Designed an online portal for social initiatives and donations using UI/UX design knowledge
-Identified issues, proposed solutions, and collaborated with other designers
-Created high-quality wireframes, mockups, and interactive prototypes
-Created presentations for proof of concept and implementation
-Experience creating mobile applications and websites
-Proficient in HTML and CSS
-Studying iOS and Material design guidelines
-Examples of work available on Behance and Instagram
-Enjoy teamwork and problem-solving
-Stay updated on design trends and technology
-Value receiving a competitive salary
-Committed to working hard to earn it."
69,"UI/UX Designer Resume:

MedMeet web service:
- Collaborated on a project with a team of 2 to improve communication between doctors and patients
- Developed a platform for doctors to conduct video calls with patients, access medical histories, and prescribe treatments

My Scan mobile app:
- Designed a supermarket payment application for scanning products and making automatic payments
- Implemented features for generating receipts and viewing purchase history

Barbershop landing page:
- Created a landing page for a barbershop to attract new customers and promote appointments

Website redesign for Glass office partitions:
- Redesigned a website for glass office partitions to improve user experience and information accessibility

Seeking an opportunity to utilize my skills and expertise in a challenging and creative environment."
70,"Junior UI/UX designer with experience in developing websites for various clients. Completed a 3-month UI/UX design course at Shendricov Education, creating a landing page for a beauty salon and gaining practical experience working with customers. Projects include designing a landing page for a sugaring studio to increase customer engagement and a personal website with a blog for a psychologist to enhance personal branding and attract clients. Proficient in developing prototypes, typography, color schemes, final web designs, adaptive designs, and UI kits. Eager to continue learning and grow as a designer while contributing to a dynamic team."
71,"Hi, I'm a junior UI/UX designer with a focus on creating intuitive and engaging digital experiences that solve real-world problems. I leverage my interest in psychology to understand user behavior and create designs that resonate with people, along with my passion for macro photography that taught me the importance of attention to detail. Skilled in empathy and problem-solving, I am dedicated and creative in my approach to design projects.

Project Experiences:
- Nutrie app: Developed a mobile application for maintaining a healthy lifestyle through meal tracking, calorie consumption monitoring, and personalized recommendations.
- VoyageNest web service: Created a web platform offering free accommodations for travelers in exchange for work, featuring search functionality, direct communication with hosts, and booking capabilities.
- Aurainteriors landing page: Designed a minimalist and aesthetically pleasing landing page for an interior design studio.

I am a quick learner and always eager to expand my skill set, seeking a collaborative work environment that fosters growth and learning opportunities. In search of a space where I can freely express my ideas and opinions, I am looking for an innovative and dynamic work environment that encourages creativity and experimentation."
72,"Skills: UI/UX design, competitor analysis, wireframing, website design, colour theory, photo editing

Experience:
- Collaborated on a team project to develop a web service for animals
- Independently created and launched a website for the sale of gamer chairs
- Successfully redesigned an outdated restaurant website

Education:
- Graduated from the GOIT course in UI/UX design
- Participated in hands-on projects with mentors to enhance design skills
- Utilized competitor analysis to guide design choices
- Produced wireframes and designed websites incorporating high-quality photos and carefully selected colour palettes"
73,"Junior UI/UX Designer

Experienced in team collaboration to develop a web service focused on locating lost pets. Utilized research and analysis of industry best practices to support design decisions. Proficient in Figma, with foundational skills in Adobe Photoshop and Adobe Illustrator. Skilled in end-to-end design process, including task analysis, wireframing, interface development, and prototyping. Currently engaged in personal projects, such as a sport bar redesign and an architecture urban fest landing page. Actively advancing technical and interpersonal skills through ongoing IT education. Seeking role in a professional team environment to further refine abilities and contribute to impactful projects. Available for both office-based and remote positions."
74,"During my studies, I worked on a freelance project creating an e-commerce site for a store selling fireplaces, furniture, and tubus for bottled water.

Junior web designer with experience in creating engaging websites that offer a memorable user experience and efficient navigation.

Projects completed include:
1. Online Doctor Appointment Web Service - Happy Health Clinic | Online Consultation. Developed a web service interface for online calls between doctors and patients. Project involved three stages: general end-user interface, doctor interface, and payment interface.

2. Car Service Application - Created an application that lists all car service centers in Ukraine. Developed an easy-to-use app with features like a car service call and registration at the autoservis. Project was completed in a single stage with a focus on the end-user interface.

Eager for opportunities to continue learning and growing in the field of web design and development, and to collaborate with a talented team."
75,"Alina
Junior UI/UX Designer

- One year of professional experience in UI/UX design, contributing to the design and development of user-centered interfaces for web and mobile applications
- Proficiency in conducting user research, usability testing, and incorporating user feedback to improve designs
- Collaboration skills demonstrated through effective communication with cross-functional teams
- Track record of delivering projects within tight deadlines with attention to detail
- In-depth knowledge of design principles, typography, color theory, and information architecture

Skills:
UI/UX Design
Wireframing
Rapid Prototyping
Design System Design
User Research
User Journey Mapping
Graphic Design

Tools:
Figma
Adobe Illustrator
Adobe Photoshop
MS Office."
76,"I am an aspiring UI/UX designer with experience in creating landing pages, websites, and mobile applications. Completed projects include a website redesign for ""A kids place Childcare"" and serving as team leader for the web service ""ZooShuk"". Proficient in Figma, Photoshop, and Illustrator for design work. Seeking internship or job opportunities to broaden my skill set and gain additional experience across various industries."
77,"Experienced UX/UI designer with a strong background in conducting research, analyzing competitors using Similarweb, and applying design thinking principles. Skilled in Adobe Photoshop, Adobe Illustrator, and Figma. Completed three pet projects including designing a landing page for a barbershop, redesigning a tattoo studio website, and collaborating on a web service for finding lost pets. Seeking opportunities to work in a creative team environment focused on creating successful products."
78,"GoIT (IT courses)
- UI/UX Designer
- Mobile app design

Designed an entire desktop application.

Creative UX/UI Designer with experience in implementing the best design solutions to create an intuitive user experience for achieving certain products’ business goals.

Portfolio includes projects ranging from simple pages to complex web applications that emphasize client branding and user-friendly navigation.

Projects:
1. Restaurant reservation app:
- Conducted competitors analysis, created user flow, user personas, wireframes, and other design elements.
- Used Figma and ProtoPie.

2. Furniture landing page:
- Developed UI Kit, colors, typography, and landing page design.
- Utilized Figma.

Tech Skills: UX/UI design, Figma, ProtoPie.

Passionate about creating functional and attractive websites to improve user experience. Seeking a role with a company that prioritizes productivity and convenience, demonstrating a strong ability to learn quickly, take on complex tasks, and deliver results. View portfolio on Behance profile."
79,"Anya
UI/UX Designer specializing in web design with experience in graphic design.

Skills:
- Creation of effective structure and content (composition, work with grids, typography, color theory, laws in design, micro-interaction)
- Main stages of work on a web project
- UX research (competitor analysis, definition and segmentation of the target audience, drawing up a screen map)
- Anatomy of UI elements
- Proficient in Figma, Adobe Photoshop, Adobe Illustrator, Adobe After Effects

Experience:
- NGN.agency: Marketing design for brands Fora, Pickwick, Jacobs, Carte Noire, Synevo. Photo retouching in Adobe Photoshop.
- TapJets holdings INC.: Design of content and video content for social networks. Team work on brand promotion including logo creation, corporate style, website redesign, and design for social networks.

Seeking a role in a company where I can continue to grow and develop alongside a community of like-minded individuals, creating innovative products for brands."
80,"Liubov

UI/UX Designer

Skills:
- Proficient in Figma and Adobe Photoshop
- Experienced in creating research, user persona, clickable prototypes, styling, and typography
- Focus on creating ergonomic, beautiful, and comfortable designs
- Open to learning and improving skills 

Experience:

Alaska Pete's Website Redesign
- Conducted research and competitor analysis to create a modern and user-friendly design to attract potential customers
- Implemented successful solutions such as simple and modern style, structured information, and unified style photos

CoStay Web-Service
- Developed web service for searching temporary accommodation for students and young people
- Conducted competitor analysis, research, Information Architecture development, User Flow, and CJM 

Additional Information:
- Passionate about staying updated with the latest design trends, tools, and technologies
- Pay attention to design elements including typography, color schemes, imagery, and spacing

Objective:
- Interested in opportunities to enhance and develop products through collaboration
- Committed to a friendly atmosphere, career growth, clear communication, inclusive culture, collaborative environment, and corporate training and development within the company."
81,"Max
Kharkiv
Junior UX/UI Designer

Education:
- Currently studying at the IT school ""Design Kitchen School""

Experience:

- Created a landing page for a volunteer organization, selecting fonts, colors, and high-quality photos. Mobile version also implemented. View the work on my Behance page.
- Redesigned an online clothing store after competitor analysis. Proposed recommendations, described user personas, created site map, and redesigned the website using prototyping in Figma. More details on my Behance page.

Skills:
- UI/UX design
- Mobile apps design
- Web design
- Framework creation
- User flow and personas
- Prototyping
- Landing page creation
- E-commerce
- Responsive design
- Design system
- Typography
- Color theory
- Composition

Tools:
- Figma
- Adobe Photoshop
- FigJam
- Trello"
82,"Project 1: Optimization of an e-commerce mobile application
- Main role: Design and improve UI of mobile application for e-commerce company
- Collaborated with team of developers, UX designers, and project managers to enhance purchasing process
- Used Sketch and InVision for designing and prototyping

Project 2: Redesign of service-oriented web portal
- Complete redesign of web portal providing various services
- Conducted user research, data analysis, and developed interface meeting users' needs
- Used Figma for layouts and prototypes, and conducted usability testing

Project 3: Landing page
- Responsibilities and details not provided

Project 4: 3 Mobile apps
- Responsibilities and details not provided

Future development focus: Specializing in interaction design, particularly animations and microinteractions to enhance user experience. No interest in projects requiring complex animations."
83,"HOMECULT
- Specialized in professional interior design development
- Developed and improved company's online presence and image
- Showcased portfolio of works to attract new customers
- Identified and solved business problems through effective design solutions

Motocycle Website Concept
- Designed a commercial website for sports motorcycles sales
- Differentiated design from competitors to enhance brand identity
- Created user-friendly interface for easy navigation and browsing

DRIVER 24
- Developed mobile application for car rental services
- Designed user-friendly interface for easy car selection and rental process
- Prioritized convenience and simplicity for user interaction."
84,"- Three independent projects: Dog style, Flower Lover, Redesign website Indian food
- Entry-level web designer proficient in Prototyping, Figma, Adobe Photoshop, Adobe Illustrator, User Interface Design, UX Research, Web Design, and UIKit
- Enthusiastic about designing effective solutions to address user needs
- Skilled in expanding sales reach and enhancing customer satisfaction through website design in the Flower Lover project
- Proven ability to boost customer retention through promotional strategies, special offers, and subscription services
- Established track record of enhancing user experience, elevating conversion rates, strengthening brand recognition, implementing SEO enhancements, and optimizing mobile responsiveness in the Redesign website Indian food project
- Eager to collaborate with experienced web designers and engage with real clients to further refine skills and develop innovative solutions."
85,"Professional Summary:

Experienced UI/UX Designer with 4+ years of experience in Certified Interior Design. Skilled in designing functional and sustainable spaces, as well as creating aesthetically pleasing designs. Proficient in Figma, Adobe Photoshop, Adobe Illustrator, and Web Flow. Specializes in UX research, prototyping, landing page design, mobile interface design, vector graphics, mobile application development, and web service design. Passionate about design and growth opportunities in a product company."
86,"I am a creative and ambitious individual with a knack for creating aesthetically pleasing and functional website designs. My ability to learn quickly and constantly improve allows me to find effective solutions for various web design tasks. I have a keen sense of proportion and color, which helps me create harmonious and impactful designs. I enjoy leveraging my imagination and creativity to develop unique web designs. As a detail-oriented perfectionist, I ensure the high quality of my work. I excel at listening to clients' needs and translating them into tangible website ideas. While I may not have direct web design experience, I am confident in my ability to rapidly acquire new tools and technologies to excel as a web designer.

-Designed web service ""TakeCARE"" for conducting online medical consultations
-Created online store ""The POWER"" for electronic gadgets and equipment
-Developed a landing page for a furniture store showcasing products and offering consultation services
-Designed a mobile app ""Flowerlove"" for ordering flowers and gifts for special occasions."
87,"- Team leader in the project ""Webservice UX/UI Design-Travel Easily"", responsible for complete UX and UI unique functional design of websites and mobile applications, website redesign, and team collaboration.
- Developed UX and UI for Travel Easily webservice for guests and hosts, focused on affordable stay organization in other countries.
- Redesigned multi-page Landing Page for a hospital, emphasizing user-friendly experience and online appointment booking.
- Created Landing Page for a flower shop based on provided brief, highlighting beauty, services, and shop range with simple user interface.
- Passionate about creative projects, staying current with design trends, and committed to continuous improvement.
- Seeking full-time position in a company to apply skills as a fast learner, responsible individual, problem-solver, and detail-oriented designer."
88,"- Redesigned the ""Custom Concepts"" website for a tattoo studio, focusing on showcasing the individuality of the brand and highlighting the master artists
- Developed user personas, wireframes, and prototypes for the website redesign project
- Created UI-Kit and improved the visual design, navigation, and functionality of the website
- Collaborated on the development of the web service ""Happy Health"" for online professional help for user-patients and user-doctors
- Designed adaptive layouts for tablet and mobile for ""Happy Health"" using Figma and Adobe Photoshop
- Co-created the mobile application ""Quick Way"" for quick access to car services from top providers
- Designed branding, illustrations, user flows, wireframes, and prototypes for the ""Quick Way"" mobile app using Figma, Adobe Photoshop, and Adobe Illustrator."
89,"During my studies, I created a landing page for a Ukrainian chef offering packaged lunches for long-term storage, with a focus on mobile and tablet adaptation.

I am a creative and result-oriented designer with experience in creating unique and attractive visual concepts for websites. I have worked on projects such as KULISH landing page for Ukrainian dishes, WEB Service HiTutor team project, and Music School Website Redesign.

I am eager to continue growing and expanding my knowledge in design while working in a team of professionals. I am committed to achieving specific goals and ensuring successful user interaction with websites through my design solutions."
90,"- Experienced Team Leader skilled in organizing and supervising team members
- Conducts training on design skills and targeted advertising
- Coordinates events and gatherings for over 100 people
- Handles client acquisition and communication
- Creative UI/UX designer specializing in website, service, and mobile application development
- Commercial experience in web design and social media marketing
- Proficient in website builder, Adobe Photoshop, Adobe Illustrator, Figma, and Canva
- Skilled in creating prototypes, customer journey maps, jobs-to-be-done, and user flows
- Strong understanding of composition, typography, and design thinking
- Completed Figma courses to enhance skill level
- Pet projects include an Event Landing Page for Architects, Redesign of an Indian Cuisine Website, and Helper Service for Finding Cleaning Companies
- Seeking to join a dynamic team that thrives on growth and innovation"
91,"As a UI/UX designer, I have experience in target and competitor analysis, wireframing, and prototyping. Proficient in Figma, Adobe Photoshop, and Adobe Illustrator. Developed two landing pages, a web service, and redesigned a photo studio website with adaptive designs for tablet and mobile. Strong eye for aesthetics and functionality, able to translate complex concepts into elegant, user-friendly designs. Worked on team and individual projects focusing on creating productive and user-friendly designs. Seeking opportunities for career growth in a collaborative environment with potential for partial remote work and corporate training."
92,"Experience:
- Led a team in creating ""PetHelp,"" a web service designed to assist in reuniting lost animals with their owners during emergencies.
- Successfully developed ""BookingTablet,"" a mobile app for restaurant reservations, improving customer booking efficiency.
- Ensured user satisfaction by implementing user-centered design principles in both projects, resulting in positive feedback and user engagement.

Skills:
- Skilled in UI/UX design for websites and mobile applications.
- Proficient in design tools such as Figma, Miro, Photoshop, and Illustrator.
- Strong creative abilities and a dedication to innovative design solutions.
- Continuously updating skills and knowledge of current web design trends and technologies."
93,"- Team Leader in the project ""Languages web service”
- Defended two projects
- Several shots on Dribbble
- Currently a student at GO IT School, working on projects to increase qualifications
- Redesign of the tourist site: Developed a concise and easy-to-use site to popularize tourism in Ukraine for both Ukrainians and foreigners
- Creation of a web service: Collaborated on creating an easy-to-use personalized language learning platform with communication features for users to interact with teachers/trainers
- Skilled in analysis, Jobs to be done, CJM, and User flow
- Seeking a position as a Junior UX/UI designer to continue learning and staying up to date with latest design trends and tools."
94,"- 4 successful presentations designed
- Resolved issues with Multiplex cinema desktop website
- Designed landing page for delivery service
- Created mobile application for sound recording
- Developed authorization screens for mobile application HearU
- Collaborated on designing 5 unique and successful loyalty campaigns
- Conducted 5 product presentations that contributed to securing client contracts
- Published “Arena” book with original illustrations and cover design
- Key art design for POS-materials and packaging
- Contributed to UI design for mobile application and website
- Achieved 3% increase in store turnover
- Experienced in 3D modeling and rendering
- 4+ years of overall design experience, including 9 months in UX/UI design
- Strong work ethic with willingness to take on routine tasks
- Effective team player with ability to work independently
- Committed to leaving a positive impact and improving upon existing projects
- Seeking new opportunities in UX/UI design to create user-friendly projects that enhance user experience."
95,"EXPERIENCE

UX/UI Designer
- Successfully completed two projects: website redesign for ""Cucina die Catherina"" and landing page for Shugaring Salon
- Conducted research and competitive analysis to inform design decisions
- Created clear, user-friendly designs for desktop, tablet, and mobile devices
- Analyzed target audience and developed intuitive interfaces
- Worked on User Interface design to improve overall user experience

LANGUAGES

German - Fluent
English - Intermediate
Ukrainian - Native
Russian - Native

OBJECTIVE

Seeking a remote work, freelance, or full-time position in a growing company to contribute to the development of user-friendly products. Fast learner, responsible, organized, and punctual with a goal of personal career growth and skill development."
