,Modified_deepseek-chat_of_CV_Modeldeepseek-chat
109,"**Professional Summary**
Aspiring designer with hands-on experience creating modern, user-focused web projects. Proficient in translating competitor analysis and audience needs into functional, visually cohesive designs. Skilled in full design workflow from research and prototyping to final implementation, with a focus on responsive design.

**Project Experience**

**Italian Restaurant Website**
- Conducted competitor analysis to identify market standards and audience needs.
- Created prototypes and developed final design adhering to a defined color palette, typography, and grid system.
- Implemented full responsive adaptation for mobile devices and tablets.

**Travel/Accommodation Web Service**
- Analyzed multiple similar services to identify optimal user-friendly features.
- Defined target audience through User Personas, User Flow, and Customer Journey Mapping.
- Selected an appropriate design system, created prototypes, and executed the final design.

**Language Learning Landing Page**
- Designed a modern landing page featuring a consistent style of vector imagery.

**Technical Skills**
- **Design Tools:** Figma, Adobe Photoshop, Adobe Illustrator
- **Design Practices:** Competitor Analysis, User Persona Creation, User Flow, Customer Journey Mapping, Prototyping, Responsive Design, Design Systems
- **Portfolio:** Additional work available on Behance"
110,"**Professional Summary**
A dedicated UX/UI designer with a research background, skilled in transforming complex concepts into user-friendly and aesthetically pleasing digital products. Proven ability in conducting user research, designing wireframes and prototypes, and collaborating with cross-functional teams. Seeking a challenging role to contribute to innovative projects and grow within a creative team.

**Professional Experience**

**PhD Researcher** | University Name
*Conducted surveys and interviews, analyzing data to support and validate author's decisions.*
*   Developed a comprehensive design concept for a scientific social media website to visualize PhD thesis results.
*   Created a website concept for searching medicine analogues abroad.

**Sales Manager** | Company Name
*   Communicated with customers to identify needs and provide solutions.
*   Organized and coordinated teamwork to achieve sales targets.

**Skills**

**Design & Prototyping:** Figma, Adobe Photoshop, Adobe Illustrator, Webflow
**UX/UI Expertise:** Design Principles, UX Laws, Color Theory, Typography, Responsive Design, Information Hierarchy, User-Centered Design
**Project Execution:** User Research & Data Analysis, Wireframing, Mockups, Visual Design, Prototyping, Style Guides, UI Kits, Design Systems
**Technical Knowledge:** HTML/CSS Basics
**Professional Competencies:** Critical Thinking, Team Collaboration, Communication, Continuous Learning

**Projects**
*   **Scientific Social Media Website:** Created the full design concept to visualize complex research data.
*   **Medicine Analogues Search Website:** Developed the website concept and design.
*   **Landing Pages, Websites, and Mobile Applications:** Designed user interfaces and experiences across multiple projects, following stages from concept to delivery."
111,"**UX/UI Designer**

Aspiring UX/UI designer dedicated to creating inspiring and impactful digital products. Combines a passion for user-centered design with a commitment to quality and agility, ensuring designs meet user needs and business goals. Skilled in translating research insights into effective design solutions across diverse digital platforms.

**SKILLS**
*   UX/UI Design
*   Prototyping
*   User Research: User Interviews, Surveys, Usability Testing
*   Visual Design: Typography, Color Theory, Layout
*   Mobile & Web Application Design
*   E-commerce Platform Design

**EXPERIENCE**

**UX/UI Design Training** | [Course Name / Institution, if applicable]
*   Successfully completed an intensive course in UX/UI design.
*   Executed projects for a variety of digital products, including mobile applications, websites, and e-commerce platforms.
*   Conducted comprehensive UX research—including user interviews, surveys, and usability testing—to inform all design decisions and solve user pain points.
*   Developed a design process rooted in a deep understanding of user behavior, with close attention to detail in typography, color, and layout to align every element with user needs.

**PROFILE**
A passionate and adaptable designer, open to projects across various fields. Believes in making a significant contribution by delivering designs that are both aesthetically compelling and functionally effective, ensuring a lasting positive impact."
112,"**JUNIOR UX/UI DESIGNER**

Empathic designer creating pleasant and effective user experiences through an understanding of human behavior and brand uniqueness. Combines core UX/UI skills with strengths in time management, teamwork, brainstorming, and public speaking. Eager to contribute to a team creating useful and innovative products.

**SKILLS & EXPERTISE**
*   **Design Tools:** Figma, Adobe Photoshop, Adobe Illustrator, Adobe Lightroom.
*   **UX/UI Process:** Full-cycle design projects, user research, color & typography analysis, naming, wireframing, user interface design, adaptive/ responsive design, clickable prototyping.
*   **Professional Skills:** Business communication, public speaking, time management, teamwork, brainstorming.

**PROFESSIONAL EXPERIENCE**

**UX/UI Designer | Project-Based Work**
*   Gained profound knowledge and practical skills in Figma, successfully using it alongside Adobe products for web services and landing page design.
*   Developed three full-cycle design projects from research through to prototype presentation.

**PROJECT PORTFOLIO**

**PAWSHUK | Website Design**
A lost-and-found service to help owners find missing pets. Designed based on user needs analysis with three core features: simple, effective, friendly. Implemented through clear reach points, logical user flows, and positive visual components. Delivered adaptive designs for desktop, tablet, and mobile.

**Logan's Candies | Website Redesign**
Created a vintage-inspired design for a 90-year-old family candy shop with a strong social media presence. Utilized brand colors and simple forms to emphasize key benefits and build clear visual hierarchy, resulting in a laconic and convenient design. Adapted for tablet and mobile.

**Art in the City Urban Fest | Landing Page Design**
Designed a landing page for a prominent forum on implementing visual art into the public space of Bucharest. Created a simple, easy-to-use layout with a laconic design aesthetic inspired by graffiti magazines.

**LANGUAGES**
*   Fluent in English (experienced in business communication and public speaking)."
113,"**UI/UX Designer**

Energetic and motivated novice UI/UX Designer seeking a challenging role in a dynamic organization to utilize skills and experience in designing innovative user interfaces and user experiences. Appreciates good teamwork and desires continuous development in UI/UX design.

---

**PROJECT EXPERIENCE**

**Medical Service Web Interface**
Collaborated in a team to design a web service interface for online doctor-patient calls, aiming to reduce time spent on administrative tasks. The service enabled doctors in a private clinic to review patient medical history, schedule appointments, and conduct online calls. Focused on addressing user pain points for improved comfort and ease of use.
*   **Research:** Conducted competitive analysis, brainstorming, Jobs-to-be-Done (JTBD), persona creation, user flow mapping, and customer journey mapping (CJM). Utilized Zoom, Slack, Semrush, and SimilarWeb.
*   **Design:** Created wireframes, UI designs, adaptive layouts, and prototypes. Utilized Figma, Adobe Photoshop, and Adobe Illustrator.
*   **Test:** Performed corridor testing and five-second testing. Utilized Maze.

**Redesign of the Indian Cafe**
Redesigned the website for a cafe to address an outdated, inconvenient design with low-quality imagery and unclear information. Goal was to create a modern, user-friendly interface.
*   **Problem Statement:** Addressed cheap aesthetic, unclear ordering process, confusing navigation, missing dish photos, and reliance on phone calls for inquiries.
*   **Solutions Implemented:** Created a stylish, easy-to-use design with high-quality food photography. Presented location, hours, and contacts clearly. Streamlined menu with clear categorization for food and drinks, displaying prices and ingredients concisely.
*   **Actions:** Performed competitor analysis, created wireframes, developed a UI kit, and designed adaptive layouts.

---

**INDEPENDENT PROJECTS**

**Landing Page ""Design MeetUp""**
A self-initiated landing page project created from scratch.
**Redesign of the Indian Cafe**
A self-initiated redesign project created from scratch.

*   **Project Development Process:** Applied analysis, wireframing, and prototyping.
*   **Tools & Technologies:** Used Adobe Illustrator and Adobe Photoshop.

---

**SKILLS & METHODOLOGIES**

*   **UI/UX Design:** Wireframing, Prototyping, UI Design, Adaptive/Responsive Design, UI Kits
*   **Research & Analysis:** Competitive Analysis, Brainstorming, JTBD, Personas, User Flow, Customer Journey Mapping (CJM)
*   **Testing:** Corridor Testing, Five-Second Testing
*   **Design Tools:** Figma, Adobe Illustrator, Adobe Photoshop
*   **Collaboration & Research Tools:** Zoom, Slack, Semrush, SimilarWeb, Maze
*   **Core Attributes:** Team collaboration, solution development, energetic, motivated, focused on skill improvement"
114,"[Your Name]
[Phone Number] | [Email Address] | [Location] | [Portfolio URL]

**Professional Summary**
Enthusiastic and motivated design professional specializing in Web and UI/UX design. Proven ability to manage full-cycle design projects from concept to completion, with a strong focus on user research and innovative solutions. A reliable, organized, and efficient team player committed to continuous learning and contributing to company goals.

**Skills**
*   **Design Tools:** Figma, Adobe Photoshop, Adobe Illustrator, ProtoPie, Miro, Canva
*   **Design Specializations:** UI Design, UX Design, Web Design, Mobile App Design, Landing Page Design, UX Research
*   **Professional Attributes:** Responsible, reliable, organized, efficient, strong team collaboration

**Projects**
**ShopSmart (Web Service / Mobile App)**
Designed a mobile application to simplify and enhance the everyday shopping routine.

**UAdvisor (Web Service)**
Created designs for a web service dedicated to helping Ukrainian refugees locate support, shelter, and assistance abroad.

**CBD (Website Redesign)**
Executed a full-cycle redesign of an event planning company's website.

**Education & Training**
Completed a comprehensive design course, developing skills through hands-on project work including full-cycle design for mobile applications, web services, and landing pages.

**Career Preferences**
*   Focus on results, design quality, and collaborative teamwork.
*   A work environment built on mutual respect and a friendly atmosphere.
*   Open to roles with partially remote work options.
*   Seeking opportunities for corporate training, professional development, and clear career growth."
115,"[Your Name]
[Your Phone Number] | [Your Email Address] | [Your Location] | [Portfolio/LinkedIn URL]

**Professional Summary**
A dedicated UX/UI Designer with a strong foundation in creating functional and visually compelling designs for web and mobile platforms. Excels in communication, teamwork, and time management, ensuring the delivery of user-centric products under tight deadlines. Combines a meticulous approach to design with proven skills in client interaction and project responsibility.

**Skills**
*   **UX/UI Design:** Crafting user-centered interfaces for landing pages, web services, and mobile applications, balancing aesthetics with usability.
*   **Design Tools:** Proficient in Figma and Photoshop for creating high-fidelity layouts, prototypes, and visual assets.
*   **Collaboration & Communication:** Effectively interacts with clients, colleagues, and development teams to understand requirements and align project goals.
*   **Project Execution:** Strong time management and organizational skills, reliably fulfilling responsibilities and meeting deadlines in high-pressure environments.

**Work Experience**
**UX/UI Designer Student** | GoIT | 06.2023 – Present
*   Designed user interfaces and experiences for websites, landing pages, and mobile applications.
*   Collaborated with development teams to optimize user experience and ensure design feasibility.
*   Created interactive prototypes and conducted design testing using Figma and Photoshop.
*   Managed tasks efficiently to meet all project deadlines and requirements.

**Doctor of Veterinary Medicine** | Veterinary Surgical & Oncology Center | 2019 – 2023
*   Managed client communication and consultation in a fast-paced, high-stakes medical environment.
*   Developed exceptional interpersonal skills and a proven ability to perform with precision under pressure and tight deadlines.

**Education**
**Master’s Degree in Veterinary Medicine** | Sumy National Agrarian University | 2022"
116,"**UI/UX Designer**

A motivated novice UI/UX designer with practical experience in Web, UI/UX, and Mobile Design. Dedicated to creating usable and effective designs from concept to finished product. Eager to actively learn, develop new skills, and contribute to a team while pursuing continuous self-improvement.

**SKILLS & EXPERTISE**
*   UI/UX Design
*   Web & Mobile Design
*   Competitor Analysis
*   Simple UX Research
*   Landing Page Design
*   Web Service Design
*   Mobile Application Design
*   Prototyping
*   Animation Creation
*   Full-Cycle Design Process

**PROJECT EXPERIENCE**

**Car Control Mobile Application** | Study Case, Full-Cycle Design
*   Executed a full design cycle over two months for a mobile app enabling remote control of a car with a satellite security system.
*   Conducted market research and developed user flows.
*   Designed wireframes and delivered finished UI designs for over 60 screens.

**Medical Web Service** | Study Case, Mobile Adaptation
*   Designed a web service interface for facilitating online calls between doctors and patients.
*   Adapted the design for mobile use.
*   Structured the project around three key areas: the clinic website, the doctor's cabinet, and the user's personal profile.

**CAREER OBJECTIVES**
Seeking a role that offers:
*   Work with the latest technologies and tools.
*   Opportunities for career growth.
*   Corporate training and professional development.
*   Mentoring from experienced colleagues."
117,"**Professional Summary**
Novice UI/UX designer passionate about creating attractive, functional interfaces that solve user problems and deliver a pleasant, convenient experience. Skilled in user research, information architecture, wireframing, and interactive prototyping. Collaborative team member with strong attention to detail, committed to continuous growth and excellence in design.

**Project Experience**
Successfully developed a mobile application to simplify restaurant table reservations. Conducted thorough research, competitor analysis, and user needs studies to inform development. Created a sleek, user-friendly design enabling users to quickly find and reserve tables with minimal taps. Integrated features for browsing menus and pre-ordering food to enhance the dining experience.

**Skills**
User Research, Information Architecture, Wireframing, Interactive Prototyping, UI/UX Design, Team Collaboration, Attention to Detail"
118,"**PROFESSIONAL SUMMARY**
A UI/UX designer with experience in web services, websites, and mobile applications. Skilled in design management, UX research, prototyping, and product design. Proven ability to lead projects from research through to final interactive prototypes.

**PROFESSIONAL EXPERIENCE**
**UI/UX Designer**
*   Led the end-to-end design process for multiple projects, including web services and mobile applications.
*   Managed the full design lifecycle: Research (competitor analysis, references, target audience analysis), User Personas (creation of personas and JTBD, defining MVP/MMP), User Flow (CJM and user flow mapping), Wireframes (low-fidelity concepts), UI Kit development (UI and key components), and Prototypes (interactive models).
*   Independently executed a website redesign for a grill-restaurant and created several landing pages.

**LEADERSHIP & PROJECT EXPERIENCE**
**Team Leader – ""ClinicMed"" & ""Giferia"" Projects**
*   Directed the design vision and execution for two major projects: ""ClinicMed"" (a medical web service connecting patients with doctors for consultations) and ""Giferia"" (a mobile application for selecting and sending gifts).
*   Performed primary design functions at each project stage and held final responsibility for project vision.
*   Resolved team conflicts and ambiguous situations.
*   Reviewed and corrected inaccuracies in colleague layouts to ensure a unified project model and design consistency.

**PERSONAL PROJECTS**
*   Developed two independent pet-projects to further explore and apply UI/UX design principles.
*   Participated in a social project, contributing to the development of a website for volunteers.

**SKILLS**
*   **Design:** UI/UX Design, Product Design, UX Research, Prototyping, Wireframing, User Personas, User Flows, CJM.
*   **Management:** Design Leadership, Project Vision, Team Collaboration, Conflict Resolution, Design Consistency Management.
*   **Platforms:** Web Services, Websites, Mobile Applications."
119,"**Graphic and UI/UX Designer**

**Professional Summary**
A Graphic and UI/UX Designer with experience in fintech and blockchain, specializing in creating web and mobile applications from scratch. Proven ability to manage diverse design projects, from corporate branding to digital interfaces, for clients primarily in the USA, Canada, and the UK. Eager to contribute to a collaborative team, learn from experienced professionals, and tackle structured, challenging tasks.

**Professional Experience**
**UI/UX & Graphic Designer** | Outsourcing Company (Fintech & Blockchain Specialization)
*   Designed and executed web and mobile applications from concept to completion for international clients.
*   Served key markets including the USA, Canada, and the UK, communicating directly with clients to understand and solve their problems.
*   Contributed to a blockchain corporate project involving a tokenized game.
*   Developed comprehensive brand identities, including Brand Books and corporate merchandise (cups, hoodies, t-shirts, pens).
*   Produced marketing materials such as banners, printouts, and posters adhering to corporate style guides.
*   Created a distinctive interactive anniversary notebook for employees, involving character illustration and thematic page design.
*   Designed the company website from scratch and established a template for corporate Instagram posts.

**Freelance Design Projects**
*   Created a logo for a Ukrainian bag manufacturer.
*   Completed a redesign project for an outdated website.

**Skills & Capabilities**
*   **UI/UX Design:** Website & Mobile App Design (From Scratch), User Interface Design
*   **Graphic Design:** Brand Identity (Brand Books, Logos), Corporate Merchandise, Print Design (Posters, Banners), Illustration, Character Design
*   **Tools:** (Note: Specific tools from original resume not listed; please add, e.g., Figma, Adobe Creative Suite)
*   **Additional:** Client Communication, Problem-Solving, Adaptability
*   **Note:** Cannot convert own designs to HTML/CSS.

**Personal Projects**
*   Created and published a custom animation case study on Behance."
120,"UX/UI Designer & Product Manager

Expert in UX/UI Design and Product Management with over 8 years of experience creating custom, intuitive designs for mobile apps, websites, and web applications. Focused on developing forward-thinking digital experiences and user flows. Experienced in a broad range of projects, including large enterprise products, with skills in web development, design, re-design, and maintenance. Specialize in UI/UX and Interaction design with a keen interest in design systems.

**Professional Experience**
*   Designed products for major global cinema networks, including one of the world's largest chains (CGV Cinemas).
*   Collaborate daily with developers, utilizing knowledge of HTML, CSS, and JavaScript to ensure practical, maintainable project outcomes.
*   Approach all design work with consideration for long-term project support and scalability.

**Core Skills**
*   User Interface Design (UI)
*   User Experience Design (UX)
*   Responsive Web Design
*   Mobile & App Design
*   Components Design
*   Wireframes & Prototypes

**Tools**
*   Figma / Adobe XD (Design, Collaboration, Prototyping)
*   Photoshop / Illustrator (Image Manipulation)"
121,"**PROFESSIONAL SUMMARY**
Game UI/UX Designer and UI Artist with animation knowledge, offering experience since 2019. Previously worked as a web designer since 2015. Understands the full project lifecycle and possesses working knowledge of code (HTML, CSS, JS). Proficient in Figma, Adobe Photoshop, Unreal Engine 4, and Unity. Skilled in building design processes, mentoring, client acquisition, and team skill development.

**PROFESSIONAL EXPERIENCE**

**UI/UX Designer**
*   Develop intuitive UX flows aligned with the overall game design.
*   Create UI screens and elements, and prepare assets for programmers.
*   Communicate UX vision and design ideas to team members, collaborating to implement designs in-game.
*   Support game development with additional skills as needed.
*   Engage in building and improving design processes.
*   Conduct mentoring and skill-up activities for staff.
*   Independently source and acquire clients.
*   Participate in updating official websites and redesigning logos for sites and applications.

**ADDITIONAL EXPERIENCE**
*   Teach design at IT Academy (Lviv).

**SKILLS**
*   **Tools:** Figma, Adobe Photoshop, Unreal Engine 4, Unity.
*   **Technical:** UI/UX Design, UI Art, Animation, Web Design, HTML, CSS, JavaScript.
*   **Professional:** Design Process Development, Mentoring, Client Acquisition, Team Collaboration, Cross-functional Communication.

**INTERESTS**
Continuous learning, language study, and an active lifestyle including basketball, Brazilian jiu-jitsu, and yoga. Value working within friendly, flexible teams focused on useful product results that value each member."
122,"**PROFESSIONAL SUMMARY**
Game UI/UX Designer and Artist with professional experience in the mobile casual game sector. Contributed to the development and release of a published title. Skilled in creating user interfaces from concept to final asset delivery for Unity. Collaborative team member experienced in working with designers, managers, artists, and programmers to deliver visually appealing and functional game interfaces.

**PROFESSIONAL EXPERIENCE**
Game UI/UX Designer & Artist | Ukrainian Game Company
*   Designed UI visuals for casual games from initial concept through to final rendering and sprite preparation for Unity development.
*   Conducted research on game interfaces and functional solutions to inform design decisions.
*   Developed convenient, visually attractive, and unique user interfaces.
*   Created comprehensive UI assets including logos, icons, buttons, pop-ups, and assets for unique game mechanics.
*   Collaborated within a cross-functional team of designers, managers, 2D/3D artists, and programmers.
*   Monitored the interface layout implementation within game engines to ensure design fidelity.
*   Maintained current knowledge of the latest UI/UX design trends and techniques.

**EDUCATION**
Bachelor's Degree in ""Artist-performer"" | Kyiv National University of Construction and Architecture

**SKILLS & EXPERTISE**
*   Game UI/UX Design
*   Visual Design & Asset Creation (Logos, Icons, Buttons, Pop-ups)
*   UI Concept Development & Final Rendering
*   Sprite Preparation for Unity
*   Interface & Functionality Research
*   Cross-functional Team Collaboration
*   Design Trend Analysis"
123,"**PROFESSIONAL SUMMARY**
UI/UX Game Designer with 4 years of commercial design experience and 2 years of commercial GameDev experience. Proven ability to manage the full UI/UX cycle for diverse projects including mobile shooters, educational children’s games, tactical MOBAs, and multiplayer casual games. Adept at resource implementation in Unity3D and committed to continuous learning and industry engagement.

**PROFESSIONAL EXPERIENCE**

**UI/UX Game Designer**
*   4 years of commercial experience in Design; 2 years of commercial experience in GameDev.
*   Managed 248+ successfully completed projects.
*   Led full UI development for an educational mobile game for kids, achieving over 100,000 downloads.
*   Participated in the development of a AAA PC MOBA.
*   Successfully and on-time completed a full design update and migration to mobile for a PC simulator for cybersportsmen.
*   Responsibilities included full-cycle UI/UX creation: information architecture, player flows, UI research, wireframing, style research, prototyping, resource implementation in Unity3D (with/without developer help), and participation in game tests.
*   Worked on diverse projects including mobile shooters, educational games for kids, tactical MOBAs, and multiplayer casual games.
*   Actively continues to work and deliver results in challenging environments.

**KEY SKILLS & TECHNOLOGIES**
*   **Design & Prototyping:** Figma (UI, vector graphics, animation), Adobe Photoshop (raster graphics)
*   **Game Engines & Tools:** Unity3D, Plastic SCM
*   **Project Management:** Jira, Confluence
*   **Additional Skills:** Creating game graphics using a graphics tablet

**EDUCATION & PROFESSIONAL DEVELOPMENT**
*   Graduated with honors from Web Design courses; supervised the final group project.
*   Completed English courses with honors in 2022.

**ORGANIZATIONAL ACHIEVEMENTS**
*   Successfully organized the printing of materials for two simultaneous exhibitions in different cities.
*   Developed a welcome-box program for new company employees."
124,"**PROFESSIONAL EXPERIENCE**

**UX/UI Designer** | 2020–2022
*   Conducted independent UX research to inform interface design for an indie game.
*   Created low- and high-fidelity wireframes, interactive visual designs, and prototypes.
*   Developed adaptive and responsive UX/UI wireframes for web-based applications.
*   Built site maps, information architecture, customer journey maps (CJM), and user guides.
*   Illustrated design ideas using storyboards and process flows.
*   Designed comprehensive user testing surveys and exercises to deepen product understanding.
*   Ensured designs covered full customer loops, including negative paths.
*   Collaborated closely with developers and game designers to implement solutions.

**Visual and Graphic Designer** | 2019–2022
*   Created logos, conceptual brand identities, banners, posters, and advertisements.
*   Generated creative ideas and defined visual style, monitoring current design trends.
*   Presented and defended design concepts to clients.
*   Applied meticulous attention to detail and structured presentation of work results.
*   Collaborated effectively within a strong team to implement high-quality design work.

**SKILLS**
User-Centered Design, UX Research, Wireframing (Low & High Fidelity), Prototyping, Information Architecture, Sitemapping, Customer Journey Mapping, User Testing, Visual Design, Brand Identity, Logo Design, Adobe Creative Suite, Figma, Team Collaboration, Client Presentation."
125,"**PROFESSIONAL SUMMARY**
A user experience and graphic designer with expertise in legal compliance for digital products, particularly copyright law. Proven ability to lead design from concept to completion for mobile, desktop, and gaming applications. An engaged community speaker and organizer focused on improving collaborative and urban spaces.

**PROFESSIONAL EXPERIENCE**

**Freelance UX/UI & Graphic Designer**
*   Designed user interfaces from scratch for mobile, desktop, and gaming applications.
*   Applied deep UX methodologies to develop wireframes, user flows, journey maps, personas, and interactive prototypes.
*   Created and maintained full product and brand identity, including logos, corporate styles, guidelines, brand books, and all graphic assets.
*   Developed atomic design systems for websites, applications, and gaming projects.
*   Provided accurate high- and low-level design estimations for projects of varying complexity.
*   Conducted design reviews and effectively integrated feedback from design leads and clients.
*   Leveraged knowledge of copyright law to ensure company projects operated safely within legal boundaries.

**Community Involvement**
*   **Speaker:** Regularly invited to share expertise at IT industry events.
*   **Co-organizer:** Actively manage and grow the Mykolayiv Design Community.
*   **Volunteer:** Periodically engage in social projects dedicated to urban space improvement.

**KEY SKILLS**
*   **Design:** UX Research, UI Design, Wireframing, Prototyping, Journey Mapping, Persona Creation
*   **Graphic & Brand Identity:** Logo Design, Corporate Style, Brand Books, Design Guidelines
*   **Systems:** Atomic Design System Creation & Maintenance
*   **Project Management:** Design Estimation, Design Review Cycles, Client Feedback Integration
*   **Legal Compliance:** Copyright Law for Digital Products
*   **Soft Skills:** Highly communicative team player, effective cross-functional collaborator

**PERSONAL NOTES**
*   Seeking a full-time position with minimal bench periods.
*   Thrives in environments with friendly, sociable colleagues and collaborative teamwork.
*   Prefers workflows with minimal reporting and tracking overhead."
126,"**PROFESSIONAL SUMMARY**
Lead Game UI/UX Designer with over 5 years of experience specializing in mobile and web product design for the gaming sector. Proven expertise in creating user-centered features from concept to execution, establishing design systems, and mentoring teams. Combines strategic market research with a strong focus on metrics to drive product success.

**WORK EXPERIENCE**

**Lead Game UI/UX Designer** • Obrio (Genesis)
_January 2021 – August 2022 (1 year, 8 months)_
Project: Factory Empire – Mobile Casual Casino
*   Designed and executed over 15 new features from initial concept to final implementation.
*   Established the foundational visual style and color system for the game's UI.
*   Authored and maintained comprehensive game design documentation.
*   Conducted market and competitor analysis to inform design decisions and product strategy.
*   Created interactive video prototypes to demonstrate feature functionality and user flow.
*   Developed, maintained, and updated the centralized UI kit for design consistency.
*   Mentored a junior designer and provided team management and direction.
*   Monitored and analyzed key product metrics using devtodev.com.
*   Presented design results, user research, and feature performance to the team.

**Additional Achievements:**
*   Served as a Judge and Mentor at the Genesis GameJam 2021.
*   Recorded an instructional lecture on Game UX for the Projector Institute's Game Design Beginning course.

**UI/UX Designer** • Evoplay
_February 2020 – January 2021 (11 months)_
Projects: Various Gambling Products
*   Supported and enhanced existing mobile and web product interfaces.
*   Created and maintained a scalable, component-based UI-Kit.
*   Designed responsive layouts and adapted interfaces for multiple breakpoints.
*   Designed and implemented mini-features to improve user engagement.
*   Created custom illustrations to support new features and visual storytelling.

**Product Designer** • Aimbulance
_September 2019 – February 2020 (5 months)_

**UI Designer** • Under NDA
_September 2017 – September 2019 (2 years)_"
127,"**Professional Summary**
A dedicated graphic and UI/UX designer with over 10 years of experience, based in Kharkiv. Expertise developed through roles in advertising agencies, marketing firms, and printing houses. Proven history of creating impactful visual identities for leading Ukrainian real estate companies and European clients. Specializes in delivering a comprehensive range of design services from concept to execution.

**Professional Experience**
*   Developed visual identities, including logos and brand styles, for prominent clients. These works are implemented in outdoor advertising and adorn public spaces in Kyiv, Kharkiv, and other cities in Ukraine and Europe.
*   Managed freelance projects and client relationships, delivering full-cycle design solutions.
*   Created websites using the Tilda constructor.
*   Served clients across various sectors, with a focus on real estate and European markets.

**Skills & Services**
*   **UI/UX Design:** UX research, website design, landing page creation.
*   **Branding & Identity:** Logo creation, brand style development.
*   **Digital & Print Design:** Social media graphics, layouts for printed materials, presentations.
*   **Advertising & Marketing:** Outdoor advertising design, transport branding.
*   **Tools:** Tilda constructor.

**Personal Attributes**
Excellent organizational and planning skills. Strong team player. Passionate about creating user-friendly design. Eager to grow and develop further as a UX/UI designer."
128,"**UX/UI & Product Designer**
Remote (Ukraine) | 4+ years of experience

A user-centric designer specializing in complex software products, including SaaS, web, and mobile applications. Proven experience leading design from initial concept through problem-solving to full UI implementation.

**PROFESSIONAL EXPERIENCE**

**UX/UI Designer**
ManyRequests | Aug 2020 – Nov 2020
*   Reworked UX & UI of an existing product to enhance user-friendliness.
*   Rapidly iterated design versions based on feedback, user testing, and feature response.
*   Created on-brand design solutions meeting measurable business goals and requirements.
*   Integrated new platform features according to user needs.

**Product Designer**
Stress Point Health Ltd | Apr 2018 – Jun 2020
*   Led UX/UI design for a mobile app providing treatment for stress, anxiety, and trauma.
*   Designed the project from idea through problem-solving to full UI.
*   Combined and visualized different metrics in an understandable way for users.
*   Created wireframes, user journey flows, and prototypes for testing.
*   Facilitated usability testing sessions with 22 volunteers in a pilot study to identify and solve usability problems.

**UI/UX and Web Designer**
Propeller Digital Company | May 2016 – Dec 2019
*   Served as the sole designer, leading all design decisions.
*   Designed all visual elements, from websites to print materials and infographics.
*   Analyzed briefs to scope projects and define user experience approaches and activities.
*   Translated concepts into wireframes, designs, and mockups for B2B and B2C markets, employing distinct design languages and messaging.
*   Redesigned business presentations, logos, brand identity, and visual design of existing websites.
*   Operated within a user-centered design and design thinking framework."
129,"**EDUCATION**
Master’s Degree in Design and Journalism | [University Name, City, State – Optional]
*Completed while working on non-profit projects for a charitable organization, honing graphic and UI/UX design skills.*

**EXPERIENCE**
**Creative Intern** | Phiture (Mobile Growth Consultancy and Agency) | [City, State – Optional]
*   Created illustrations and various design assets for the marketing team.
*   Adjusted designs to adhere to brand guidelines.
*   Produced print design materials and performed photo retouching.
*   Developed marketing assets for clients including Ad Hoc Labs and Tipp24.
*   Participated in A/B testing for Adobe and assisted in Quality Assurance processes.

**Non-Profit Design Projects** | Charitable Organization | [City, State – Optional]
*   Developed graphic and UI/UX design assets for organizational projects while completing Master’s degree.

**SKILLS & EXPERTISE**
*   **Design:** Graphic Design, UI/UX Design, Vector Graphics, Icon & Logo Design, Application Prototyping, Branding, Print Design, Photo Retouching.
*   **Software & Tools:** [List relevant software, e.g., Adobe Creative Suite – Optional]
*   **Additional Skills:** Video Editing, Motion Graphics, A/B Testing Support, Quality Assurance Assistance.
*   **Core Competencies:** Ability to work with large volumes of information and text, with a background in multimedia journalism."
