,Modified_meta-llama/Llama-3.3-70B-Instruct-Turbo_of_CV_Modelmeta-llama/Llama-3.3-70B-Instruct-Turbo
68,"Web Designer
Lviv, Ukraine

Summary:
Highly motivated web designer with a Master's degree in Musical Art (2016-2022) and experience in UI/UX design, seeking a full-time position. Proficient in creating mobile applications and websites, with a strong passion for continuous learning and teamwork.

Education:
Master's degree in Musical Art, 2016-2022

Experience:
Web Design Intern, Sigma Software
- Designed an online portal for social initiatives and donations, utilizing UI/UX design knowledge
- Identified issues, proposed practical solutions, and collaborated with designers to deliver high-fidelity wireframes, mockups, and interactive prototypes
- Conducted consumer research and analysis, ideation, brainstorming, sketching, prototyping, and concept visualization
- Created presentations for proof of concept and implementation, ensuring a smooth transition to the development stage

Skills:
- UI/UX design
- HTML
- CSS
- Mobile application design
- Website design
- iOS design guidelines (in progress)
- Material design guidelines (in progress)
- Team collaboration
- Problem-solving
- Continuous learning and development

Portfolio:
Available on Behance and Instagram

Career Goals:
Seeking a full-time web design position with a competitive salary, where I can apply my skills and experience to contribute to a team and continue learning and growing as a professional."
69,"UI/UX Designer

Highly motivated and creative designer with a passion for crafting intuitive and visually appealing user interfaces. Proven ability to understand users' needs and create products that effectively communicate with the audience.

Key Achievements:
- Reached 3100 views on Behance portfolio
- Successfully developed multiple projects, including MedMeet web service, My Scan mobile app, Barbershop landing page, and a commercial site for glass partitions

Project Experience:

MedMeet Web Service
- Collaborated on a group project with 2 people, developing teamwork and leadership skills
- Improved communication between doctors and patients, enabling video calls and allowing doctors to manage patient medical histories and prescribe treatments

My Scan Mobile App
- Designed a supermarket payment application, enabling users to scan products and make automatic payments
- Implemented features for generating receipts and viewing purchase history

Barbershop Landing Page
- Created a landing page with a beautiful design to attract new customers and encourage appointments

Glass Office Partitions Website Redesign
- Redesigned an existing website to provide users with necessary information about partitions and facilitate consultation sign-ups

Career Goals:
Seeking an interesting and challenging role where I can apply my knowledge and skills to drive innovation and growth."
70,"Junior UI/UX Designer

I completed a 3-month UI/UX design course at Shendricov Education, where I gained hands-on experience with customers and developed a landing page for a beauty salon. Following the course, I worked with a real client to design a multi-page site, which is currently in development.

Key Projects:

1. Landing Page for Sugaring Studio
   - Client: Sky Epil, a depilation studio in Poltava
   - Task: Develop a one-page website for hair removal services
   - Goal: Increase customer acquisition
   - Results: Delivered a prototype, typography, color scheme, final web design, adaptive design, and a UI kit

2. Personal Website with a Blog
   - Project: Blog for a psychologist to share knowledge and advice
   - Task: Design a multi-page site
   - Goal: Establish a personal brand and increase client engagement
   - Results: Created a prototype, typography, color scheme, final web design, adaptive design, and a UI kit

I am highly motivated to further develop my skills and contribute to a team. I am interested in all stages of UI/UX design and am looking to work with an experienced team or mentor to gain more experience and quickly strengthen the team."
71,"Junior UI/UX Designer

Highly motivated and creative designer focused on crafting intuitive and engaging digital experiences that address real-world problems. Leveraging a strong understanding of psychology to inform user-centered design decisions and drive empathy in design solutions. Proficient in problem-solving and detail-oriented, with a passion for delivering high-quality designs.

Key Project Experiences:

* Nutrie App: Contributed to the development of a mobile application designed to promote healthy eating habits, featuring meal tracking, calorie consumption monitoring, and personalized recommendations based on user health goals.
* VoyageNest Web Service: Played a role in creating a web platform that connects travelers with free accommodation opportunities in exchange for work, enabling users to search, communicate, and arrange bookings with hosts.
* Aurainteriors Landing Page: Designed a minimalist and aesthetically pleasing landing page for an interior design studio, showcasing attention to detail and visual design skills.

Skills: Empathy, Problem-Solving, UI/UX Design

Career Aspirations:
Seeking a collaborative and dynamic work environment that fosters growth, learning, and creativity. Eager to contribute to innovative design projects and express ideas in a supportive and experimental setting. Committed to continuous learning and skill development, with a strong desire to work in an environment that encourages experimentation and creativity."
72,"Junior UI/UX Designer

About Me:
Highly motivated junior UI/UX designer with a strong foundation in design principles, seeking a collaborative team environment that fosters growth and development.

Experience:
Team Project: Contributed to the development of a web service for animals, collaborating with team members to achieve project goals.
Personal Projects:
- Designed a website for the sale of gamer chairs, conducting competitor analysis, creating initial wireframes, and incorporating high-quality photos and color schemes to enhance user experience.
- Redesigned an outdated restaurant website in America, analyzing existing site flaws, competitor sites, and combining non-informative pages to create a more logical layout, adding new blocks to increase user confidence, and implementing a new color palette and quality pictures.

Education:
Completed the GOIT course, gaining fundamental knowledge and skills in UI/UX design under the guidance of experienced mentors.

Skills:
- UI/UX design
- Competitor analysis
- Wireframing
- Color scheme and typography
- High-quality photo integration
- Collaborative team work
- Strong communication and social skills

Career Expectations:
- Friendly and supportive team environment
- Timely payment and recognition of labor
- Opportunities for professional growth and development
- Positive attitude from superiors

Personal Guarantee:
- Commitment to temporary or long-term positions
- Responsibility and accountability in work
- Sociability and strong interpersonal skills
- Willingness to continuously learn, improve, and develop skills"
73,"Junior UI/UX Designer

Highly motivated and detail-oriented designer with experience in creating user-friendly websites and mobile applications. Proficient in Figma, with basic skills in Adobe Photoshop and Adobe Illustrator.

Summary:
Collaborated in a team to develop a web service for finding lost pets, conducting research and analyzing similar sites. Successfully designed and implemented two personal projects: a redesign for a sports club and a landing page for an urban festival.

Skills:
- UI/UX design for websites and mobile applications
- Proficient in Figma
- Basic skills in Adobe Photoshop and Adobe Illustrator
- Full-cycle design: task analysis, wireframing, interface creation, and prototyping

Experience:
- Team project: Web service for finding lost pets
  - Conducted research and analyzed similar sites
  - Utilized Figma as the primary design tool
- Personal projects:
  - Redesign for a sports club
    - Researched and analyzed competitors
    - Created a new design with improved navigation and accessibility
    - Target audience: people aged 18-60 interested in sports and social events
  - Landing page for an urban festival
    - Designed a page with necessary information and registration functionality
    - Target audience: professionals and enthusiasts of urban architecture

Education:
- Currently studying at an IT school to improve soft and hard skills

Career Goals:
- To work in a team of professionals, improving soft and technical skills
- To contribute to real projects, solving problems and conducting research to achieve company and personal goals
- Open to working in-office or remotely"
74,"Junior Web Designer

Highly motivated and detail-oriented junior web designer with a passion for creating engaging and aesthetically pleasing websites that provide a memorable user experience and efficient navigation.

Freelance Experience:
- Developed a website for an e-commerce store featuring products such as fireplaces, furniture, and tubs for bottled water (project details confidential until publication).

Completed Projects:

1. Happy Health Clinic | Online Consultation
   - Created a web service interface for conducting online calls between doctors and patients
   - Developed the project in three stages:
     * General end-user interface
     * General interface for doctors
     * Common payment interface

2. Car Service Application
   - Designed an easy-to-use application for car service centers in Ukraine
   - Developed and launched the project in one stage: general end-user interface

I am eager to continue developing my skills, gaining experience, and collaborating with a great team to deliver high-quality web design solutions."
75,"Alina
Junior UI/UX Designer

Summary:
Results-driven Junior UI/UX Designer with 1 year of professional experience in designing user-centered interfaces for web and mobile applications. Proficient in UI/UX design principles, with a strong background in brand marketing and a unique perspective on user engagement.

Professional Experience:
Junior UI/UX Designer
- Contributed to the design and development of user-centered interfaces for web and mobile applications
- Conducted user research, usability testing, and incorporated user feedback to iteratively improve designs
- Collaborated effectively with cross-functional teams, including developers, product managers, and stakeholders
- Delivered projects within tight deadlines while maintaining a high level of quality and attention to detail

Skills:
- UI/UX Design
- Wireframing
- Rapid Prototyping
- Design System Design
- User Research
- User Journey Mapping
- Graphic Design
- Design Principles
- Typography
- Color Theory
- Information Architecture

Tools:
- Figma
- Adobe Illustrator
- Adobe Photoshop
- MS Office

International Experience:
7 years of experience working in international companies, with a keen eye for understanding target audiences and crafting design solutions that resonate with diverse cultures and markets."
76,"Aspiring UI/UX Designer

Summary:
Highly motivated and detail-oriented UI/UX designer with experience in creating user-friendly designs for various industries. Proficient in Figma, Photoshop, and Illustrator, with a strong passion for delivering high-quality designs.

Skills:
- UI/UX design
- Competitor analysis
- Target audience research
- Wireframing
- Mind mapping
- User flow creation
- UI Kit development
- Interface prototyping
- Figma
- Photoshop
- Illustrator

Experience:
Team Leader, Web Service ""ZooShuk""
- Led a team to develop a web service for finding missing animals
- Designed a user-friendly interface with features such as photo upload, search by category, and geolocation

Personal Projects:
1. Redesign for Website ""A Kids Place Childcare""
- Created a modern and user-friendly design for a children's preschool website
- Conducted research and competitor analysis to develop a simple and clean modern style
- Ensured responsiveness for tablets and mobile devices

2. Web Service ""ZooShuk""
- Developed a web service to help people find and return their lost pets
- Designed an easy-to-use interface with features such as photo upload, search by category, and geolocation

Education and Training:
Corporate training and development opportunities available

Career Goals:
Open to internship or job opportunities in UI/UX design, with a focus on remote work, mutual respect, and a friendly team atmosphere."
77,"Young and Energetic UX/UI Designer

About Me:
Highly motivated and enthusiastic UX/UI designer with a passion for creating innovative and user-friendly designs. Proficient in adapting to new technologies and open to new experiences.

Skills:
- Proficient in Adobe Photoshop, Adobe Illustrator, and Figma
- Strong research and analysis skills using Similarweb
- Developed time management and communication skills through team projects
- Continuous development of watchfulness and design thinking

Portfolio:
1. Landing Page for a Barbershop
   - Created a minimalist design with a dark background and easy navigation
   - Conducted thorough research, competitor analysis, prototyping, UI design, and final product presentation preparation

2. Redesign and Adaptation of a Tattoo Studio Website
   - Created a modern and convenient design to improve attraction of new customers
   - Conducted research and analysis of competitors to understand successful solutions
   - Prepared ideas for future redesign, created prototypes, developed UI design, and adapted the final product

3. Design of a Web Service for Finding Lost Pets (Team Project)
   - Conducted research and analysis of competitors, formulated JTBD table, user flow, CJM, and prototyping
   - Created a light and bright design with convenient navigation, map and marks, and chat functionality
   - Adapted the design for tablet and phone devices and prepared the final product presentation

About My Work Style:
I am an open and sincere person who values collaboration and creative thinking. I am excited about the opportunity to work with a friendly team of experienced professionals or beginners to create functional and commercially successful products.

Note on Employment Preferences:
I am not interested in employment opportunities with Russian companies or companies that cooperate with them."
78,"GoIT (IT courses)
	- UI/UX Designer
	- Mobile app design

Creative UX/UI Designer with experience in implementing design solutions to create intuitive user experiences for achieving business goals. 

Designed an entire desktop application and created various projects, including simple pages and complex web applications, with a focus on designing for the client's brand and providing convenient navigation for users.

Key projects include:
- Restaurant reservation app: a convenient application for searching, booking tables, and orders, where I conducted competitors analysis, User Flow, User Persons, Wireframes, and other tasks.
- Furniture: a landing page shop with furniture, where I practiced a new style and created a UI Kit, colors, typography, and landing page.

Utilized tools such as Figma and ProtoPie to complete projects.

Developed technical and soft skills throughout my journey in UX/UI design, with a passion for creating fascinating and convenient products for users. Proficient in designing attractive and functional websites.

Portfolio available on Behance profile. Seeking a position with a company that aims to make everyday life and business easier, more productive, and more convenient, utilizing my skills as a fast learner, responsible, and complex task performer."
79,"Anya
Web Designer

Summary:
Highly motivated web designer with a strong foundation in UI/UX design, proficient in creating effective structures and content, and experienced in graphic design.

Education:
Studied UI/UX design, with projects including:
- Concept development for Landing Pages of an ice cream company
- Website redesign for an agency and a photo studio
- Concept development for an E-commerce platform for a bedding store

Skills:
- Creation of effective structure and content: composition, grid systems, typography, color theory, design laws, micro-interactions
- UX research: competitor analysis, target audience definition and segmentation, screen mapping
- UI elements anatomy
- Proficient in:
  - Figma
  - Adobe Photoshop
  - Adobe Illustrator
  - Adobe After Effects

Experience:
Graphic Designer
NGN.agency
- Created marketing designs for brands: Fora, Pickwick, Jacobs, Carte Noire, Synevo
- Performed photo retouching in Adobe Photoshop

Graphic Designer
TapJets holdings INC.
- Designed content and video content for social networks
- Collaborated on brand promotion: logo creation, corporate style development, website redesign, social network design

Career Goals:
Seeking a company where I can grow, develop, and work with like-minded individuals to create innovative products for brands."
80,"Liubov
UI/UX Designer

Summary:
Highly motivated UI/UX designer with experience in Figma and Adobe Photoshop, skilled in creating research, user personas, clickable prototypes, styling, and typography. Dedicated to designing ergonomic, beautiful, and comfortable user experiences.

Experience:
Alaska Pete's Website Redesign
- Conducted research and analysis of competitors to inform design decisions
- Created a modern and user-friendly design to attract potential customers
- Implemented a simple and modern style, structured information, and used unified style photos

CoStay Web-Service
- Conducted competitor analysis, research, and developed Information Architecture, User Flow, and Customer Journey Map
- Designed a web service for searching temporary accommodation, promoting a unique exchange program for students and young people

Skills:
- UI/UX design
- Figma
- Adobe Photoshop
- Research
- User personas
- Clickable prototypes
- Styling
- Typography
- Design elements (typography, color schemes, imagery, spacing)

Career Interests:
- Collaborative environment
- Clear communication
- Inclusive culture
- Career growth
- Corporate training and development
- Friendly atmosphere

Note: I removed this section as per your request for plain text, I will make sure the output is plain text as requested.
Liubov
UI/UX Designer

Summary:
Highly motivated UI/UX designer with experience in Figma and Adobe Photoshop, skilled in creating research, user personas, clickable prototypes, styling, and typography. Dedicated to designing ergonomic, beautiful, and comfortable user experiences.

Experience:
Alaska Pete's Website Redesign
- Conducted research and analysis of competitors to inform design decisions
- Created a modern and user-friendly design to attract potential customers
- Implemented a simple and modern style, structured information, and used unified style photos

CoStay Web-Service
- Conducted competitor analysis, research, and developed Information Architecture, User Flow, and Customer Journey Map
- Designed a web service for searching temporary accommodation, promoting a unique exchange program for students and young people

Skills:
- UI/UX design
- Figma
- Adobe Photoshop
- Research
- User personas
- Clickable prototypes
- Styling
- Typography
- Design elements (typography, color schemes, imagery, spacing)

Career Interests:
- Collaborative environment
- Clear communication
- Inclusive culture
- Career growth
- Corporate training and development
- Friendly atmosphere"
81,"Max
Kharkiv

Objective: Junior UX/UI Designer position in a dynamic team, focusing on growth and development in design.

Education: 
IT school ""Design Kitchen School""

Projects:
- Designed a landing page for a volunteer organization, incorporating fonts, colors, and high-quality photos to convey the organization's mission, impact, and need for financial assistance. A separate donation block was created, and a mobile version of the site was implemented. (Available on Behance)
- Redesigned an online clothing store, starting with a competitor analysis to identify advantages and disadvantages. Developed recommendations and hypotheses for improvement, created user personas, and mapped their journeys through the site. Produced a sitemap and a redesigned site, demonstrated through Figma prototyping. (Available on Behance)

Skills:
- UI/UX design
- Mobile apps design
- Web design
- Creating frameworks
- User flow and personas
- Prototyping
- Creating a landing page
- E-commerce
- Responsive design
- Design system
- Typography
- Color theory
- Composition

Tools:
- Figma
- Adobe Photoshop
- FigJam
- Trello"
82,"Summary:
Highly motivated individual with experience in designing and improving user interfaces for various projects, including e-commerce mobile applications and service-oriented web portals.

Experience:
Project 1: Optimization of an e-commerce mobile application
- Designed and improved the user interface of a mobile application for an e-commerce company
- Collaborated with developers, UX designers, and project managers to enhance the purchasing process
- Utilized Sketch for designing layouts and InVision for prototyping

Project 2: Redesign of a service-oriented web portal
- Conducted user research and analyzed data to develop an interface meeting users' needs
- Created layouts and prototypes using Figma and conducted usability testing to validate the new design

Project 3: Landing page
Project 4: 3 Mobile apps

Additional Projects: Contributed to 3-5 additional projects, further demonstrating versatility and expertise in user interface design.

Skills:
- User interface design
- User experience (UX) design
- Interaction design
- Prototyping (InVision, Figma)
- Design tools (Sketch, Figma)
- Usability testing

Career Goals:
Specialize in interaction design, focusing on animations and microinteractions to enhance user experience."
83,"Design Experience

HOMECULT
Designed for a company specializing in professional interior design development to improve the company's image online, attract new customers, and demonstrate a catalog of works. The project aimed to increase trust in specialists and enable users to quickly find a worthy performer and implement design solutions.

Motocycle Website Concept
Developed a commercial website concept for a sports motorcycle store to improve the store's online image, attract new customers, and showcase a catalog of bikes. The goal was to create a unique and easy-to-use site design that stands out from competitors.

Mobile Application Experience

DRIVER 24
Designed a mobile application for car rental, allowing users to choose and rent a car. The project focused on creating a convenient and understandable application for easy user interaction.

Skills
Interior Design Development
Website Design
Mobile Application Design
User Experience (UX)
User Interface (UI)"
84,"Beginner Web Designer

Personal Projects:
- Dog Style
- Flower Lover
- Redesign website Indian food

Skills:
- Prototyping
- Figma
- Adobe Photoshop
- Adobe Illustrator
- User Interface
- Design
- UX Research
- Web Design
- UIKit

Project Experience:

Flower Lover
- Expanded sales geography through site development, enabling deliveries to other cities and countries
- Improved customer experience by providing information on delivery times, payment methods, and composition choices
- Increased customer loyalty through regular promotions, discounts, and order bonuses, with options for newsletter subscriptions

Redesign website Indian food
- Enhanced user experience through intuitive site design and simplified navigation
- Increased conversion rates by streamlining the checkout and payment process
- Improved brand identity by creating a unique and reflective website design
- Implemented SEO improvements to enhance search engine rankings and increase site traffic
- Ensured mobile device accessibility through responsive design updates

Career Goals:
To work and create innovative solutions that positively impact people, while gaining experience and guidance from experienced web designers and real customers."
85,"UI/UX Designer

Summary:
Certified Interior Designer with 4+ years of experience, offering innovative designing and conceptual sustainable functional spaces. Recently transitioned to UI/UX design, with a strong foundation in color, shape, composition, and web product design. Proficient in Figma, Adobe Photoshop, Adobe Illustrator, and Web Flow.

Experience:
UI/UX Designer for Motivate Clock, a time tracking application, where I created a design landing page with a focus on laconic design, interesting animation, and attractive features.
Owner of two personal projects: 
- Babbleer, a web service for learning languages, which allows teachers, volunteers, and students to connect and hold online meetings.
- Redesign of a dance school website, focusing on a light design with bright illustrations and unobtrusive forms.

Skills:
- UX research
- Prototyping
- Designing landing pages
- Designing mobile interfaces
- Working on vector graphics
- Developing mobile application design
- Developing web service design
- Strong knowledge of Figma, Adobe Photoshop, Adobe Illustrator, and Web Flow

Personal Projects:
- Motivate Clock: Developed a landing page with a focus on attracting new users through interesting animation and design.
- Babbleer: Created a platform for language learning, with features for online meetings and knowledge sharing.
- Dance School Redesign: Created a light and modern design, adapted for tablet and mobile devices.

About Me:
Confident, friendly, and resourceful individual with a strong professional background and attention to detail. Skilled in communication, teamwork, adaptivity, and problem-solving. Looking to join a product company and contribute to a team as a UI/UX designer."
86,"Creative and ambitious individual with a strong ability to design aesthetically pleasing and functional websites. Driven by a desire to learn and improve daily, with a focus on finding the best solutions for various web design tasks.

Key strengths include a sense of proportion and color, enabling the creation of harmonious and effective designs. Utilize imagination and creativity to develop unique and exciting web designs. Detail-oriented and perfectionistic, ensuring high-quality work and a strong ability to listen to and understand client needs.

Projects:
- Designed the interface for medical web-service ""TakeCARE"", facilitating online calls between doctors and patients, and enabling private clinic doctors to review medical history, schedule appointments, and conduct online calls.
- Created the online store ""The POWER"", a trading platform offering a wide assortment of gadgets and equipment, allowing for convenient one-site purchases.
- Developed a landing page for a furniture store, showcasing its main advantages and goods, and enabling clients to order and consult.
- Designed the mobile application ""Flowerlove"" for ordering flowers and gifts, allowing users to schedule deliveries for upcoming birthdays and automatically selecting the best flowers and gifts for delivery.

Although lacking direct web design experience, possess a strong ability to quickly learn new tools and technologies, ensuring rapid development into an effective web designer."
87,"Web Designer & Team Leader

Highly motivated and creative web designer with experience in leading projects from start to finish, specializing in UX and UI design for websites and mobile applications. Proven ability to work effectively in a team and lead full-cycle design projects.

Key Projects:
- Webservice UX/UI Design-Travel Easily: Led a team in designing a user-friendly webservice for organizing affordable stays in other countries, developing UX and UI for both guests and hosts.
- Redesign Landing Page Hospital: Successfully redesigned a multi-page landing site to improve user experience, adding features such as online appointment scheduling with doctors.
- Landing Page for Flower Shop: Created a landing page showcasing the beauty and services of a flower shop, providing a simple and intuitive user experience with two design options.

Skills & Qualities:
- Full-cycle design expertise: research, analysis, wireframing, UI/UX, prototyping, and visual style creation
- Strong team leadership and collaboration skills
- Fast learner, responsible, problem-solver, and attentive to details
- Proficient in creating unique, functional, and modern designs for websites and mobile applications
- Passionate about following current design trends and applying innovative ideas to future projects

Career Objective:
Seeking a full-time position in a company where I can apply my skills, continuously grow, and improve as a web designer and team leader."
88,"UI/UX Designer

Highly creative and passionate designer with a degree in Graphic Design and a strong interest in user-centered design. Proficient in Adobe Photoshop, Illustrator, and Figma, with experience working on various projects, both individually and in teams.

Key Skills:
- UI/UX design
- Graphic design
- User research
- Competitor analysis
- User personas
- Wireframes
- Prototypes
- UI-Kit development
- Visual design
- Navigation and functionality improvement
- Adaptive design
- Branding and illustration

Experience:
- Redesigned the ""Custom Concepts"" website, focusing on user-centered design and emphasizing the individuality of the brand
- Created several excellent logos for personal projects
- Launched a successful idea for a car service app
- Successfully organized teamwork on multiple projects

Projects:

1. “Custom Concepts” Website Redesign
   - Conducted user research and competitor analysis
   - Created user personas, wireframes, and prototypes
   - Developed UI-Kit and improved visual design, navigation, and functionality
   - Tools: Figma, Adobe Photoshop, Adobe Illustrator

2. Web Service “Happy Health” (Pair Project)
   - Defined problem statement, user needs, and goals
   - Created user flows, customer journey map, and wireframes
   - Designed adaptive layout for tablet and mobile
   - Tools: Figma, Adobe Photoshop

3. Mobile Application “Quick Way” (Pair Project)
   - Created branding and illustrations for the app
   - Designed user flow, wireframes, mockups, and prototypes
   - Tested usability and functionality
   - Tools: Figma, Adobe Photoshop, Adobe Illustrator

Career Goals:
- Opportunities for professional growth and learning
- Collaborative work environment
- Work-life balance
- Competitive compensation and benefits package"
89,"Creative and result-oriented designer with a passion for creating unique and attractive visual concepts for websites. Proven ability to achieve specific goals and ensure successful user interaction with websites through design solutions.

Experience:
- Created a landing page for a Ukrainian chef's packaged lunches, featuring the ability to order products and contact the manager for more information. The design incorporated the corporate color of the packaging and included a complete description of the dishes, preparation, and storage instructions. Developed adaptations for mobile and tablet versions.
- Contributed to the team project WEB Service HiTutor, aiming to create a convenient service for finding tutors and combining the search function with an educational platform. Suggested a color palette, created animations, and worked on the project using Figma and Adobe After Effects, enhancing communication skills and the ability to collaborate on design solutions.
- Redesigned the website for a Music School in Poltava city, transforming an outdated interface into a modern, user-friendly, and informative one. Conducted competitor research, analyzed the existing site, and created a set of illustrations for the project using Figma.

Key Projects:
- KULISH: Landing page and e-commerce platform for Ukrainian dishes, featuring easy ordering and product information.
- WEB Service HiTutor: Team project for a global tutor-finding service and educational platform, focusing on a friendly interface and accessible education.
- Music School Website Redesign: Multipage site redesign for a music school, emphasizing a modern and user-friendly interface.

Career Goals:
To work in a team of professionals, learn from them, and grow as a specialist, feeling satisfaction from implemented projects and supported by the team, while giving full commitment and being a valuable team member."
90,"Leader and Team Supervisor
Organized and supervised team members' daily work, ensuring efficient task completion
Conducted training sessions on design skills and targeted advertising for subordinates

Event Organization and Client Management
Coordinated events and gatherings for over 100 attendees
Sourced, attracted, and communicated with clients to drive business growth

UI/UX Designer and Digital Marketing Specialist
Specialize in website, service, and mobile application development, with a focus on creating engaging products that deliver profit
Utilize expertise in website builders, Adobe Photoshop, Adobe Illustrator, Figma, and Canva to design innovative solutions
Skilled in creating prototypes, customer journey maps, jobs-to-be-done, user flows, and applying design thinking principles
Possess a strong understanding of composition, typography, and user-centered design

Project Experience
Completed Figma courses to enhance skill level
Developed the following personal projects:
- Event Landing Page for Architects: Designed a one-page site with a minimalist approach, providing event information and objectives
- Redesign of an Indian Cuisine Website: Conducted research, created a prototype, and refreshed the design, adding features such as table booking and food delivery
- Helper Service for Finding Cleaning Companies: Applied JTBD, CJM, User Flow, and Wireframe techniques to facilitate convenient communication between customers and service providers

Career Aspirations
Seeking a collaborative team environment that fosters growth, development, and innovation, with a mindset that nothing is impossible"
91,"UI/UX Designer

Summary:
Highly creative UI/UX designer with a strong eye for aesthetics and functionality, proficient in wireframing, prototyping, and user research. Proven ability to translate complex concepts into elegant, user-friendly designs.

Skills:
- Target and competitor analysis
- Wireframing
- Animation of prototypes
- Figma
- Adobe Photoshop
- Adobe Illustrator

Experience:
- Created two landing pages, a web service, and redesigned a photo studio website
- Developed adaptive designs for tablet and mobile devices
- Collaborated on team and individual projects, utilizing strong analytical and problem-solving skills

Projects:
- Landing Page for a Travel Agency: Analyzed target audience and competitors to create a modern, colorful, and eye-catching landing page
- Photostudio Website Redesign: Conducted research and analysis of competitors to create a modern and user-friendly design
- Landing Page for a Flower Shop: Analyzed target audience and developed a clear interface, focusing on User Interface design

Career Goals:
- Seeking a role in an open team that focuses on creating productive and user-friendly design
- Interested in partial remote work opportunities
- Looking for career growth and corporate training within a company"
92,"UI/UX Designer

Highly creative and experienced designer with a strong background in developing websites and mobile applications. Proficient in Figma, Miro, Photoshop, and Illustrator, with a focus on creating user-centered designs.

Key Projects:
- PetHelp: A web service designed to reunite lost animals with their owners, featuring functionalities to find, report, and rehome lost pets.
- BookingTablet: A mobile app for restaurant reservations, allowing users to select seats, book tables, and view restaurant layouts.

Experience:
Collaborated as part of a team to design and develop a web service, prioritizing user needs and receiving positive feedback.

Career Expectations:
Seeking a role that offers the freedom to express creativity, apply design skills, and develop innovative solutions. Eager to work in an environment that provides ongoing challenges, opportunities for skill improvement, and the chance to stay updated with the latest web design trends."
93,"Junior UX/UI Designer

Summary:
Dedicated and passionate junior UX/UI designer with a goal of creating user-centric, visually appealing, and intuitive interface designs. Currently a student at GO IT School, working on projects to increase qualifications.

Experience:
Team Leader, ""Languages web service"" project
Defended two projects

Projects:
1. Redesign of Tourist Site
   - Redesigned a travel site from scratch, resulting in a concise and easy-to-use platform
   - Target audience: individuals seeking organized tours
   - Goal: attract potential customers and encourage tour bookings

2. Creation of Web Service
   - Collaborated on a group project to create a personalized language learning platform
   - Contributed to analysis, Jobs to be done, CJM, and User flow processes
   - Improved user experience from landing to registration and course purchase

Design Presence:
Several shots on Dribbble

Education:
Student, GO IT School

Career Goal:
Seeking a position as a UX/UI designer to leverage the field's constant evolution and stay updated on the latest design trends and tools."
94,"Designer with 4+ years of experience
Summary:
Results-driven designer with 4+ years of experience, including 9 months in UX/UI design, possessing a strong work ethic and ability to work independently or as part of a team.

Experience and Achievements:
• Designed 4 successful presentations and 5 successful product presentations, resulting in secured client contracts
• Resolved technical issues with Multiplex cinema desktop website
• Created landing page design for delivery service and mobile application design for sound recording
• Designed authorization screens for HearU mobile application
• Collaborated on 5 unique and successful loyalty campaigns
• Contributed to UI design for mobile application and website
• Increased store turnover by 3%
• Utilized 3D modeling and rendering skills in design projects
• Designed key art, POS-materials, and packaging
• Published ""Arena"" book with original illustrations and cover design

Skills and Qualities:
UX/UI design, presentation design, landing page design, mobile application design, 3D modeling, rendering, key art design, POS-materials design, packaging design, team player, independent worker, strong work ethic."
95,"Highly Motivated UX/UI Designer

As a driven and detail-oriented UX/UI designer, I create functional designs that elevate businesses to a new level of quality. My primary objective is to deliver high-quality implementations of clients' tasks and ideas through exceptional design.

Design Process:
- Analyze tasks and requirements
- Develop interface prototypes
- Create visually appealing designs
- Implement stylish and attractive final designs tailored to clients' needs

PROJECT EXPERIENCE

- ""Cucina die Catherina"" - Website Redesign: Redesigned the website to ensure clarity, ease of use, and functionality across desktop, tablet, and phone devices. Conducted competitor research and analysis to inform design decisions.
- Landing Page for Shugaring Salon: Analyzed the target audience, developed a clear interface, and focused on User Interface design.

LANGUAGES
- German: Fluent
- English: Intermediate
- Ukrainian: Native
- Russian: Native

Career Objective:
Seeking a remote, freelance, or full-time position in a growing company that prioritizes business development and user-friendly product creation. As a fast learner, responsible, purposeful, organized, and punctual individual, my goal is to leverage my experience for long-term personal career growth and skill development."
96,"Junior UI/UX Designer

Summary:
Highly motivated and detail-oriented junior UI/UX designer with extensive experience in creating high-quality UI/UX mockups for websites and mobile applications. Proficient in UX design principles, color theory, composition, and typography, with excellent collaboration and problem-solving skills.

Skills:
- UX design principles: creating personas, wireframing, prototyping, and interaction testing
- Adaptive design and typography
- Proficient in Figma, Adobe Photoshop, and Adobe Illustrator
- Color theory, composition, and typography
- Strong team player with excellent communication and problem-solving skills

Experience:
- Created innovative and efficient user interfaces for web and mobile applications
- Collaborated with developers to achieve optimal technical solutions
- Worked on various projects, including:
  - Table reservation mobile application: designed an application to find and reserve tables at nearby restaurants
  - Medical services project: developed a convenient medical service for patients and doctors, featuring appointment scheduling and personal offices for treatment information and medical documents
  - Web service development
  - Landing page development
  - Website redesign

Personal Qualities:
- Hardworking, responsible, reliable, and versatile
- Quick learner with a strong desire for growth and development
- Team player with excellent collective thinking and problem-solving skills

Career Goals:
- Seeking a fair and supportive work environment where opinions are valued and respected
- Eager to develop and grow in a career as a UI/UX designer, with opportunities for professional growth and fair compensation."
