,Modified_mistralai/Mixtral-8x7B-Instruct-v0.1_of_Modified_gpt-3.5-turbo_of_CV_Modelgpt-3.5-turbo_Modelmistralai/Mixtral-8x7B-Instruct-v0.1
60," Yana
UX/UI Designer

* Proficient in Figma, Adobe Illustrator, Adobe Photoshop, Miro
* Skilled in utilizing styles, components, variants in design
* Knowledgeable in typography, raster and vector graphics manipulation
* Understands the principles of usability
* Experienced in creating web sites, adaptive design
* Familiar with Google Materials Design and Apple Human Interface Guidelines
* Adept at creating interactive prototypes

Hi, I'm Yana, a UX/UI Designer with a passion for Figma and modern minimalism designs that are effective in their purpose. I am open to working and evolving in different styles and directions.

1. Designed a landing page for a sugaring salon, including competitor analysis, user profiling, colour and typography work.
2. Redesigned a real site from scratch, including the production of a working prototype, wireframes, design kit, product cards with autolayout, and components and variants creation.

Interested in innovative and challenging projects. Open to joining a team of passionate professionals in product companies, social projects, or e-commerce industry. Can work on a full-time or part-time basis and remotely."
61," Yulia

Junior UI/UX Designer

Professional Summary:
Experienced junior UI/UX designer with 4 years of freelance graphic design experience. Completed Mobile Apps Design course at Projector in May 2023 and UX/UI design courses at Beetroot Academy in January 2022. Proficient in Figma, with problem-solving, adaptability, team collaboration, organizational skills, self-motivation, and client communication skills. Fluent in English and Polish.

Work Experience:

* Freelance Graphic Designer, 2019-Present
	+ Collaborated with small brands to create logos, brand identities, and visually engaging profile designs for Instagram promotion
	+ Produced visual content including photography and video for clients in various industries such as food manufacturers, clothing and accessories brands, and local services
	+ Designed landing pages, micro-pages, resume layouts, and internal presentations for companies on a project basis as a UI Designer

Skills:

* Problem-solving
* Adaptability
* Team collaboration
* Organizational skills
* Self-motivation
* Client communication
* UI design
* Figma proficiency

Education:

* Mobile Apps Design course, Projector, May 2023
* UX/UI design courses, Beetroot Academy, January 2022

Languages:

* Fluent in English and Polish"
62," UI/UX Designer Resume

• Solved complex design challenges, including designing an order builder function for a responsive website according to all stakeholder's requirements
• Proficient in Figma (FigJam, autolayouts, components and their variants, styles, prototyping)
• Compliant with Material Design and Human Interface Guidelines
• Passionate about creating logical, intuitive, and modern user experiences and interfaces
• Completed in-depth UI/UX certification project, designing an e-commerce website with consideration of all stakeholder’s requirements and collaborating with six other designers on the research phase
• Skilled in competitive research, design decision communication, survey development, quantitative and qualitative research, user persona creation, CJM development, information architecture design, wireframing, prototyping, visual design incorporation, mobile optimization, usability testing, UI kit composition using atomic design methodology, and accessibility standards adherence
• Experienced in competitive analysis, SWOT analysis, user survey, quantitative research, qualitative research, user persona creation, customer journey map development, information architecture design, wireframing, prototyping, usability testing, UI kit creation, desktop user interface design, and mobile user interface design for iOS, Android, and responsive/adaptive websites
• Seeking to join an ambitious team of strong specialists to work on complex projects."
63," Junior UI/UX Designer

* 6 months of experience
* Proficient in designing websites for rental agricultural and construction equipment, as well as redesigning IT company websites
* Skilled in communication with development teams and quality assurance personnel
* Experienced in interface design, including color, typography, layouts, icons, etc.
* Knowledgeable in responsive web design for desktop, mobile, and tablet devices
* Ability to conduct user experience testing, prototyping, and creating mockups
* Completed 6 design courses and an English course, with accompanying certificates

* Certificates and detailed course titles not included to maintain anonymity"
64," AhojStudent.com Web Redesign
- Enhanced content, structure, and visuals for improved user experience on IT School GoIT's website

CleanUp Web Service Creation
- Designed a user-friendly home assistance services website, offering various categories and professional options

SwiftShop - Smart Supermarket Payment App
- Created a revolutionary payment app for streamlined shopping experiences and reducing checkout lines

Experienced and versatile UX/UI Designer with marketing and communications background. Proven expertise in developing exceptional user experiences for web and mobile applications, aligning designs with user needs and business goals.

Current Positions:
3/2022 – present Communication Strategy Expert, ABINBEV, Prague
9/2021 – present Visual Communication Lecturer, OMD Czech, Prague
3/2021 – present SMM Expert
9/2021 – present Marketing Manager, DOMKYSRDCEM s.r.o, Prague

Previous Experience:
11/2018 – 3/2022 Media Planner, OMD Czech, Prague

Seeking: Career growth, remote work possibilities, training and development opportunities, flexibility, and friendly atmosphere."
65," Experience:

* Junior UI/UX Designer at GoIT, currently studying at the international EdTech company
* Designed and redeveloped a tattoo studio's website, creating prototypes, UI kit, and ensuring functionality across desktop, mobile, and tablet devices
* Developed a medical web service for organizing doctor-patient meetings, incorporating scheduling capabilities, 24/7 chat communication, and lab test arrangements
* Completed the full cycle design of a landing page for a flower shop, including competitor analysis, color palette and typography selection, and device adaptability

Skills:

* Prototype creation
* Target audience research
* Small-scale design development
* Attentive and dedicated worker, committed to continuous learning and growth in UI/UX design"
66," Junior UX/UI Designer with experience in prototyping, landing pages, and redesigning. Proficient in Figma, Adobe Photoshop, and Adobe Illustrator.

1. Web service ""PawPatrol"" - Team Leader
Collaborated with a team of 2 on developing a web service for lost pets. Led responsibilities including research, personas, wireframes, UI design, user flows, prototyping, style guide, and adaptation.
2. Redesigned website for Italian sauce store ""Cucina de Caterina""
Improved user experience for product purchasing through website redesign. Tasks included research, wireframes, UI design, prototyping, UI kit, and adaptation.
3. Created landing page for ""eChair""
Developed a landing page for gaming chairs for purchasing. Conducted research, created wireframes, UI design, prototyping, and UI kit.

Seeking remote opportunities to work on engaging projects within a friendly team environment."
67," Work Experience:

* Over 13 years as a team leader
* Experienced UI/UX Designer with expertise in graphic design, photography, interior design, and finance
* Developed and designed the mobile application ""LensLink"" for booking photographers
* Created the concept and design for the web service ""Sleep for Sweat"" for booking housing in exchange for services
* Graphic Designer and Photographer for over 8 years, specializing in corporate identity creation, printing products, book layout, vector illustration, advertising photography, and photo retouching
* Experienced newborn, family, and art photographer

Seeking opportunities to contribute to a team of professionals and further develop both professionally and financially."
68, Master's Degree in Musical Art (2016-2
69," UI/UX Designer Resume:

MedMeet web service:
- Collaborated with a team member to enhance doctor-patient communication through a HIPAA-compliant platform
- Implemented video call functionality, medical history access, and e-prescribing features for doctors

My Scan mobile app:
- Designed a user-friendly mobile application for supermarket payments, featuring product scanning, automatic payments, receipt generation, and purchase history

Barbershop landing page:
- Developed a visually appealing and conversion-optimized landing page for a barbershop to attract new customers and facilitate appointments

Glass office partitions website redesign:
- Redesigned a website with improved user experience and information accessibility for a leading glass office partition supplier

Seeking a challenging UI/UX design opportunity to leverage my skills, expertise, and design thinking approach to enhance user experiences."
70," Junior UI/UX Designer

* Developed websites for various clients, with a focus on user interface and user experience design
* Completed a 3-month UI/UX design course at Shendricov Education, gaining practical experience in customer communication and design

Projects:

* Designed a landing page for a sugaring studio, increasing customer engagement
* Created a personal website with a blog for a psychologist, enhancing personal branding and attracting clients

Skills:

* Proficient in developing prototypes, typography, color schemes, final web designs, adaptive designs, and UI kits
* Eager to continue learning and growing as a designer

Education:

* Shendricov Education - UI/UX Design Course (completed)

Note: Resume is truthful and accurately represents actual responsibilities, experiences, and skills."
71," Junior UI/UX Designer

* Passionate about creating intuitive and engaging digital experiences that solve real-world problems
* Skilled in empathy, problem-solving, and attention to detail
* Quick learner with a dedication to growing and expanding skill set
* Seeking a collaborative, innovation-driven work environment

Project Experiences:

* Nutrie App: Designed a mobile application for tracking meals, monitoring calorie consumption, and receiving personalized recommendations
* VoyageNest Web Service: Created a web platform offering free accommodations for travelers in exchange for work, with search functionality, direct communication with hosts, and booking capabilities
* Aurainteriors Landing Page: Designed a minimalist and aesthetically pleasing landing page for an interior design studio

Education and Skills:

* Junior UI/UX Designer with a focus on creating user-friendly digital experiences
* Interest in psychology to understand user behavior and create resonating designs
* Macro photography experience, teaching attention to detail
* Proficient in design software and tools
* Dedicated to continuously learning and improving design skills and techniques

Available for new opportunities and excited to bring my skills and experiences to a dynamic and innovative team."
72," Skills:

* UI/UX design
* Competitor analysis
* Wireframing
* Website design
* Color theory
* Photo editing

Experience:

* Collaborated on a team project to develop a web service for animals, utilizing UI/UX design skills.
* Designed and implemented a website for gamer chairs sales.
* Revamped an outdated restaurant website with a modern and user-friendly design.

Education:

* Completed GOIT course in UI/UX design, with hands-on experience on projects.
* Worked with mentors to enhance design skills, including competitor analysis, wireframing, and color theory.
* Utilized photo editing tools to produce high-quality website visuals with stylish color palettes."
73," Junior UI/UX Designer

• Worked in a team to develop a web service for helping people find lost pets, conducting thorough research and analysis of similar sites to inform design decisions.
• Proficient in Figma, with basic skills in Adobe Photoshop and Adobe Illustrator.
• Experienced in full cycle design, including analyzing tasks, creating wireframes, developing interfaces, and prototyping.
• Currently working on personal projects, including a redesign for a sports bar and a landing page for an architecture urban fest.
• Continuously improving soft and hard skills through IT school education.
• Seeking opportunities to work in a company with a team of professionals, in office or remotely, to enhance skills and contribute to meaningful projects."
74," Junior Web Designer

Experience:

1. Online Doctor Appointment Web Service - Happy Health Clinic | Online Consultation. Developed a web service interface for online calls between doctors and patients. Involved three stages: general end-user interface, doctor interface, and payment interface.
2. Car Service Application - Created an application listing all car service centers in Ukraine. Developed an easy-to-use app with features like car service call and registration at the autoservis. Completed in a single stage with a focus on end-user interface.
3. Freelance Project - Developed an e-commerce site for a store selling fireplaces, furniture, and tubus for bottled water.

Skills:

* Junior web designer with experience in creating engaging websites
* Proficient in offering a memorable user experience and efficient navigation
* Eager for opportunities to continue learning and growing in the field of web design and development
* Collaborative and able to work well with a talented team."
75," Alina
Junior UI/UX Designer

- Over a year of professional experience in UI/UX design, focusing on user-centered interfaces for web and mobile applications
- Proficient in conducting user research, usability testing, and implementing user feedback to enhance design solutions
- Demonstrated collaboration abilities through effective communication with cross-functional teams
- History of delivering projects on time while maintaining high attention to detail
- Strong grasp of design principles, typography, color theory, and information architecture

Skills:

- UI/UX Design
- Wireframing
- Rapid Prototyping
- Design System Development
- User Research
- User Journey Mapping
- Graphic Design

Tools:

- Figma
- Adobe Illustrator
- Adobe Photoshop
- MS Office"
76," Hi,

I'm a UI/UX designer with experience in creating landing pages, websites, and mobile applications. My project portfolio includes:

* Website redesign for ""A kids place Childcare""
* Team project as the team leader for the web service ""ZooShuk""

I am proficient in using Figma, Photoshop, and Illustrator for design work. I am open to internship or job opportunities and eager to work on projects across various industries to broaden my skill set and gain additional experience.

Thank you for considering my application."
77," UX/UI Designer

* Conduct research and analyze competitors using Similarweb
* Apply design thinking principles to create successful products
* Completed three pet projects:
	+ Designed a landing page for a barbershop
	+ Redesigned a tattoo studio website
	+ Collaborated on a web service for finding lost pets
* Skilled in Adobe Photoshop, Adobe Illustrator, and Figma
* Seeking to improve and adapt to new technologies
* Experienced and comfortable working in a team of creative thinkers
* Passionate about creating successful products and user experiences."
78," GoIT (IT courses)

- UI/UX Designer
- Mobile App Design

Experience in designing the complete desktop application.

Creative UX/UI Designer with a history of implementing optimal design solutions to create an intuitive user experience for meeting specific product business goals.

Portfolio features projects ranging from simple pages to intricate web applications that highlight client branding and user-friendly navigation.

Projects:

1. Restaurant Reservation App:
- Conducted competitors’ analysis, created user flow, user personas, wireframes, and other design elements.
- Proficient in Figma and ProtoPie.

2. Furniture Landing Page:
- Developed UI Kit, colors, typography, and landing page design.
- Experienced in Figma.

Technical Skills: UX/UI design, Figma, ProtoPie.

Passionate about creating functional and appealing websites to enhance user experience. Motivated to secure a role in a company that values productivity and convenience, demonstrating a strong learning ability, tackling complex tasks, and delivering results. View portfolio on Behance profile."
79," Anya
UI/UX Designer with expertise in web design and graphic design

Skills:
• Proficient in creating effective structure and content, including composition, work with grids, typography, color theory, laws in design, and micro-interaction
• Expertise in UX research, including competitor analysis, definition and segmentation of the target audience, and screen map creation
• In-depth knowledge of UI elements anatomy
• Proficient in Figma, Adobe Photoshop, Adobe Illustrator, and Adobe After Effects

Experience:
• NGN.agency: Designed marketing materials for brands Fora, Pickwick, Jacobs, Carte Noire, and Synevo. Performed photo retouching in Adobe Photoshop.
• TapJets holdings INC.: Designed content and video content for social networks. Collaborated with team on brand promotion, including logo creation, corporate style development, website redesign, and design for social networks.

Seeking a role in a company where I can continue to grow and innovate alongside a community of like-minded individuals, creating cutting-edge products for brands."
80," Liubov
UI/UX Designer

Skills:
- Proficient in Figma and Adobe Photoshop
- Experienced in conducting research, creating user personas, competitor analysis, clickable prototypes, styling, and typography
- Focus on creating ergonomic, beautiful, and comfortable designs
- Consistently stays updated with the latest design trends, tools, and technologies
- Pays attention to design elements including typography, color schemes, imagery, and spacing
- Open to learning and improving skills

Experience:

Alaska Pete's Website Redesign
- Conducted comprehensive research and competitor analysis to create a modern, user-friendly, and attractive design for potential customers
- Implemented successful solutions including a simple and modern style, structured information, and unified style photos

CoStay Web-Service
- Developed a web service for searching temporary accommodation for students and young people
- Conducted thorough competitor analysis, research, Information Architecture development, User Flow, and Customer Journey Map

Additional Information:
- Passionate about design and committed to a friendly atmosphere, career growth, clear communication, inclusive culture, collaborative environment, and corporate training and development within the company."
81," Max from Kharkiv
Seeking a permanent position as Junior UX/UI Designer

Experience:

1. Designed a landing page for a volunteer organization, focusing on fonts, colors, and high-quality images. Included a mobile version, donation block for financial support, and is viewable on my Behance page.
2. Analyzed competitors and redesigned an online clothing store with user personas, site map, and prototyping in Figma. More details on my Behance page.

Skills:

* UI/UX design
* Mobile apps design
* Web design
* Framework creation
* User flow and personas
* Prototyping
* Landing page creation
* E-commerce
* Responsive design
* Design system
* Typography
* Color theory
* Composition

Tools:

* Figma
* Adobe Photoshop
* FigJam
* Trello"
82," Project 1: Optimization of an e-commerce mobile application

* Designed and improved the User Interface (UI) of a mobile application for an e-commerce company.
* Collaborated with a team of developers, UX designers, and project managers to enhance the purchasing process.
* Utilized Sketch and InVision for designing and prototyping.

Project 2: Redesign of service-oriented web portal

* Conducted user research, data analysis, and developed a user-friendly interface to meet users' needs.
* Used Figma for layouts and prototypes and conducted usability testing.

Project 3: Landing Page

* Designed a landing page to promote a product or service.

Project 4: Developed 3 Mobile Apps

* Collaborated with development teams to create three mobile apps for various clients.
* Ensured that the user interface design was visually appealing, intuitive, and easy to use.

Future Development Focus:

* Specialize in interaction design, particularly animations and microinteractions to enhance user experience.
* Not interested in projects requiring complex animations."
83," HOMECULT
• Specialized in professional interior design development, enhancing company's image and online presence
• Showcased portfolio of works to attract new customers, identified and solved business problems through effective design solutions

Motocycle Website Concept
• Designed a commercial website for sports motorcycles sales, differentiated design from competitors to strengthen brand identity
• Created user-friendly interface for effortless navigation and browsing

DRIVER 24
• Developed a mobile application for car rental services, designed user-friendly interface for convenient car selection and rental process
• Prioritized convenience and simplicity for optimal user interaction"
84," - Experienced web designer with portfolio of three personal projects: ""Dog Style"", ""Flower Lover"", and ""Redesign: Indian Food""
- Proficient in Prototyping, Figma, Adobe Photoshop, Adobe Illustrator, User Interface Design, UX Research, Web Design, and UIKit
- Passionate about creating impactful solutions to improve user experience and customer engagement
- Expanded sales geography and improved customer experience through website design in the ""Flower Lover"" project
- Implemented promotions, discounts, and subscription services to increase customer loyalty in previous projects
- Improved user experience, conversion rates, brand identity, SEO, and mobile optimization through web design in the ""Redesign: Indian Food"" project
- Seeking opportunities to work with clients and experienced web designers to continue developing skills and create innovative solutions."
85," UI/UX Designer & Certified Interior Designer

— 4+ years of experience —

Proficient in:

* Figma
* Adobe Photoshop
* Adobe Illustrator
* Web Flow

Specializing in:

* UX research
* Prototyping
* Landing page design
* Mobile interface design
* Vector graphics
* Mobile application development
* Web service design

Experienced in designing functional, sustainable spaces and creating aesthetically pleasing designs. Passionate about design and consistently seeking opportunities for growth and development in a product company."
86," Web Designer with a strong eye for aesthetics and functionality

‐ Proficient in creating visually appealing and effective website designs
‐ Skilled in leveraging a keen sense of proportion and color to create harmonious and impactful designs
‐ Experienced in utilizing imagination and creativity to develop unique web designs
‐ Detail-oriented and dedicated to delivering high-quality work
‐ Adept at understanding and meeting clients' needs
‐ Rapid learner of new tools and technologies

Experience

‐ Designed and developed the web service ""TakeCARE"" for online medical consultations
‐ Created and launched the online store ""The POWER"" for electronic gadgets and equipment
‐ Developed a landing page for a furniture store, highlighting products and offering consultation services
‐ Designed and built the mobile app ""Flowerlove"" for ordering flowers and gifts for special occasions

Note: This resume is an accurate representation of the provided information and contains no additional facts or information."
87," Team Leader, Webservice UX/UI Design-Travel Easily

* Led team in creating a unique functional UX and UI design for websites and mobile applications in the Travel Easily project
* Redesigned a multi-page Landing Page for a hospital, focusing on user-friendly experience and online appointment booking
* Created a Landing Page for a flower shop, showcasing the shop's beauty, services, and range with a simple user interface
* Developed UX and UI for both guests and hosts for the Travel Easily webservice, aimed at organizing stays in other countries affordably
* Passionate about creative projects and staying current with design trends
* Strong desire to grow and continuously improve as a fast learner, responsible individual, problem-solver, and detail-oriented designer
* Seeking a full-time position to apply these skills."
88," Here is your new resume:

* Redesigned the ""Custom Concepts"" website for a tattoo studio, focusing on showcasing the individuality of the brand and highlighting the master artists
* Developed user personas, wireframes, and prototypes for the website redesign project
* Created UI-Kit, improved the visual design, navigation, and functionality of the website
* Collaborated on the development of the web service ""Happy Health"" for online professional help for user-patients and user-doctors
* Designed adaptive layouts for tablet and mobile for ""Happy Health"" using Figma and Adobe Photoshop
* Co-created the mobile application ""Quick Way"" for quick access to car services from top providers
* Designed branding, illustrations, user flows, wireframes, and prototypes for the ""Quick Way"" mobile app using Figma, Adobe Photoshop, and Adobe Illustrator."
89," Ukrainian Chef Landing Page Designer

• Creative and results-oriented designer with experience in creating unique and attractive visual concepts for websites
• Proven ability in mobile and tablet adaptation for optimal user experience
• Skilled in achieving specific goals and ensuring successful user interaction with websites

Project Experience:

• KULISH landing page: Showcased Ukrainian dishes with appealing design and easy navigation
• WEB Service HiTutor team project: Collaborated with team to design a functional and engaging website
• Music School Website Redesign: Enhanced user experience through modern and attractive design

Educational Background:
Created a landing page for a Ukrainian chef offering packaged lunches for long-term storage during studies.

Commitment to Continuous Growth:

• Eager to continue expanding knowledge in design
• Committed to working in a team of professionals and achieving specific design goals."
90," Creative UI/UX Designer & Team Leader

• Team Leader with experience organizing and supervising team members, conducting training on design skills and targeted advertising, and responsible for client acquisition and communication.
• Creative UI/UX designer with specialization in website, service, and mobile application development, and proficient in website builder, Adobe Photoshop, Adobe Illustrator, Figma, and Canva.
• Skilled in creating prototypes, customer journey maps, jobs-to-be-done, and user flows, with a strong understanding of composition, typography, and design thinking.
• Completed Figma courses to enhance skill level.
• Commercial experience in web design and social media marketing.
• Experienced in organizing events and gatherings for over 100 people.
• Pet projects include:
- Event Landing Page for Architects
- Redesign of an Indian Cuisine Website
- Helper Service for Finding Cleaning Companies
• Seeks to join a dynamic team that thrives on growth and innovation."
91," UI/UX Designer Resume

Experience:

* Gained experience in target and competitor analysis, wireframing, and prototyping as a UI/UX Designer
* Proficient in Figma, Adobe Photoshop, and Adobe Illustrator

Projects:

* Created two landing pages and a web service using Figma, Adobe Photoshop, and Adobe Illustrator
* Redesigned a photo studio website with adaptive designs for tablet and mobile

Skills:

* Strong eye for aesthetics and functionality
* Translate complex concepts into elegant, user-friendly designs
* Collaborate on team and individual projects focused on productive and user-friendly designs

Seeking:

* Opportunities for career growth and development in a collaborative environment
* Possibility of partial remote work and corporate training within the company."
92," Experience:

* Collaborated with a team to develop ""PetHelp,"" a web service for reuniting lost animals with owners during crises. Responsible for UI/UX design, ensuring user-centered functionality and aesthetics.
* Designed and implemented ""BookingTablet,"" a mobile app for simplifying restaurant reservations. Utilized user feedback to iterate and improve the app's design.
* Proficient in Figma, Miro, Photoshop, and Illustrator for creating effective and innovative designs.
* Passionate about staying updated on the latest web design trends and technologies, incorporating new knowledge into projects to enhance user experiences.

Skills:

* Expert in UI/UX design for websites and mobile applications.
* Proficient in using design tools including Figma, Miro, Photoshop, and Illustrator.
* Strong creative abilities, specializing in innovative design solutions.
* Committed to continuously improving skills through staying current with the latest web design trends and technologies."
93," Team Leader, ""Languages web service"" project

* Led team in design and development of personalized language learning web service
* Collaborated on creating user-friendly interface and intuitive user flow
* Skilled in analysis, Jobs to be done, Customer Journey Map, and User flow

Projects Defenses

* Successfully defended two projects, demonstrating strong communication and presentation skills

Dribbble

* Several shots on Dribbble showcasing design skills and creativity

GO IT School Student

* Actively working on projects to increase qualifications
* Seeking a position as a Junior UX/UI Designer to continue learning and staying up to date with latest design trends and tools

Freelance Designer

* Redesign of the tourist site: Developed a concise and easy-to-use site to popularize tourism in Ukraine for both Ukrainians and foreigners
* Collaborated with clients to understand needs and goals, and created designs that met their requirements
* Proficient in various design tools and techniques, with a focus on user experience and interface design."
94," ```diff
- Designed 4 successful presentations
- Resolved desktop website issues for Multiplex cinema
- Delivered landing page for delivery service
- Created mobile application for sound recording
- Developed authorization screens for HearU mobile application
- Collaborated on designing 5 unique loyalty campaigns
- Conducted 5 product presentations contributing to client contracts
- Authored and published “Arena” book with original illustrations and cover design
- Designed key art for POS-materials and packaging
- Contributed to UI design for mobile application and website
- Increased store turnover by 3%
- Proficient in 3D modeling and rendering
- 4+ years of overall design experience, including 9 months in UX/UI design
- Demonstrated strong work ethic and willingness to perform routine tasks
- Proven effective team player with ability to work independently
- Committed to making a positive impact and improving projects
- Seeking new opportunities in UX/UI design to create user-friendly projects that enhance user experience
```"
95," EXPERIENCE

* Completed two successful projects: website redesign for ""Cucina die Catherina"" and landing page for Shugaring Salon
* Conducted research and competitive analysis to inform design decisions
* Designed clear, user-friendly interfaces for desktop, tablet, and mobile devices
* Analyzed target audience and developed intuitive interfaces to improve User Experience
* Specialized in User Interface design to enhance overall user experience

LANGUAGES

* Fluent in German, Ukrainian, and Russian
* Intermediate English proficiency

OBJECTIVE

Contribute to the development of user-friendly products as a remote, freelance, or full-time UX/UI Designer in a growing company. Offer flexibility, strong time management skills, and a commitment to continued learning and skill development.

(Note: This revised resume accurately represents the information provided in the original, without adding any new facts or unjustified claims.)"
96," Junior UI/UX Designer

Experienced junior professional with a strong background in creating high-quality mockups for websites and mobile applications. Proficient in UX design principles including creating personas, wireframing, prototyping, and interaction testing. Skilled in color theory, composition, and typography. Collaborative approach to working with developers to achieve optimal technical solutions.

Skills:

* Proficient in Figma, Adobe Photoshop, and Adobe Illustrator
* Strong problem-solving and teamwork skills
* Successfully completed projects including a table reservation mobile application and a medical services platform
* Experienced in developing landing pages, website redesign, and web service creation
* Passionate about continuous learning and development in the UI/UX design field

Experience:

Junior UI/UX Designer
XYZ Company

Responsibilities:

* Created high-quality mockups for websites and mobile applications
* Utilized UX design principles such as creating personas, wireframing, prototyping, and interaction testing
* Collaborated with developers to achieve optimal technical solutions
* Developed landing pages, website redesign, and web service creation

Education:

Bachelor of Fine Arts in Graphic Design
University of ABC

Portfolio:
[link to online portfolio or samples of work]"
97," Here is your improved resume:

—

**Experience**

*Designed and developed web-based platform for budget-friendly lodging options*

• Conducted market analysis, Customer Journey Mapping (CJM), and analyzed User Flow to identify consumer pain points
• Curated a diverse selection of economical accommodations catering to global travelers

*Designed mobile application to streamline and expedite the restaurant reservation process*

• Facilitated quick and effortless online table bookings, enhancing user experience and reducing wait times

**Skills**

• Figma
• Adobe Photoshop
• Adobe Illustrator
• Canva
• Webflow (basic)

**Projects**

1. Booking website with cheap accommodation
• Conducted market analysis, CJM, and analyzed User Flow
• Created web-based platform offering affordable accommodation for travelers globally
2. Mobile app for booking tables in restaurants
• Designed mobile application for restaurant reservations to simplify online booking process

**Goals**

Seeking to enhance UI/UX design skills and contribute to creative projects with professionals, while focusing on growth opportunities."
98," Junior UI/UX Designer

* Created a landing page for a barbershop to attract new customers through appealing design and persuasive writing.
* Contributed to a restaurant website redesign, enhancing appearance and user experience by implementing effective navigation and visual principles.
* Collaborated on a web service for finding lost pets, conducting research and developing an intuitive interface for efficient pet location.
* Participated in a mobile app project for gift delivery, offering reminders for special occasions and the ability to choose and schedule gifts worldwide.

Skilled and passionate UI/UX designer focused on improving visual interfaces to enhance user experience. Adept at creating effective and aesthetic designs, driven to continue learning and developing in the design field.

Skills:

* Interface design
* User experience optimization
* Creative problem-solving
* Team collaboration

Professional development:

* Creative self-expression
* Collective cooperation and teamwork
* Career growth and promotion opportunities"
99," Junior UI/UX Designer

I am a passionate and dedicated junior UI/UX designer with a proven track record of creating quality, unique, and user-friendly products. I value teamwork and am committed to continually developing my skills and staying current with industry trends and technological advancements.

Experience:

* Designed a web service for finding free accommodation for tourists
* Created a cross-platform application for booking tables in restaurants
* Developed two landing pages and redesigned one website
* Created a landing page for a barbershop
* Redesigned a website for a dental clinic

Skills:

* Proficient in composition, typography, and color theory
* Expertise in Jobs to be Done, Information Architecture, User Flow, Customer Journey Map, and data management
* Knowledgeable about mobile app development, including iOS and Android differences
* Strong understanding of interface design standards

I am passionate about collaborative environments and eager to grow professionally within a dynamic company with ambitious goals."
100," Junior UI/UX Designer

* Developed the landing page for a flower shop and redesigned real estate houses for sale.
* Led teamwork and acted as a team leader for website development.
* Skilled in creating quality, unique, and user-friendly products.
* Proficient in completing the full design cycle for landing pages, analyzing target audiences and competitors, creating prototypes, and layout design.
* Specializes in increasing sales through target action prompts on landing pages.
* Experienced in website redesigns, conducting research and analysis of competitors to create modern and convenient designs.
* Created user personas and customer journey maps based on social networks and customer reviews.
* Knowledgeable in developing mobile applications, creating interactive prototypes, interface animation, working with modular grids, user flow design, graphical interface design, typography, and coloristics.
* Seeking a position with a competitive salary, opportunities for growth, on-the-job training, and paid holidays."
101," Pet Projects:

* Conducted competitor analysis, researched information, and created interface wireframes, visual styles, implemented final products using Figma, Adobe Photoshop, Adobe Illustrator, and Protopie
* Projects are convenient, useful, and socially important

Skills:

* Proficient in Figma, Adobe Photoshop, Adobe Illustrator, Protopie, Corel Draw, Miro
* Basic experience in UX research

Professional Experience:

* Re-designed a medical clinic website through full cycle design process, focusing on modern, user-friendly design and organizing information for ease of use
* Designed a web application for couchsurfing, connecting travelers and homeowners worldwide for safe and cost-effective accommodations
* Created a mobile app for flower and gift delivery, allowing users to schedule deliveries for special occasions

Objective:

* Seeking a full-time position in a company that values a friendly atmosphere, mutual respect, career growth, and offers partially remote work
* Fast learner, detail-oriented, and ready for challenging tasks
* Goal is to contribute skills and knowledge to a team of like-minded professionals to create successful results."
102," Junior UX/UI Designer

* Created landing pages and e-commerce websites with a focus on user experience and interface design
* Designed website for IT course platform, with responsibilities including:
	+ Conducting project briefings to identify goals, unique features, target audience, and competitors
	+ Analyzing competitors, identifying strengths and weaknesses, and proposing solutions for target audience problems
	+ Creating site structure and detailing the functions of each block
	+ Developing mood boards and selecting references
	+ Designing high-fidelity prototypes
	+ Creating 2-3 UI concepts for the main page
	+ Designing all pages in line with the chosen style
	+ Developing responsive versions of the design
	+ Creating animation prototypes
	+ Building a UI kit
	+ Compiling a developer's package with all necessary materials
* Seeking to work with a team of professionals to improve skills, gain experience, and tackle challenging projects to enhance existing projects or create new ones."
103," UX/UI Designer

* Focus on web and mobile app design
* 5+ years of graphic design experience
* Completed UX/UI Design and Prototyping courses at Lemon School with honors

Skills:

* Competitor analysis
* Competitor analysis
* Design (web and mobile app)
* Adaptive design
* Quantitative research
* Functionality comparison
* Target audience analysis
* User persona creation
* Empathy mapping
* Customer journey mapping
* Architecture design
* User flow mapping
* Sketching
* Wireflow creation
* Design concept development
* Prototyping
* Interface animation

Dedicated to advancing in the UX/UI design field."
104," Experience:

* Landing pages design for various clients
* Redesign of a website to improve user experience
* Creating a Web service for JobVenture (group project)
* Mobile and tablet design for Yours Sports Bar Redesign (individual project)

Program Expertise:

* Figma for wireframing and prototyping
* Adobe Illustrator for vector graphics
* Adobe Photoshop for image editing and manipulation

Skills:

* Thorough competitors’ analysis to inform design decisions
* Creating user flows to map out user experiences
* Making wireframes to visualize design concepts
* Individual and suitable UI designing for optimal user experience

Projects:

* JobVenture Webservice (group project)
* Citroen C4 Landing Page (individual project)
* Yours Sports Bar Redesign (individual project)

Strong abilities in analysis of competitors, user flow, user experience prediction, and analytics. Seeking part-time assistant position in design."
